UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	1	1	auditory|speech	#FEE188	0.230692473504652
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	2	1		#FEE188	0.206547775013074
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	3	1	da|integration	#FDAD4A	0.483653460090522
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	4	1		#FECB68	0.343891315727704
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	5	1	physical|psychophysical|tactile	#FFF1A9	0.174872801961086
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	6	1		#FEE188	0.209541776420387
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	7	1	somatosensory|stimulation	#FFF1A9	0.167484028551747
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	8	1	painful|pain	#FFF1A9	0.105192859190739
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	9	1		#FFF1A9	0.175407627455259
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	10	1	ratings	#FECB68	0.330292727359823
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	11	1	affective|affect	#FDAD4A	0.487029793859682
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	12	1	emotions	#FEE188	0.290931732106774
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	13	1	expression|expressions|facial	#FEE188	0.279911487584866
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	14	1		#FECB68	0.380089712998739
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	15	1		#FDAD4A	0.410645904778345
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	16	1	emotion|motion|neutral	#FDAD4A	0.401633335979911
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	17	1	rating	#FECB68	0.371122503518639
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	18	1	negative|positive	#FDAD4A	0.466856620877205
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	19	1		#FD913D	0.504624957510926
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	20	1	ear|order	#FDAD4A	0.474101086891461
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	21	1	motor	#FECB68	0.385359469757178
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	22	1	visual	#FDAD4A	0.420004661920825
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	23	1	age|image|response	#FDAD4A	0.428713496545681
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	1	2	sound|sounds	#FFFFCC	0.0955262048291692
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	2	2		#FEE188	0.200037231698091
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	3	2	audiovisual|bimodal|crossmodal	#FEE188	0.202153116068835
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	4	2		#FECB68	0.356013562317255
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	5	2		#FECB68	0.312393773796383
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	6	2		#FEE188	0.237555033150934
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	7	2	sensation	#FFFFCC	0.0666844341445134
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	8	2	heat|noxious	#FEE188	0.199585919936697
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	9	2		#FFF1A9	0.169345225774328
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	10	2		#FEE188	0.296177932723482
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	11	2		#FECB68	0.323081641584529
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	12	2	valence	#FECB68	0.317498221645726
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	13	2	person|social	#FEE188	0.25807700584149
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	14	2		#FECB68	0.382098365855333
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	15	2	face|faces	#FECB68	0.379854322173407
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	16	2		#FDAD4A	0.427551194598447
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	17	2		#FDAD4A	0.460493300236877
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	18	2		#FD913D	0.507855976242967
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	19	2		#FD913D	0.519268252467184
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	20	2		#FDAD4A	0.492899482705863
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	21	2	images|spatial	#FDAD4A	0.469196822577849
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	22	2	control	#FDAD4A	0.470589984051868
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	23	2	time	#FDAD4A	0.441496188845578
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	1	3	acoustic|listening|musical|music|pitch	#FFF1A9	0.18656629953113
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	2	3	noise|tones	#FFF1A9	0.143272045656119
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	3	3		#FECB68	0.36080278970332
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	4	3		#FDAD4A	0.41533423093761
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	5	3	frequency	#FECB68	0.37487094785231
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	6	3		#FECB68	0.378614377062299
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	7	3		#FFF1A9	0.142430612108168
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	8	3	temperature	#FFFFCC	0.0357204792122634
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	9	3		#FFF1A9	0.128858589993887
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	10	3	pleasant|unpleasant	#FEE188	0.217108777800797
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	11	3	anxiety	#FEE188	0.22429870207088
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	12	3		#FECB68	0.320859432289267
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	13	3		#FECB68	0.371358304590827
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	14	3		#FECB68	0.39429327665033
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	15	3		#FECB68	0.398924609143324
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	16	3	picture	#FECB68	0.351975536518101
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	17	3		#FDAD4A	0.462124309787087
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	18	3	value	#FD913D	0.52883143118541
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	19	3	cue	#FD913D	0.533661947947816
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	20	3	error|target	#FD913D	0.523257101326649
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	21	3	attention	#FDAD4A	0.459262384327347
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	22	3		#FDAD4A	0.489643525716847
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	23	3	number	#FD913D	0.501465608293574
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	1	4	voice	#FFF1A9	0.167614846164851
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	2	4		#FEE188	0.281625646326847
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	3	4	hearing	#FECB68	0.340751114708669
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	4	4		#FDAD4A	0.478834358605952
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	5	4	overt	#FDAD4A	0.42044628341419
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	6	4		#FDAD4A	0.496846242730472
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	7	4		#FEE188	0.229005008117282
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	8	4	nociceptive|nonpainful|painrelated	#FFFFCC	0.0362794206822246
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	9	4	unpleasantness	#FFF1A9	0.148080740969361
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	10	4	skin|subjective	#FFF1A9	0.155741632290959
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	11	4	depression	#FEE188	0.294160369972574
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	12	4	experience	#FEE188	0.215142613780601
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	13	4	female	#FECB68	0.356817507899142
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	14	4	male	#FDAD4A	0.402244560274553
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	15	4	pictures	#FECB68	0.342574429295537
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	16	4		#FDAD4A	0.415736664246241
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	17	4	perception	#FECB68	0.356099622048247
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	18	4		#FDAD4A	0.493147515141533
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	19	4		#FDAD4A	0.491592128747835
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	20	4		#FDAD4A	0.493374887954965
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	21	4	correct	#FD913D	0.514003446923383
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	22	4	work	#FD913D	0.523006452413006
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	23	4	memory	#FDAD4A	0.48356576157753
9eb9e773-e65d-330c-8ade-9ba56fff2b00	Tataranni PA	1	5	prosodic|prosody	#FFF1A9	0.197121262193587
