UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
9fec064e-4d9b-3cfa-afc5-57a5c6503754	Hutchison E	1	1	auditory|speech	#FC622F	0.684293951263362
9fec064e-4d9b-3cfa-afc5-57a5c6503754	Hutchison E	2	1		#FC622F	0.661854620884789
9fec064e-4d9b-3cfa-afc5-57a5c6503754	Hutchison E	3	1	da|integration	#FC622F	0.680593359493127
9fec064e-4d9b-3cfa-afc5-57a5c6503754	Hutchison E	4	1		#FC622F	0.63875719530797
9fec064e-4d9b-3cfa-afc5-57a5c6503754	Hutchison E	5	1	physical|psychophysical|tactile	#FECB68	0.380823395832366
9fec064e-4d9b-3cfa-afc5-57a5c6503754	Hutchison E	6	1		#FDAD4A	0.490512847517782
9fec064e-4d9b-3cfa-afc5-57a5c6503754	Hutchison E	7	1	somatosensory|stimulation	#FDAD4A	0.415938014837499
9fec064e-4d9b-3cfa-afc5-57a5c6503754	Hutchison E	8	1	painful|pain	#FDAD4A	0.412268398119362
9fec064e-4d9b-3cfa-afc5-57a5c6503754	Hutchison E	9	1		#FDAD4A	0.443920502341716
9fec064e-4d9b-3cfa-afc5-57a5c6503754	Hutchison E	10	1	ratings	#FDAD4A	0.47056546153347
9fec064e-4d9b-3cfa-afc5-57a5c6503754	Hutchison E	11	1	affective|affect	#FD913D	0.586636195936758
9fec064e-4d9b-3cfa-afc5-57a5c6503754	Hutchison E	12	1	emotions	#FDAD4A	0.460544803090249
9fec064e-4d9b-3cfa-afc5-57a5c6503754	Hutchison E	13	1	expression|expressions|facial	#FECB68	0.380034083887312
9fec064e-4d9b-3cfa-afc5-57a5c6503754	Hutchison E	14	1		#FD913D	0.533855219746389
9fec064e-4d9b-3cfa-afc5-57a5c6503754	Hutchison E	15	1		#FD913D	0.532719118082422
9fec064e-4d9b-3cfa-afc5-57a5c6503754	Hutchison E	16	1	emotion|motion|neutral	#FD913D	0.504929849162884
9fec064e-4d9b-3cfa-afc5-57a5c6503754	Hutchison E	17	1	rating	#FD913D	0.551841033695063
