UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
a0814275-d17d-3baf-b6bd-4e3ef9b9a7b6	Sun P	1	1	auditory|speech	#F03623	0.745433003235279
a0814275-d17d-3baf-b6bd-4e3ef9b9a7b6	Sun P	2	1		#F03623	0.777217033014003
a0814275-d17d-3baf-b6bd-4e3ef9b9a7b6	Sun P	3	1	da|integration	#F03623	0.796962204583344
a0814275-d17d-3baf-b6bd-4e3ef9b9a7b6	Sun P	4	1		#F03623	0.761491085789117
a0814275-d17d-3baf-b6bd-4e3ef9b9a7b6	Sun P	5	1	physical|psychophysical|tactile	#FDAD4A	0.444767974363126
a0814275-d17d-3baf-b6bd-4e3ef9b9a7b6	Sun P	6	1		#FD913D	0.531375626444264
a0814275-d17d-3baf-b6bd-4e3ef9b9a7b6	Sun P	7	1	somatosensory|stimulation	#FDAD4A	0.49548200443939
a0814275-d17d-3baf-b6bd-4e3ef9b9a7b6	Sun P	8	1	painful|pain	#FECB68	0.35498846012269
a0814275-d17d-3baf-b6bd-4e3ef9b9a7b6	Sun P	9	1		#FDAD4A	0.493279057583143
a0814275-d17d-3baf-b6bd-4e3ef9b9a7b6	Sun P	10	1	ratings	#F03623	0.760367475933494
a0814275-d17d-3baf-b6bd-4e3ef9b9a7b6	Sun P	11	1	affective|affect	#FD913D	0.572322968434349
a0814275-d17d-3baf-b6bd-4e3ef9b9a7b6	Sun P	12	1	emotions	#FC622F	0.641387827672188
a0814275-d17d-3baf-b6bd-4e3ef9b9a7b6	Sun P	13	1	expression|expressions|facial	#FC622F	0.659249866952927
a0814275-d17d-3baf-b6bd-4e3ef9b9a7b6	Sun P	14	1		#F03623	0.773589831180879
a0814275-d17d-3baf-b6bd-4e3ef9b9a7b6	Sun P	15	1		#F03623	0.797471777080771
a0814275-d17d-3baf-b6bd-4e3ef9b9a7b6	Sun P	16	1	emotion|motion|neutral	#F03623	0.72299573251669
a0814275-d17d-3baf-b6bd-4e3ef9b9a7b6	Sun P	17	1	rating	#F03623	0.740328629536976
a0814275-d17d-3baf-b6bd-4e3ef9b9a7b6	Sun P	18	1	negative|positive	#FC622F	0.621388286995846
a0814275-d17d-3baf-b6bd-4e3ef9b9a7b6	Sun P	19	1		#FC622F	0.60432901474821
a0814275-d17d-3baf-b6bd-4e3ef9b9a7b6	Sun P	20	1	ear|order	#FD913D	0.529403274643062
a0814275-d17d-3baf-b6bd-4e3ef9b9a7b6	Sun P	21	1	motor	#FECB68	0.347703426149453
a0814275-d17d-3baf-b6bd-4e3ef9b9a7b6	Sun P	22	1	visual	#FD913D	0.503035554954498
a0814275-d17d-3baf-b6bd-4e3ef9b9a7b6	Sun P	23	1	age|image|response	#FDAD4A	0.474019301038488
a0814275-d17d-3baf-b6bd-4e3ef9b9a7b6	Sun P	1	2	sound|sounds	#F03623	0.748343513915415
a0814275-d17d-3baf-b6bd-4e3ef9b9a7b6	Sun P	2	2		#F03623	0.7516652204238
a0814275-d17d-3baf-b6bd-4e3ef9b9a7b6	Sun P	3	2	audiovisual|bimodal|crossmodal	#D7141E	0.899566850440317
a0814275-d17d-3baf-b6bd-4e3ef9b9a7b6	Sun P	4	2		#F03623	0.750146379397377
a0814275-d17d-3baf-b6bd-4e3ef9b9a7b6	Sun P	5	2		#FC622F	0.661814793410745
a0814275-d17d-3baf-b6bd-4e3ef9b9a7b6	Sun P	6	2		#FD913D	0.5524070583766
a0814275-d17d-3baf-b6bd-4e3ef9b9a7b6	Sun P	7	2	sensation	#FECB68	0.343044416329659
a0814275-d17d-3baf-b6bd-4e3ef9b9a7b6	Sun P	8	2	heat|noxious	#FECB68	0.373248594859606
a0814275-d17d-3baf-b6bd-4e3ef9b9a7b6	Sun P	9	2		#FD913D	0.524029308807164
a0814275-d17d-3baf-b6bd-4e3ef9b9a7b6	Sun P	10	2		#F03623	0.739501927372249
