UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
a44d571d-9ac3-32ba-9a1a-8a5e7c8d82e1	Weiss T	1	1	auditory|speech	#FDAD4A	0.488128616550384
a44d571d-9ac3-32ba-9a1a-8a5e7c8d82e1	Weiss T	2	1		#FDAD4A	0.422949683318977
a44d571d-9ac3-32ba-9a1a-8a5e7c8d82e1	Weiss T	3	1	da|integration	#FD913D	0.505550477129789
a44d571d-9ac3-32ba-9a1a-8a5e7c8d82e1	Weiss T	4	1		#FD913D	0.570942961722742
a44d571d-9ac3-32ba-9a1a-8a5e7c8d82e1	Weiss T	5	1	physical|psychophysical|tactile	#FDAD4A	0.493888795210645
a44d571d-9ac3-32ba-9a1a-8a5e7c8d82e1	Weiss T	6	1		#FC622F	0.688880504621533
a44d571d-9ac3-32ba-9a1a-8a5e7c8d82e1	Weiss T	7	1	somatosensory|stimulation	#FC622F	0.640406303091294
a44d571d-9ac3-32ba-9a1a-8a5e7c8d82e1	Weiss T	8	1	painful|pain	#F03623	0.732305283283699
a44d571d-9ac3-32ba-9a1a-8a5e7c8d82e1	Weiss T	9	1		#F03623	0.76932644840568
a44d571d-9ac3-32ba-9a1a-8a5e7c8d82e1	Weiss T	10	1	ratings	#FC622F	0.643268364436675
a44d571d-9ac3-32ba-9a1a-8a5e7c8d82e1	Weiss T	11	1	affective|affect	#FC622F	0.638436518347905
a44d571d-9ac3-32ba-9a1a-8a5e7c8d82e1	Weiss T	12	1	emotions	#FD913D	0.564634331788218
a44d571d-9ac3-32ba-9a1a-8a5e7c8d82e1	Weiss T	13	1	expression|expressions|facial	#FECB68	0.345992702992166
a44d571d-9ac3-32ba-9a1a-8a5e7c8d82e1	Weiss T	14	1		#FDAD4A	0.477784721265954
a44d571d-9ac3-32ba-9a1a-8a5e7c8d82e1	Weiss T	15	1		#FDAD4A	0.499408915163575
a44d571d-9ac3-32ba-9a1a-8a5e7c8d82e1	Weiss T	16	1	emotion|motion|neutral	#FDAD4A	0.489010950320761
a44d571d-9ac3-32ba-9a1a-8a5e7c8d82e1	Weiss T	17	1	rating	#FC622F	0.615680479825786
a44d571d-9ac3-32ba-9a1a-8a5e7c8d82e1	Weiss T	18	1	negative|positive	#FD913D	0.595351952565643
a44d571d-9ac3-32ba-9a1a-8a5e7c8d82e1	Weiss T	19	1		#FC622F	0.669431091015993
a44d571d-9ac3-32ba-9a1a-8a5e7c8d82e1	Weiss T	20	1	ear|order	#FC622F	0.681890569098287
a44d571d-9ac3-32ba-9a1a-8a5e7c8d82e1	Weiss T	21	1	motor	#FC622F	0.625471409210295
