UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	1	1	auditory|speech	#F03623	0.784210818060435
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	2	1		#D7141E	0.823491833785375
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	3	1	da|integration	#FD913D	0.519737409335376
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	4	1		#FC622F	0.629673277257003
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	5	1	physical|psychophysical|tactile	#FECB68	0.394257538245075
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	6	1		#FDAD4A	0.432841841357569
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	7	1	somatosensory|stimulation	#FDAD4A	0.411834628700488
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	8	1	painful|pain	#FEE188	0.248193911902063
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	9	1		#FEE188	0.269164633941985
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	10	1	ratings	#FFF1A9	0.140796902176191
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	11	1	affective|affect	#FFFFCC	0.0625402100609628
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	12	1	emotions	#FEE188	0.21347729019256
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	13	1	expression|expressions|facial	#FFFFCC	0.0372805721716167
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	14	1		#FFFFCC	0.0910301219089052
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	15	1		#FFF1A9	0.120492549882588
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	16	1	emotion|motion|neutral	#FFF1A9	0.166476149191184
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	17	1	rating	#FFF1A9	0.178168035447157
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	18	1	negative|positive	#FFF1A9	0.16405851330021
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	19	1		#FFF1A9	0.187485353415503
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	20	1	ear|order	#FEE188	0.214904541077306
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	21	1	motor	#FEE188	0.216974476535965
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	22	1	visual	#FFF1A9	0.156609595966152
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	23	1	age|image|response	#FEE188	0.222349806558359
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	1	2	sound|sounds	#D7141E	0.866605140063286
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	2	2		#D7141E	0.864663061508962
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	3	2	audiovisual|bimodal|crossmodal	#FC622F	0.658285994167581
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	4	2		#FC622F	0.629327412493248
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	5	2		#FD913D	0.561093998248521
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	6	2		#FDAD4A	0.462012087183685
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	7	2	sensation	#FECB68	0.358423559861775
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	8	2	heat|noxious	#FEE188	0.24568697198751
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	9	2		#FEE188	0.260281273615364
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	10	2		#FFF1A9	0.18096082187816
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	11	2		#FFF1A9	0.154262903476106
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	12	2	valence	#FFF1A9	0.0992218022999816
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	13	2	person|social	#FFF1A9	0.139132216503493
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	14	2		#FFFFCC	0.0929200291325553
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	15	2	face|faces	#FFFFCC	0.0441303072963851
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	16	2		#FFF1A9	0.150397170643698
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	17	2		#FFF1A9	0.169232914647245
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	18	2		#FFF1A9	0.17771660491673
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	19	2		#FFF1A9	0.181813666689233
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	20	2		#FFF1A9	0.183369600831565
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	21	2	images|spatial	#FFF1A9	0.182458416319376
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	22	2	control	#FFF1A9	0.161979227361771
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	23	2	time	#FEE188	0.213244075255485
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	1	3	acoustic|listening|musical|music|pitch	#B10026	1
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	2	3	noise|tones	#D7141E	0.884111717993012
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	3	3		#F03623	0.751983011121331
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	4	3		#FC622F	0.604916028265892
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	5	3	frequency	#FD913D	0.545782471632809
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	6	3		#FDAD4A	0.448831198122348
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	7	3		#FECB68	0.328293028485364
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	8	3	temperature	#FEE188	0.208832723321535
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	9	3		#FEE188	0.279074642676947
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	10	3	pleasant|unpleasant	#FFF1A9	0.168312979452614
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	11	3	anxiety	#FFF1A9	0.105977575475484
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	12	3		#FFF1A9	0.141039117063738
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	13	3		#FFF1A9	0.143858970692499
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	14	3		#FFF1A9	0.127739694168236
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	15	3		#FFF1A9	0.1291527987389
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	16	3	picture	#FFFFCC	0.0908630973484682
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	17	3		#FFF1A9	0.193228637708571
a4796be3-3fe3-3409-a1b5-6ba12e5855f8	Huppert TJ	18	3	value	#FFF1A9	0.177290539017584
