UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	1	1	auditory|speech	#D7141E	0.877428596121459
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	2	1		#D7141E	0.864867483798829
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	3	1	da|integration	#B10026	0.911861541790736
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	4	1		#F03623	0.776312510945996
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	5	1	physical|psychophysical|tactile	#FEE188	0.269243625527676
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	6	1		#FEE188	0.27601233188695
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	7	1	somatosensory|stimulation	#FEE188	0.202945490980222
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	8	1	painful|pain	#FFFFCC	0.0279659140613773
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	9	1		#FFFFCC	0.0936972116169766
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	10	1	ratings	#FEE188	0.235729847075813
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	11	1	affective|affect	#FEE188	0.204410784819717
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	12	1	emotions	#FECB68	0.312792275313342
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	13	1	expression|expressions|facial	#FECB68	0.362131336325186
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	14	1		#FDAD4A	0.459809203911
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	15	1		#FDAD4A	0.465939001019593
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	16	1	emotion|motion|neutral	#FDAD4A	0.408196923495282
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	17	1	rating	#FEE188	0.277707891030602
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	18	1	negative|positive	#FECB68	0.312214933283578
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	19	1		#FDAD4A	0.462442949427423
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	20	1	ear|order	#FD913D	0.531771328594614
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	21	1	motor	#FECB68	0.378515105476326
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	22	1	visual	#FD913D	0.596987129494837
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	23	1	age|image|response	#FD913D	0.545307338273767
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	1	2	sound|sounds	#F03623	0.742927559573107
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	2	2		#D7141E	0.844660646161137
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	3	2	audiovisual|bimodal|crossmodal	#B10026	0.962098724912897
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	4	2		#D7141E	0.803559432665996
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	5	2		#FD913D	0.599591232660156
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	6	2		#FECB68	0.345955175451724
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	7	2	sensation	#FFFFCC	0.0400180690698795
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	8	2	heat|noxious	#FFFFCC	0.0114452015836122
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	9	2		#FFFFCC	0.0978950399161765
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	10	2		#FEE188	0.224606945844877
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	11	2		#FEE188	0.2639452558153
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	12	2	valence	#FEE188	0.28726867799752
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	13	2	person|social	#FDAD4A	0.407281555112972
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	14	2		#FDAD4A	0.476875389872594
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	15	2	face|faces	#FD913D	0.544597152242378
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	16	2		#FDAD4A	0.491272785239305
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	17	2		#FDAD4A	0.455563950611042
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	18	2		#FDAD4A	0.468113978474782
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	19	2		#FDAD4A	0.497221681102355
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	20	2		#FD913D	0.505266524002582
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	21	2	images|spatial	#FD913D	0.520321838685275
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	22	2	control	#FDAD4A	0.478098409801138
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	23	2	time	#FD913D	0.526447571066054
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	1	3	acoustic|listening|musical|music|pitch	#F03623	0.702261448327228
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	2	3	noise|tones	#FC622F	0.692398951497915
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	3	3		#B10026	0.914693512922705
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	4	3		#D7141E	0.887368390131675
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	5	3	frequency	#F03623	0.713341292581394
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	6	3		#FD913D	0.560797543176198
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	7	3		#FFF1A9	0.126583203541748
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	8	3	temperature	#FFFFCC	0.00577417814498149
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	9	3		#FFFFCC	0.0986924310881211
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	10	3	pleasant|unpleasant	#FFF1A9	0.135783223043088
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	11	3	anxiety	#FFF1A9	0.150498696422316
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	12	3		#FECB68	0.3534743047218
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	13	3		#FDAD4A	0.472462091806126
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	14	3		#FD913D	0.501798640491133
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	15	3		#FD913D	0.547184761103299
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	16	3	picture	#FD913D	0.566185030594104
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	17	3		#FD913D	0.5887353389283
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	18	3	value	#FD913D	0.522575863285025
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	19	3	cue	#FDAD4A	0.46766950376375
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	20	3	error|target	#FDAD4A	0.484444329733273
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	21	3	attention	#FDAD4A	0.498873369958618
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	22	3		#FD913D	0.565140978237958
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	23	3	number	#FD913D	0.566187863548467
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	1	4	voice	#F03623	0.77546286267158
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	2	4		#D7141E	0.824913523149915
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	3	4	hearing	#B10026	0.945771307808033
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	4	4		#F03623	0.800094733808701
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	5	4	overt	#FC622F	0.661965419265857
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	6	4		#FC622F	0.661367423232534
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	7	4		#FEE188	0.224115640706045
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	8	4	nociceptive|nonpainful|painrelated	#FFFFCC	0
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	9	4	unpleasantness	#FFFFCC	0.0492267000493833
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	10	4	skin|subjective	#FEE188	0.21493422824686
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	11	4	depression	#FEE188	0.284536518715529
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	12	4	experience	#FEE188	0.265054247281733
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	13	4	female	#FDAD4A	0.486794342914915
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	14	4	male	#FD913D	0.553573743084873
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	15	4	pictures	#FD913D	0.554943056247239
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	16	4		#F03623	0.714462713411612
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	17	4	perception	#F03623	0.753850165461173
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	18	4		#FC622F	0.680683526785483
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	19	4		#FC622F	0.629416926107792
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	20	4		#FC622F	0.602041263984177
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	21	4	correct	#FD913D	0.521013012436387
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	22	4	work	#FD913D	0.509488201640549
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	23	4	memory	#FD913D	0.539423309444523
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	1	5	prosodic|prosody	#F03623	0.747478628825791
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	2	5	phonetic	#D7141E	0.82701026382122
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	3	5	syllable|syllables	#FC622F	0.696777531121996
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	4	5		#F03623	0.763356843204451
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	5	5	lip|production	#FC622F	0.616322434154858
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	6	5	somatotopic	#FECB68	0.385143384799093
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	7	5		#FECB68	0.312666684274235
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	8	5		#FFF1A9	0.181391348300764
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	9	5	empathy	#FEE188	0.219364852315981
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	10	5		#FECB68	0.371220866105372
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	11	5	disorder	#FECB68	0.367233924163042
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	12	5		#FD913D	0.50211476766918
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	13	5		#FC622F	0.698746102769573
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	14	5		#D7141E	0.811988928174188
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	15	5		#D7141E	0.852543267338617
a581083f-b18b-30fc-958e-1b5a0785a988	Pallier C	16	5		#B10026	0.909908149382209
