UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	1	1	auditory|speech	#FECB68	0.344287731821113
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	2	1		#FEE188	0.299242391170184
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	3	1	da|integration	#FDAD4A	0.434372596828327
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	4	1		#FDAD4A	0.472898424104767
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	5	1	physical|psychophysical|tactile	#FDAD4A	0.437579910021533
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	6	1		#FC622F	0.627479306867507
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	7	1	somatosensory|stimulation	#FD913D	0.573012430179618
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	8	1	painful|pain	#FC622F	0.69878125182022
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	9	1		#D7141E	0.802290781869181
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	10	1	ratings	#B10026	0.907984285655895
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	11	1	affective|affect	#B10026	0.928126028157146
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	12	1	emotions	#D7141E	0.868083954586031
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	13	1	expression|expressions|facial	#F03623	0.723844531855498
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	14	1		#D7141E	0.839424302626138
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	15	1		#D7141E	0.84701288766825
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	16	1	emotion|motion|neutral	#D7141E	0.819900048708284
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	17	1	rating	#D7141E	0.872453435846492
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	18	1	negative|positive	#F03623	0.746798418852048
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	19	1		#F03623	0.714033012503699
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	20	1	ear|order	#FC622F	0.623138030256846
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	21	1	motor	#FDAD4A	0.461268398533601
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	22	1	visual	#FDAD4A	0.417845566930775
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	23	1	age|image|response	#FD913D	0.595141869997337
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	1	2	sound|sounds	#FEE188	0.212621546637002
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	2	2		#FEE188	0.274113237754823
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	3	2	audiovisual|bimodal|crossmodal	#FFF1A9	0.118124710378112
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	4	2		#FDAD4A	0.47660979556416
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	5	2		#FD913D	0.544974128698832
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	6	2		#FC622F	0.633860565196538
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	7	2	sensation	#FC622F	0.672973735594791
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	8	2	heat|noxious	#FD913D	0.548280987891577
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	9	2		#D7141E	0.82957534746891
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	10	2		#B10026	0.998890928593243
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	11	2		#B10026	1
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	12	2	valence	#B10026	0.917003798910656
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	13	2	person|social	#F03623	0.748638423290549
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	14	2		#D7141E	0.848292859261786
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	15	2	face|faces	#FC622F	0.657938334249189
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	16	2		#D7141E	0.850914813140307
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	17	2		#D7141E	0.851371463814694
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	18	2		#F03623	0.7923295530847
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	19	2		#F03623	0.706554722057484
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	20	2		#FD913D	0.596256427626169
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	21	2	images|spatial	#FD913D	0.551934942293347
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	22	2	control	#FD913D	0.596317092101803
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	23	2	time	#FD913D	0.580424418409518
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	1	3	acoustic|listening|musical|music|pitch	#FFF1A9	0.157512815973489
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	2	3	noise|tones	#FFF1A9	0.19852564139108
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	3	3		#FECB68	0.372917461559667
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	4	3		#FDAD4A	0.460187655726965
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	5	3	frequency	#FD913D	0.518310016994351
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	6	3		#FC622F	0.670934537419208
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	7	3		#F03623	0.701893398930602
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	8	3	temperature	#FD913D	0.579116757252364
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	9	3		#D7141E	0.829625810403532
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	10	3	pleasant|unpleasant	#B10026	0.905549348049313
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	11	3	anxiety	#D7141E	0.866365134214146
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	12	3		#B10026	0.979195156993125
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	13	3		#B10026	0.960330148007226
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	14	3		#B10026	0.91313448685227
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	15	3		#D7141E	0.882015882329921
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	16	3	picture	#F03623	0.767874374988381
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	17	3		#D7141E	0.833309821586724
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	18	3	value	#F03623	0.770631349059041
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	19	3	cue	#FC622F	0.6327195794561
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	20	3	error|target	#FD913D	0.546610208972202
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	21	3	attention	#FDAD4A	0.485541763293736
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	22	3		#FD913D	0.568152411009738
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	23	3	number	#FD913D	0.572798619558861
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	1	4	voice	#FEE188	0.236465014957461
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	2	4		#FEE188	0.290905828709474
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	3	4	hearing	#FEE188	0.285962501876548
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	4	4		#FDAD4A	0.42974492344601
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	5	4	overt	#FDAD4A	0.430841464840107
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	6	4		#FD913D	0.515912677094749
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	7	4		#F03623	0.711082055451029
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	8	4	nociceptive|nonpainful|painrelated	#FC622F	0.617583296059141
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	9	4	unpleasantness	#FC622F	0.67858811610633
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	10	4	skin|subjective	#F03623	0.798314985811949
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	11	4	depression	#B10026	0.918631064140566
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	12	4	experience	#B10026	0.926186041694219
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	13	4	female	#D7141E	0.867565378170099
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	14	4	male	#B10026	0.91769852446755
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	15	4	pictures	#D7141E	0.816583536411574
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	16	4		#D7141E	0.815116928638364
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	17	4	perception	#FC622F	0.603850119062336
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	18	4		#FC622F	0.651072863955672
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	19	4		#FC622F	0.617335067679492
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	20	4		#FD913D	0.578637913751517
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	21	4	correct	#FD913D	0.592072258148909
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	22	4	work	#FD913D	0.549728355672912
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	23	4	memory	#FD913D	0.58299435034127
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	1	5	prosodic|prosody	#FEE188	0.293970717316051
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	2	5	phonetic	#FEE188	0.255869290327934
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	3	5	syllable|syllables	#FECB68	0.360936666329193
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	4	5		#FDAD4A	0.402155343918237
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	5	5	lip|production	#FEE188	0.224388444533298
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	6	5	somatotopic	#FEE188	0.292535032881588
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	7	5		#F03623	0.760762439557616
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	8	5		#D7141E	0.854028216430062
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	9	5	empathy	#B10026	0.926555215356416
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	10	5		#B10026	0.967168428457548
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	11	5	disorder	#D7141E	0.881354695378228
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	12	5		#B10026	0.960224283973547
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	13	5		#B10026	0.925281868139821
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	14	5		#D7141E	0.865246188875324
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	15	5		#D7141E	0.839353223951777
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	16	5		#F03623	0.755738255307569
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	17	5		#FC622F	0.662941142680255
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	18	5	mental	#FD913D	0.540870155995687
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	19	5	go	#FD913D	0.584943627383775
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	20	5	object	#FECB68	0.358849268989266
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	21	5		#FD913D	0.579079706092112
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	22	5		#FD913D	0.583578568972827
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	23	5	word|words	#FD913D	0.503720414159133
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	1	6		#FC622F	0.606857379201029
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	2	6		#FC622F	0.603007493559731
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	3	6		#FD913D	0.556897773283967
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	4	6	vocal	#FEE188	0.235276187565971
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	5	6	articulatory	#FEE188	0.236259170401709
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	6	6		#FD913D	0.518901004257658
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	7	6	oddball	#FD913D	0.564297629011827
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	8	6	perceived	#F03623	0.754880918264578
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	9	6	errorrelated	#F03623	0.705611754301243
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	10	6	approach	#F03623	0.731398763244573
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	11	6	schizophrenia	#D7141E	0.826173153310072
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	12	6	acquisition	#F03623	0.772680677789434
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	13	6		#F03623	0.762740660377316
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	14	6		#FD913D	0.568728817798673
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	15	6		#FD913D	0.577459201597992
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	16	6		#FD913D	0.584623189878035
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	17	6		#FD913D	0.564511972746474
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	18	6		#FD913D	0.528621666348291
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	19	6		#FD913D	0.554382333756019
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	20	6	objects	#FDAD4A	0.417680587971219
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	21	6		#FD913D	0.588507954489788
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	22	6		#FD913D	0.566135468254028
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	23	6	language|semantic	#FD913D	0.507924379047902
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	1	7	dopamine|dopaminergic	#FD913D	0.567136270374315
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	2	7		#FD913D	0.599963784594267
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	3	7		#FC622F	0.629926218146653
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	4	7		#FC622F	0.63000118271564
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	5	7		#FC622F	0.63871165102981
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	6	7		#F03623	0.753608049891092
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	7	7		#D7141E	0.806394921797365
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	8	7		#B10026	0.904575771692707
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	9	7		#B10026	0.909031530984361
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	10	7		#D7141E	0.835290940350796
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	11	7		#F03623	0.779316781041927
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	12	7		#F03623	0.722742251058539
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	13	7	linguistic|spoken	#FDAD4A	0.4094404202586
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	14	7		#FDAD4A	0.492021155819812
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	15	7	comprehension|sentence|sentences|syntactic	#FDAD4A	0.432073199628092
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	16	7		#FDAD4A	0.484875416675301
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	17	7		#FD913D	0.502317121885942
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	18	7	phonological|reading|read	#FDAD4A	0.448878759908699
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	19	7		#FD913D	0.541557329636561
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	20	7	perceptual|recognition	#FD913D	0.581337888849381
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	21	7		#FC622F	0.629401962635056
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	22	7		#FC622F	0.608440159572344
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	23	7	verb	#FD913D	0.59210148971505
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	1	8	outcome|reward	#FD913D	0.550113945211791
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	2	8	anticipation	#FD913D	0.594064249000013
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	3	8	outcomes	#FDAD4A	0.447883686410794
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	4	8	choice|choices	#FDAD4A	0.463106933967373
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	5	8	decisions|probability	#FD913D	0.579766995510989
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	6	8	reversal	#FD913D	0.594902747691784
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	7	8	classification|incorrect	#F03623	0.731151506622714
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	8	8		#D7141E	0.824086226392015
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	9	8	agerelated|fluency|probes	#F03623	0.724141288683666
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	10	8	engaged	#FD913D	0.536009885260922
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	11	8	explicit|knowledge	#FD913D	0.585455339676593
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	12	8		#FD913D	0.592616087268104
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	13	8		#FD913D	0.505889821164331
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	14	8		#FDAD4A	0.464483037309639
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	15	8		#FDAD4A	0.452077277614017
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	16	8		#FDAD4A	0.476650927633389
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	17	8	lexical	#FDAD4A	0.447567264027011
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	18	8		#FD913D	0.523832161478809
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	19	8		#FD913D	0.56614699381507
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	20	8		#FC622F	0.639675342344146
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	21	8	encoding	#F03623	0.715313460519612
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	22	8	retrieval	#FC622F	0.676231315675075
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	23	8	verbal	#FC622F	0.62030952836576
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	1	9	incentive|monetary|money|rewards	#FECB68	0.364277687439407
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	2	9	loss	#FD913D	0.521565633967154
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	3	9		#FC622F	0.620901748677872
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	4	9		#FC622F	0.676729198937655
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	5	9	decisionmaking	#FD913D	0.564166146986948
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	6	9		#F03623	0.773440476041456
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	7	9		#F03623	0.762821674623893
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	8	9		#F03623	0.79170712324271
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	9	9		#F03623	0.77948940141942
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	10	9		#FC622F	0.68197540231177
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	11	9		#FD913D	0.598511784320833
a7a4f7ea-d3f4-386c-8b23-5a16257b01ce	Rufer M	12	9		#FD913D	0.567005215283408
