UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
aa513742-6da8-3bcd-bee1-1ec5692edc3e	Wu MT	1	1	auditory|speech	#FFFFCC	0.0252862016583591
aa513742-6da8-3bcd-bee1-1ec5692edc3e	Wu MT	2	1		#FFFFCC	0.0449550282776794
aa513742-6da8-3bcd-bee1-1ec5692edc3e	Wu MT	3	1	da|integration	#FFF1A9	0.170131604497491
aa513742-6da8-3bcd-bee1-1ec5692edc3e	Wu MT	4	1		#FFF1A9	0.179264857714943
aa513742-6da8-3bcd-bee1-1ec5692edc3e	Wu MT	5	1	physical|psychophysical|tactile	#FFF1A9	0.195063245014355
aa513742-6da8-3bcd-bee1-1ec5692edc3e	Wu MT	6	1		#FECB68	0.350525103980553
aa513742-6da8-3bcd-bee1-1ec5692edc3e	Wu MT	7	1	somatosensory|stimulation	#FECB68	0.338182038272077
aa513742-6da8-3bcd-bee1-1ec5692edc3e	Wu MT	8	1	painful|pain	#FDAD4A	0.448099796440125
aa513742-6da8-3bcd-bee1-1ec5692edc3e	Wu MT	9	1		#FDAD4A	0.475138570412177
aa513742-6da8-3bcd-bee1-1ec5692edc3e	Wu MT	10	1	ratings	#FDAD4A	0.425755528108849
aa513742-6da8-3bcd-bee1-1ec5692edc3e	Wu MT	11	1	affective|affect	#FEE188	0.284231148662422
aa513742-6da8-3bcd-bee1-1ec5692edc3e	Wu MT	12	1	emotions	#FEE188	0.199777995775455
aa513742-6da8-3bcd-bee1-1ec5692edc3e	Wu MT	13	1	expression|expressions|facial	#FFF1A9	0.122002261689644
aa513742-6da8-3bcd-bee1-1ec5692edc3e	Wu MT	14	1		#FEE188	0.22355389133237
aa513742-6da8-3bcd-bee1-1ec5692edc3e	Wu MT	15	1		#FFF1A9	0.190889021696254
aa513742-6da8-3bcd-bee1-1ec5692edc3e	Wu MT	16	1	emotion|motion|neutral	#FFF1A9	0.150946863341758
aa513742-6da8-3bcd-bee1-1ec5692edc3e	Wu MT	17	1	rating	#FECB68	0.307951892662717
aa513742-6da8-3bcd-bee1-1ec5692edc3e	Wu MT	18	1	negative|positive	#FECB68	0.338332241647542
aa513742-6da8-3bcd-bee1-1ec5692edc3e	Wu MT	19	1		#FEE188	0.258491108657235
aa513742-6da8-3bcd-bee1-1ec5692edc3e	Wu MT	20	1	ear|order	#FFF1A9	0.173276792971375
aa513742-6da8-3bcd-bee1-1ec5692edc3e	Wu MT	21	1	motor	#FFF1A9	0.135129778711323
aa513742-6da8-3bcd-bee1-1ec5692edc3e	Wu MT	22	1	visual	#FFFFCC	0.089661781554252
aa513742-6da8-3bcd-bee1-1ec5692edc3e	Wu MT	23	1	age|image|response	#FFF1A9	0.155343276160004
aa513742-6da8-3bcd-bee1-1ec5692edc3e	Wu MT	1	2	sound|sounds	#FFFFCC	0.0333659452690414
aa513742-6da8-3bcd-bee1-1ec5692edc3e	Wu MT	2	2		#FFFFCC	0.0401623520624436
aa513742-6da8-3bcd-bee1-1ec5692edc3e	Wu MT	3	2	audiovisual|bimodal|crossmodal	#FFFFCC	0.064324459498394
