UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
ab9b771f-358b-3af3-9083-a81502856bd8	Mochizuki-Kawai H	1	1	auditory|speech	#FEE188	0.287533254377741
ab9b771f-358b-3af3-9083-a81502856bd8	Mochizuki-Kawai H	2	1		#FEE188	0.273450386730875
ab9b771f-358b-3af3-9083-a81502856bd8	Mochizuki-Kawai H	3	1	da|integration	#FD913D	0.593158384266487
ab9b771f-358b-3af3-9083-a81502856bd8	Mochizuki-Kawai H	4	1		#FDAD4A	0.423453944521535
ab9b771f-358b-3af3-9083-a81502856bd8	Mochizuki-Kawai H	5	1	physical|psychophysical|tactile	#FEE188	0.223159220267228
ab9b771f-358b-3af3-9083-a81502856bd8	Mochizuki-Kawai H	6	1		#FECB68	0.30789442374681
ab9b771f-358b-3af3-9083-a81502856bd8	Mochizuki-Kawai H	7	1	somatosensory|stimulation	#FEE188	0.243971519332562
ab9b771f-358b-3af3-9083-a81502856bd8	Mochizuki-Kawai H	8	1	painful|pain	#FEE188	0.230856645417675
ab9b771f-358b-3af3-9083-a81502856bd8	Mochizuki-Kawai H	9	1		#FECB68	0.339899735238202
ab9b771f-358b-3af3-9083-a81502856bd8	Mochizuki-Kawai H	10	1	ratings	#FD913D	0.558639046467003
ab9b771f-358b-3af3-9083-a81502856bd8	Mochizuki-Kawai H	11	1	affective|affect	#FD913D	0.537474973933406
ab9b771f-358b-3af3-9083-a81502856bd8	Mochizuki-Kawai H	12	1	emotions	#FD913D	0.598432816914883
ab9b771f-358b-3af3-9083-a81502856bd8	Mochizuki-Kawai H	13	1	expression|expressions|facial	#FD913D	0.540258737952387
ab9b771f-358b-3af3-9083-a81502856bd8	Mochizuki-Kawai H	14	1		#F03623	0.711690030139573
ab9b771f-358b-3af3-9083-a81502856bd8	Mochizuki-Kawai H	15	1		#F03623	0.751878277093663
ab9b771f-358b-3af3-9083-a81502856bd8	Mochizuki-Kawai H	16	1	emotion|motion|neutral	#F03623	0.713653151193609
ab9b771f-358b-3af3-9083-a81502856bd8	Mochizuki-Kawai H	17	1	rating	#FC622F	0.6516185440816
ab9b771f-358b-3af3-9083-a81502856bd8	Mochizuki-Kawai H	18	1	negative|positive	#F03623	0.704232553295083
ab9b771f-358b-3af3-9083-a81502856bd8	Mochizuki-Kawai H	19	1		#F03623	0.760321787827757
ab9b771f-358b-3af3-9083-a81502856bd8	Mochizuki-Kawai H	20	1	ear|order	#F03623	0.715862358504252
ab9b771f-358b-3af3-9083-a81502856bd8	Mochizuki-Kawai H	21	1	motor	#FDAD4A	0.422702212119385
ab9b771f-358b-3af3-9083-a81502856bd8	Mochizuki-Kawai H	22	1	visual	#F03623	0.710611210826212
