UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
acbb02e1-7e2a-3210-a3b3-5c9788bcb326	Detre JA	1	1	auditory|speech	#FDAD4A	0.483627389898779
acbb02e1-7e2a-3210-a3b3-5c9788bcb326	Detre JA	2	1		#FDAD4A	0.423150478188998
acbb02e1-7e2a-3210-a3b3-5c9788bcb326	Detre JA	3	1	da|integration	#F03623	0.726395247760558
acbb02e1-7e2a-3210-a3b3-5c9788bcb326	Detre JA	4	1		#FC622F	0.682543868851668
acbb02e1-7e2a-3210-a3b3-5c9788bcb326	Detre JA	5	1	physical|psychophysical|tactile	#FD913D	0.579946796072485
acbb02e1-7e2a-3210-a3b3-5c9788bcb326	Detre JA	6	1		#D7141E	0.810155201180135
acbb02e1-7e2a-3210-a3b3-5c9788bcb326	Detre JA	7	1	somatosensory|stimulation	#F03623	0.790370710970953
acbb02e1-7e2a-3210-a3b3-5c9788bcb326	Detre JA	8	1	painful|pain	#FC622F	0.698524634330289
acbb02e1-7e2a-3210-a3b3-5c9788bcb326	Detre JA	9	1		#D7141E	0.809407680479627
acbb02e1-7e2a-3210-a3b3-5c9788bcb326	Detre JA	10	1	ratings	#D7141E	0.861272806730048
acbb02e1-7e2a-3210-a3b3-5c9788bcb326	Detre JA	11	1	affective|affect	#FC622F	0.670803631971741
acbb02e1-7e2a-3210-a3b3-5c9788bcb326	Detre JA	12	1	emotions	#FC622F	0.665686354389129
acbb02e1-7e2a-3210-a3b3-5c9788bcb326	Detre JA	13	1	expression|expressions|facial	#FD913D	0.525294440570479
acbb02e1-7e2a-3210-a3b3-5c9788bcb326	Detre JA	14	1		#F03623	0.737145524885785
acbb02e1-7e2a-3210-a3b3-5c9788bcb326	Detre JA	15	1		#D7141E	0.8303725786251
acbb02e1-7e2a-3210-a3b3-5c9788bcb326	Detre JA	16	1	emotion|motion|neutral	#D7141E	0.870074291843915
acbb02e1-7e2a-3210-a3b3-5c9788bcb326	Detre JA	17	1	rating	#D7141E	0.876186822217103
acbb02e1-7e2a-3210-a3b3-5c9788bcb326	Detre JA	18	1	negative|positive	#D7141E	0.869684379535267
acbb02e1-7e2a-3210-a3b3-5c9788bcb326	Detre JA	19	1		#B10026	0.967208167983564
acbb02e1-7e2a-3210-a3b3-5c9788bcb326	Detre JA	20	1	ear|order	#D7141E	0.884723628588874
acbb02e1-7e2a-3210-a3b3-5c9788bcb326	Detre JA	21	1	motor	#D7141E	0.844712425961456
acbb02e1-7e2a-3210-a3b3-5c9788bcb326	Detre JA	22	1	visual	#D7141E	0.898582484230057
acbb02e1-7e2a-3210-a3b3-5c9788bcb326	Detre JA	23	1	age|image|response	#B10026	0.911379455071667
acbb02e1-7e2a-3210-a3b3-5c9788bcb326	Detre JA	1	2	sound|sounds	#FEE188	0.267670613289015
