UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
ace97e41-8bcf-3aa5-9e5c-acd8d682893c	Benali H	1	1	auditory|speech	#FD913D	0.540265670598278
ace97e41-8bcf-3aa5-9e5c-acd8d682893c	Benali H	2	1		#FDAD4A	0.495297829270226
ace97e41-8bcf-3aa5-9e5c-acd8d682893c	Benali H	3	1	da|integration	#FD913D	0.518829475346282
ace97e41-8bcf-3aa5-9e5c-acd8d682893c	Benali H	4	1		#FD913D	0.53790959443043
ace97e41-8bcf-3aa5-9e5c-acd8d682893c	Benali H	5	1	physical|psychophysical|tactile	#FECB68	0.377443692930812
ace97e41-8bcf-3aa5-9e5c-acd8d682893c	Benali H	6	1		#FD913D	0.600070193961096
ace97e41-8bcf-3aa5-9e5c-acd8d682893c	Benali H	7	1	somatosensory|stimulation	#FC622F	0.653796565207741
ace97e41-8bcf-3aa5-9e5c-acd8d682893c	Benali H	8	1	painful|pain	#FD913D	0.565824262965704
ace97e41-8bcf-3aa5-9e5c-acd8d682893c	Benali H	9	1		#FC622F	0.652106861783428
ace97e41-8bcf-3aa5-9e5c-acd8d682893c	Benali H	10	1	ratings	#F03623	0.747564794705465
ace97e41-8bcf-3aa5-9e5c-acd8d682893c	Benali H	11	1	affective|affect	#FD913D	0.574753677701808
ace97e41-8bcf-3aa5-9e5c-acd8d682893c	Benali H	12	1	emotions	#FD913D	0.509491072640058
ace97e41-8bcf-3aa5-9e5c-acd8d682893c	Benali H	13	1	expression|expressions|facial	#FEE188	0.242179531993896
ace97e41-8bcf-3aa5-9e5c-acd8d682893c	Benali H	14	1		#FDAD4A	0.472061966298784
ace97e41-8bcf-3aa5-9e5c-acd8d682893c	Benali H	15	1		#FDAD4A	0.492597986759736
ace97e41-8bcf-3aa5-9e5c-acd8d682893c	Benali H	16	1	emotion|motion|neutral	#FDAD4A	0.483324944989268
ace97e41-8bcf-3aa5-9e5c-acd8d682893c	Benali H	17	1	rating	#FC622F	0.661160747616828
ace97e41-8bcf-3aa5-9e5c-acd8d682893c	Benali H	18	1	negative|positive	#FC622F	0.664154110792758
ace97e41-8bcf-3aa5-9e5c-acd8d682893c	Benali H	19	1		#FD913D	0.589215336669673
ace97e41-8bcf-3aa5-9e5c-acd8d682893c	Benali H	20	1	ear|order	#FDAD4A	0.478892063710684
ace97e41-8bcf-3aa5-9e5c-acd8d682893c	Benali H	21	1	motor	#FDAD4A	0.414714999478986
ace97e41-8bcf-3aa5-9e5c-acd8d682893c	Benali H	22	1	visual	#FEE188	0.221369417379138
ace97e41-8bcf-3aa5-9e5c-acd8d682893c	Benali H	23	1	age|image|response	#FDAD4A	0.451538374564489
ace97e41-8bcf-3aa5-9e5c-acd8d682893c	Benali H	1	2	sound|sounds	#FDAD4A	0.430936781865789
ace97e41-8bcf-3aa5-9e5c-acd8d682893c	Benali H	2	2		#FDAD4A	0.480851367370715
