UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
ad7ebe8c-352c-39e5-b025-09477af263db	Knauff M	1	1	auditory|speech	#F03623	0.783141830995247
ad7ebe8c-352c-39e5-b025-09477af263db	Knauff M	2	1		#F03623	0.736518787583527
ad7ebe8c-352c-39e5-b025-09477af263db	Knauff M	3	1	da|integration	#D7141E	0.8421749661328
ad7ebe8c-352c-39e5-b025-09477af263db	Knauff M	4	1		#D7141E	0.878541241105701
ad7ebe8c-352c-39e5-b025-09477af263db	Knauff M	5	1	physical|psychophysical|tactile	#F03623	0.741930449163673
ad7ebe8c-352c-39e5-b025-09477af263db	Knauff M	6	1		#F03623	0.775302836714583
ad7ebe8c-352c-39e5-b025-09477af263db	Knauff M	7	1	somatosensory|stimulation	#FC622F	0.657959698539014
ad7ebe8c-352c-39e5-b025-09477af263db	Knauff M	8	1	painful|pain	#FD913D	0.515462390934632
ad7ebe8c-352c-39e5-b025-09477af263db	Knauff M	9	1		#FD913D	0.565078466862086
ad7ebe8c-352c-39e5-b025-09477af263db	Knauff M	10	1	ratings	#FDAD4A	0.472178606739649
ad7ebe8c-352c-39e5-b025-09477af263db	Knauff M	11	1	affective|affect	#FD913D	0.501422174502813
ad7ebe8c-352c-39e5-b025-09477af263db	Knauff M	12	1	emotions	#FDAD4A	0.456535805219161
ad7ebe8c-352c-39e5-b025-09477af263db	Knauff M	13	1	expression|expressions|facial	#FFF1A9	0.144472600699234
ad7ebe8c-352c-39e5-b025-09477af263db	Knauff M	14	1		#FECB68	0.341741803884424
ad7ebe8c-352c-39e5-b025-09477af263db	Knauff M	15	1		#FECB68	0.388669209474541
ad7ebe8c-352c-39e5-b025-09477af263db	Knauff M	16	1	emotion|motion|neutral	#FECB68	0.39401584234184
ad7ebe8c-352c-39e5-b025-09477af263db	Knauff M	17	1	rating	#FD913D	0.511407289670654
ad7ebe8c-352c-39e5-b025-09477af263db	Knauff M	18	1	negative|positive	#FD913D	0.594133342246576
ad7ebe8c-352c-39e5-b025-09477af263db	Knauff M	19	1		#F03623	0.773247969368897
ad7ebe8c-352c-39e5-b025-09477af263db	Knauff M	20	1	ear|order	#D7141E	0.844637275700352
ad7ebe8c-352c-39e5-b025-09477af263db	Knauff M	21	1	motor	#F03623	0.776211272055881
ad7ebe8c-352c-39e5-b025-09477af263db	Knauff M	22	1	visual	#FC622F	0.646426373268062
ad7ebe8c-352c-39e5-b025-09477af263db	Knauff M	23	1	age|image|response	#F03623	0.711143645747457
ad7ebe8c-352c-39e5-b025-09477af263db	Knauff M	1	2	sound|sounds	#FC622F	0.631393716809147
