UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	1	1	auditory|speech	#FC622F	0.632434540513176
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	2	1		#FC622F	0.603424549329579
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	3	1	da|integration	#FC622F	0.636283563889434
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	4	1		#FC622F	0.62689666007552
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	5	1	physical|psychophysical|tactile	#FECB68	0.333444881651622
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	6	1		#FECB68	0.359658980565374
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	7	1	somatosensory|stimulation	#FECB68	0.321722487457756
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	8	1	painful|pain	#FFF1A9	0.149900786053987
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	9	1		#FEE188	0.209833679327909
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	10	1	ratings	#FECB68	0.314159071240896
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	11	1	affective|affect	#FFF1A9	0.146365445811566
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	12	1	emotions	#FECB68	0.34900513551475
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	13	1	expression|expressions|facial	#FDAD4A	0.481100546327958
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	14	1		#FDAD4A	0.479590065564211
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	15	1		#FDAD4A	0.455130843440005
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	16	1	emotion|motion|neutral	#FDAD4A	0.443096179045222
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	17	1	rating	#FECB68	0.328866392322089
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	18	1	negative|positive	#FEE188	0.261396194152439
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	19	1		#FECB68	0.38053262069589
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	20	1	ear|order	#FECB68	0.378820896680046
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	21	1	motor	#FDAD4A	0.405208849114474
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	22	1	visual	#FD913D	0.53210000880853
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	23	1	age|image|response	#FDAD4A	0.428166310041396
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	1	2	sound|sounds	#FDAD4A	0.497233055554556
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	2	2		#FD913D	0.588944531682836
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	3	2	audiovisual|bimodal|crossmodal	#F03623	0.706648611585492
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	4	2		#FC622F	0.642600804403038
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	5	2		#FD913D	0.547375915952584
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	6	2		#FDAD4A	0.40074861187669
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	7	2	sensation	#FFF1A9	0.167333004020854
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	8	2	heat|noxious	#FFF1A9	0.156888299999858
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	9	2		#FEE188	0.209786712838173
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	10	2		#FEE188	0.259328492193907
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	11	2		#FEE188	0.286324109140206
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	12	2	valence	#FEE188	0.242547003424394
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	13	2	person|social	#FDAD4A	0.461692633371771
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	14	2		#FDAD4A	0.492599442107905
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	15	2	face|faces	#FDAD4A	0.471185782444598
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	16	2		#FDAD4A	0.482474451919232
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	17	2		#FDAD4A	0.433146336970991
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	18	2		#FDAD4A	0.421241068126334
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	19	2		#FDAD4A	0.409820308935334
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	20	2		#FDAD4A	0.426797829237507
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	21	2	images|spatial	#FDAD4A	0.45636581013906
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	22	2	control	#FECB68	0.387778356303108
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	23	2	time	#FDAD4A	0.424590093799468
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	1	3	acoustic|listening|musical|music|pitch	#FD913D	0.505232752370504
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	2	3	noise|tones	#FDAD4A	0.480665261685585
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	3	3		#FC622F	0.670955530786963
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	4	3		#FC622F	0.673113055056483
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	5	3	frequency	#FD913D	0.579448882759474
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	6	3		#FD913D	0.515145782948903
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	7	3		#FEE188	0.239487472440373
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	8	3	temperature	#FFF1A9	0.122491508363993
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	9	3		#FEE188	0.205159442059837
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	10	3	pleasant|unpleasant	#FEE188	0.216223187447973
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	11	3	anxiety	#FFF1A9	0.15699279235344
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	12	3		#FECB68	0.389660456589302
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	13	3		#FDAD4A	0.490946581433307
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	14	3		#FDAD4A	0.483991876791037
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	15	3		#FD913D	0.518828716047443
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	16	3	picture	#FDAD4A	0.492016399650466
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	17	3		#FD913D	0.540717116416947
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	18	3	value	#FDAD4A	0.443542424528293
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	19	3	cue	#FECB68	0.367926473660597
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	20	3	error|target	#FECB68	0.372266709982231
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	21	3	attention	#FECB68	0.395878817680605
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	22	3		#FECB68	0.392330039054578
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	23	3	number	#FECB68	0.379581259492961
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	1	4	voice	#FD913D	0.540112140275166
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	2	4		#FD913D	0.569084683129676
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	3	4	hearing	#F03623	0.711623217352878
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	4	4		#FC622F	0.610934431652241
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	5	4	overt	#FDAD4A	0.484411083920837
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	6	4		#FD913D	0.585880741688778
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	7	4		#FECB68	0.320553052679998
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	8	4	nociceptive|nonpainful|painrelated	#FFF1A9	0.128777287126975
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	9	4	unpleasantness	#FFF1A9	0.178938278790554
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	10	4	skin|subjective	#FEE188	0.222713281449251
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	11	4	depression	#FEE188	0.258229098261056
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	12	4	experience	#FECB68	0.357169755404564
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	13	4	female	#FD913D	0.566373170913643
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	14	4	male	#FD913D	0.516254064938228
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	15	4	pictures	#FD913D	0.502994830528507
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	16	4		#FC622F	0.656084107132042
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	17	4	perception	#F03623	0.798920359333966
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	18	4		#FD913D	0.574774951142725
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	19	4		#FDAD4A	0.494742424783234
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	20	4		#FDAD4A	0.454773343523059
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	21	4	correct	#FECB68	0.305097149203506
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	22	4	work	#FEE188	0.297781253818815
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	23	4	memory	#FEE188	0.278225929977224
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	1	5	prosodic|prosody	#FD913D	0.508324974630594
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	2	5	phonetic	#FDAD4A	0.46137802632924
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	3	5	syllable|syllables	#FD913D	0.509499250908086
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	4	5		#FD913D	0.583164557622004
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	5	5	lip|production	#FD913D	0.590031407637029
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	6	5	somatotopic	#FD913D	0.522846687598864
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	7	5		#FECB68	0.398071360424498
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	8	5		#FEE188	0.27712411002812
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	9	5	empathy	#FEE188	0.271555470248879
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	10	5		#FECB68	0.352137329984947
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	11	5	disorder	#FEE188	0.247776941608249
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	12	5		#FDAD4A	0.467820506877462
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	13	5		#FD913D	0.577529478137454
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	14	5		#FC622F	0.613583479829249
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	15	5		#FC622F	0.656126830167056
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	16	5		#F03623	0.72251058404576
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	17	5		#F03623	0.723475503279068
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	18	5	mental	#FD913D	0.527418344703078
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	19	5	go	#FDAD4A	0.477593895523125
adf8c1c7-85d7-35da-b00c-8615c218b884	Saygin AP	20	5	object	#FD913D	0.535926464716181
