UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
afe48e32-2105-3dd7-97e9-8d6ee161b822	Green MJ	1	1	auditory|speech	#FECB68	0.352446576537639
afe48e32-2105-3dd7-97e9-8d6ee161b822	Green MJ	2	1		#FECB68	0.323037666155458
afe48e32-2105-3dd7-97e9-8d6ee161b822	Green MJ	3	1	da|integration	#FD913D	0.586417261453415
afe48e32-2105-3dd7-97e9-8d6ee161b822	Green MJ	4	1		#FDAD4A	0.485208937610234
afe48e32-2105-3dd7-97e9-8d6ee161b822	Green MJ	5	1	physical|psychophysical|tactile	#FECB68	0.32379207935766
afe48e32-2105-3dd7-97e9-8d6ee161b822	Green MJ	6	1		#FECB68	0.357377797470108
afe48e32-2105-3dd7-97e9-8d6ee161b822	Green MJ	7	1	somatosensory|stimulation	#FEE188	0.283284755952455
afe48e32-2105-3dd7-97e9-8d6ee161b822	Green MJ	8	1	painful|pain	#FEE188	0.23393360683412
afe48e32-2105-3dd7-97e9-8d6ee161b822	Green MJ	9	1		#FEE188	0.289011852431205
afe48e32-2105-3dd7-97e9-8d6ee161b822	Green MJ	10	1	ratings	#FDAD4A	0.405507664499508
afe48e32-2105-3dd7-97e9-8d6ee161b822	Green MJ	11	1	affective|affect	#FD913D	0.506887803401906
afe48e32-2105-3dd7-97e9-8d6ee161b822	Green MJ	12	1	emotions	#FDAD4A	0.414980835464835
afe48e32-2105-3dd7-97e9-8d6ee161b822	Green MJ	13	1	expression|expressions|facial	#FECB68	0.381449056230878
afe48e32-2105-3dd7-97e9-8d6ee161b822	Green MJ	14	1		#FD913D	0.530215776947461
afe48e32-2105-3dd7-97e9-8d6ee161b822	Green MJ	15	1		#FD913D	0.560081459812357
afe48e32-2105-3dd7-97e9-8d6ee161b822	Green MJ	16	1	emotion|motion|neutral	#FD913D	0.50404776364162
afe48e32-2105-3dd7-97e9-8d6ee161b822	Green MJ	17	1	rating	#FDAD4A	0.491698792978549
afe48e32-2105-3dd7-97e9-8d6ee161b822	Green MJ	18	1	negative|positive	#FD913D	0.58785875108442
afe48e32-2105-3dd7-97e9-8d6ee161b822	Green MJ	19	1		#F03623	0.736156114943163
afe48e32-2105-3dd7-97e9-8d6ee161b822	Green MJ	20	1	ear|order	#D7141E	0.803052883486239
afe48e32-2105-3dd7-97e9-8d6ee161b822	Green MJ	21	1	motor	#FD913D	0.589364363186347
afe48e32-2105-3dd7-97e9-8d6ee161b822	Green MJ	22	1	visual	#FC622F	0.675921596580103
afe48e32-2105-3dd7-97e9-8d6ee161b822	Green MJ	23	1	age|image|response	#F03623	0.719904341995229
afe48e32-2105-3dd7-97e9-8d6ee161b822	Green MJ	1	2	sound|sounds	#FFF1A9	0.180206966222285
afe48e32-2105-3dd7-97e9-8d6ee161b822	Green MJ	2	2		#FEE188	0.283683759313263
afe48e32-2105-3dd7-97e9-8d6ee161b822	Green MJ	3	2	audiovisual|bimodal|crossmodal	#FEE188	0.229405178146818
afe48e32-2105-3dd7-97e9-8d6ee161b822	Green MJ	4	2		#FDAD4A	0.499437391041814
afe48e32-2105-3dd7-97e9-8d6ee161b822	Green MJ	5	2		#FDAD4A	0.451676063199363
afe48e32-2105-3dd7-97e9-8d6ee161b822	Green MJ	6	2		#FECB68	0.39261084818526
afe48e32-2105-3dd7-97e9-8d6ee161b822	Green MJ	7	2	sensation	#FFF1A9	0.158973934048474
afe48e32-2105-3dd7-97e9-8d6ee161b822	Green MJ	8	2	heat|noxious	#FFF1A9	0.171606559425799
afe48e32-2105-3dd7-97e9-8d6ee161b822	Green MJ	9	2		#FECB68	0.307369350225005
afe48e32-2105-3dd7-97e9-8d6ee161b822	Green MJ	10	2		#FDAD4A	0.444505454794001
afe48e32-2105-3dd7-97e9-8d6ee161b822	Green MJ	11	2		#FDAD4A	0.467516725226386
afe48e32-2105-3dd7-97e9-8d6ee161b822	Green MJ	12	2	valence	#FDAD4A	0.410221271609711
afe48e32-2105-3dd7-97e9-8d6ee161b822	Green MJ	13	2	person|social	#FDAD4A	0.405904692303101
afe48e32-2105-3dd7-97e9-8d6ee161b822	Green MJ	14	2		#FD913D	0.549203558068079
afe48e32-2105-3dd7-97e9-8d6ee161b822	Green MJ	15	2	face|faces	#FD913D	0.565252409237602
afe48e32-2105-3dd7-97e9-8d6ee161b822	Green MJ	16	2		#FC622F	0.605177485707655
afe48e32-2105-3dd7-97e9-8d6ee161b822	Green MJ	17	2		#FC622F	0.633743449058217
afe48e32-2105-3dd7-97e9-8d6ee161b822	Green MJ	18	2		#F03623	0.710252144804709
afe48e32-2105-3dd7-97e9-8d6ee161b822	Green MJ	19	2		#F03623	0.764074960623335
afe48e32-2105-3dd7-97e9-8d6ee161b822	Green MJ	20	2		#F03623	0.758376208133491
afe48e32-2105-3dd7-97e9-8d6ee161b822	Green MJ	21	2	images|spatial	#F03623	0.720533306839641
afe48e32-2105-3dd7-97e9-8d6ee161b822	Green MJ	22	2	control	#F03623	0.754600351377244
afe48e32-2105-3dd7-97e9-8d6ee161b822	Green MJ	23	2	time	#F03623	0.728445177875956
afe48e32-2105-3dd7-97e9-8d6ee161b822	Green MJ	1	3	acoustic|listening|musical|music|pitch	#FFFFCC	0.0675377116603224
afe48e32-2105-3dd7-97e9-8d6ee161b822	Green MJ	2	3	noise|tones	#FFF1A9	0.150701714683788
afe48e32-2105-3dd7-97e9-8d6ee161b822	Green MJ	3	3		#FDAD4A	0.40927059536849
afe48e32-2105-3dd7-97e9-8d6ee161b822	Green MJ	4	3		#FD913D	0.517165706360183
