UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
b08476ac-8ac4-3711-9eab-f396f96c0af1	Kim JW	1	1	auditory|speech	#FECB68	0.342182762257913
b08476ac-8ac4-3711-9eab-f396f96c0af1	Kim JW	2	1		#FEE188	0.272342579921071
b08476ac-8ac4-3711-9eab-f396f96c0af1	Kim JW	3	1	da|integration	#FDAD4A	0.415016830275579
b08476ac-8ac4-3711-9eab-f396f96c0af1	Kim JW	4	1		#FECB68	0.384670458360283
b08476ac-8ac4-3711-9eab-f396f96c0af1	Kim JW	5	1	physical|psychophysical|tactile	#FECB68	0.325525899203791
b08476ac-8ac4-3711-9eab-f396f96c0af1	Kim JW	6	1		#FD913D	0.515537033675575
b08476ac-8ac4-3711-9eab-f396f96c0af1	Kim JW	7	1	somatosensory|stimulation	#FD913D	0.530643161676723
b08476ac-8ac4-3711-9eab-f396f96c0af1	Kim JW	8	1	painful|pain	#FD913D	0.517635278669286
b08476ac-8ac4-3711-9eab-f396f96c0af1	Kim JW	9	1		#FC622F	0.650778994478191
b08476ac-8ac4-3711-9eab-f396f96c0af1	Kim JW	10	1	ratings	#D7141E	0.856032748455233
b08476ac-8ac4-3711-9eab-f396f96c0af1	Kim JW	11	1	affective|affect	#B10026	1
b08476ac-8ac4-3711-9eab-f396f96c0af1	Kim JW	12	1	emotions	#B10026	0.928169547407789
b08476ac-8ac4-3711-9eab-f396f96c0af1	Kim JW	13	1	expression|expressions|facial	#FC622F	0.609684562940507
b08476ac-8ac4-3711-9eab-f396f96c0af1	Kim JW	14	1		#F03623	0.76314775109122
b08476ac-8ac4-3711-9eab-f396f96c0af1	Kim JW	15	1		#F03623	0.792515765472541
b08476ac-8ac4-3711-9eab-f396f96c0af1	Kim JW	16	1	emotion|motion|neutral	#D7141E	0.809809218072118
b08476ac-8ac4-3711-9eab-f396f96c0af1	Kim JW	17	1	rating	#D7141E	0.824076436053525
b08476ac-8ac4-3711-9eab-f396f96c0af1	Kim JW	18	1	negative|positive	#D7141E	0.823178477760571
