UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
b2509028-5823-30f2-a23c-5257fc081900	Geminiani GC	1	1	auditory|speech	#FDAD4A	0.445467300052782
b2509028-5823-30f2-a23c-5257fc081900	Geminiani GC	2	1		#FECB68	0.349729287233922
b2509028-5823-30f2-a23c-5257fc081900	Geminiani GC	3	1	da|integration	#FD913D	0.529863876788567
b2509028-5823-30f2-a23c-5257fc081900	Geminiani GC	4	1		#FD913D	0.599580505874415
b2509028-5823-30f2-a23c-5257fc081900	Geminiani GC	5	1	physical|psychophysical|tactile	#FD913D	0.558380738108454
b2509028-5823-30f2-a23c-5257fc081900	Geminiani GC	6	1		#FC622F	0.661238432673467
b2509028-5823-30f2-a23c-5257fc081900	Geminiani GC	7	1	somatosensory|stimulation	#F03623	0.725925857704506
b2509028-5823-30f2-a23c-5257fc081900	Geminiani GC	8	1	painful|pain	#FDAD4A	0.421385630151734
b2509028-5823-30f2-a23c-5257fc081900	Geminiani GC	9	1		#FDAD4A	0.480311016035973
b2509028-5823-30f2-a23c-5257fc081900	Geminiani GC	10	1	ratings	#FD913D	0.504722388149287
b2509028-5823-30f2-a23c-5257fc081900	Geminiani GC	11	1	affective|affect	#FDAD4A	0.448167426563589
b2509028-5823-30f2-a23c-5257fc081900	Geminiani GC	12	1	emotions	#FDAD4A	0.408626726136017
b2509028-5823-30f2-a23c-5257fc081900	Geminiani GC	13	1	expression|expressions|facial	#FECB68	0.340792475349722
b2509028-5823-30f2-a23c-5257fc081900	Geminiani GC	14	1		#FDAD4A	0.461443993695043
b2509028-5823-30f2-a23c-5257fc081900	Geminiani GC	15	1		#FDAD4A	0.483026307634094
b2509028-5823-30f2-a23c-5257fc081900	Geminiani GC	16	1	emotion|motion|neutral	#FDAD4A	0.48254538234539
b2509028-5823-30f2-a23c-5257fc081900	Geminiani GC	17	1	rating	#FDAD4A	0.499543090972883
b2509028-5823-30f2-a23c-5257fc081900	Geminiani GC	18	1	negative|positive	#FD913D	0.567892174898285
b2509028-5823-30f2-a23c-5257fc081900	Geminiani GC	19	1		#FC622F	0.650707119309256
b2509028-5823-30f2-a23c-5257fc081900	Geminiani GC	20	1	ear|order	#FD913D	0.547573399255879
b2509028-5823-30f2-a23c-5257fc081900	Geminiani GC	21	1	motor	#F03623	0.769696699693574
