UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	1	1	auditory|speech	#FFF1A9	0.196718470447977
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	2	1		#FEE188	0.252511428286383
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	3	1	da|integration	#FECB68	0.301201880807448
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	4	1		#FECB68	0.309327072967698
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	5	1	physical|psychophysical|tactile	#FFF1A9	0.171441543219673
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	6	1		#FFF1A9	0.147781834108533
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	7	1	somatosensory|stimulation	#FFFFCC	0.0714058146816832
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	8	1	painful|pain	#FFFFCC	0.0708129785168108
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	9	1		#FFF1A9	0.128528155391506
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	10	1	ratings	#FECB68	0.304101968602845
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	11	1	affective|affect	#FEE188	0.278372892564407
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	12	1	emotions	#FDAD4A	0.450756968177614
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	13	1	expression|expressions|facial	#FD913D	0.555664340107623
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	14	1		#FD913D	0.575535031996692
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	15	1		#FD913D	0.508437016824768
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	16	1	emotion|motion|neutral	#FDAD4A	0.448175568582571
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	17	1	rating	#FECB68	0.314126095730202
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	18	1	negative|positive	#FEE188	0.231249516698149
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	19	1		#FEE188	0.207672009682843
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	20	1	ear|order	#FFF1A9	0.12938822795348
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	21	1	motor	#FFFFCC	0
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	22	1	visual	#FFF1A9	0.18433598864223
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	23	1	age|image|response	#FFF1A9	0.141146494403586
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	1	2	sound|sounds	#FEE188	0.24223140560342
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	2	2		#FEE188	0.245128660561961
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	3	2	audiovisual|bimodal|crossmodal	#FDAD4A	0.428033910982641
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	4	2		#FECB68	0.308896582829664
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	5	2		#FEE188	0.230873798206805
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	6	2		#FFF1A9	0.156032105294808
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	7	2	sensation	#FFFFCC	0.0412103465175
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	8	2	heat|noxious	#FFFFCC	0.0817815864509672
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	9	2		#FFF1A9	0.138304539999665
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	10	2		#FEE188	0.294423197438506
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	11	2		#FECB68	0.364773516488516
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	12	2	valence	#FDAD4A	0.406965623657606
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	13	2	person|social	#F03623	0.765617994418427
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	14	2		#FD913D	0.569435180746226
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	15	2	face|faces	#FD913D	0.528455479668157
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	16	2		#FDAD4A	0.463642264870137
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	17	2		#FECB68	0.381246583287721
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	18	2		#FEE188	0.293526802811739
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	19	2		#FEE188	0.214199164657536
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	20	2		#FFF1A9	0.158584846913941
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	21	2	images|spatial	#FEE188	0.202694599894218
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	22	2	control	#FFF1A9	0.103108152204112
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	23	2	time	#FFF1A9	0.131645187684148
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	1	3	acoustic|listening|musical|music|pitch	#FFF1A9	0.156160236108421
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	2	3	noise|tones	#FEE188	0.222841329022428
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	3	3		#FEE188	0.275202433814315
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	4	3		#FEE188	0.250633610146999
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	5	3	frequency	#FFF1A9	0.178299584722379
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	6	3		#FFF1A9	0.158632809291371
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	7	3		#FFFFCC	0.089377839799925
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	8	3	temperature	#FFFFCC	0.0653075237451346
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	9	3		#FFF1A9	0.12719505996786
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	10	3	pleasant|unpleasant	#FEE188	0.235178927053807
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	11	3	anxiety	#FEE188	0.268781172720003
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	12	3		#FDAD4A	0.427698843136824
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	13	3		#FDAD4A	0.46870108885478
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	14	3		#FDAD4A	0.480305196404951
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	15	3		#FDAD4A	0.486873164422766
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	16	3	picture	#FDAD4A	0.446272884287828
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	17	3		#FDAD4A	0.423728534732704
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	18	3	value	#FEE188	0.229677253246715
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	19	3	cue	#FEE188	0.211026104380268
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	20	3	error|target	#FFF1A9	0.106895737297574
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	21	3	attention	#FFF1A9	0.182625152322713
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	22	3		#FFF1A9	0.142333076602534
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	23	3	number	#FFF1A9	0.109097673230898
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	1	4	voice	#FEE188	0.222739411971986
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	2	4		#FEE188	0.201478577133033
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	3	4	hearing	#FECB68	0.314732917002504
b46d18d3-f0af-304a-9e09-46d71b87748f	Lawrie S	4	4		#FFF1A9	0.167822198468089
