UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
b549672f-9208-3791-9393-a2d48688a5fe	Johnsrude IS	1	1	auditory|speech	#B10026	0.929776204999495
b549672f-9208-3791-9393-a2d48688a5fe	Johnsrude IS	2	1		#B10026	0.955337037289818
b549672f-9208-3791-9393-a2d48688a5fe	Johnsrude IS	3	1	da|integration	#F03623	0.785111494678341
b549672f-9208-3791-9393-a2d48688a5fe	Johnsrude IS	4	1		#FC622F	0.664959929556062
b549672f-9208-3791-9393-a2d48688a5fe	Johnsrude IS	5	1	physical|psychophysical|tactile	#FFF1A9	0.156817865364192
b549672f-9208-3791-9393-a2d48688a5fe	Johnsrude IS	6	1		#FEE188	0.204924667267754
b549672f-9208-3791-9393-a2d48688a5fe	Johnsrude IS	7	1	somatosensory|stimulation	#FFF1A9	0.151259803775252
b549672f-9208-3791-9393-a2d48688a5fe	Johnsrude IS	8	1	painful|pain	#FFFFCC	0.0544218016029735
b549672f-9208-3791-9393-a2d48688a5fe	Johnsrude IS	9	1		#FFFFCC	0.0922982048964152
b549672f-9208-3791-9393-a2d48688a5fe	Johnsrude IS	10	1	ratings	#FFF1A9	0.145209132115636
b549672f-9208-3791-9393-a2d48688a5fe	Johnsrude IS	11	1	affective|affect	#FFF1A9	0.131860127709773
b549672f-9208-3791-9393-a2d48688a5fe	Johnsrude IS	12	1	emotions	#FEE188	0.217510824811625
b549672f-9208-3791-9393-a2d48688a5fe	Johnsrude IS	13	1	expression|expressions|facial	#FEE188	0.20504034791987
b549672f-9208-3791-9393-a2d48688a5fe	Johnsrude IS	14	1		#FEE188	0.259049482878462
b549672f-9208-3791-9393-a2d48688a5fe	Johnsrude IS	15	1		#FEE188	0.256879138855222
b549672f-9208-3791-9393-a2d48688a5fe	Johnsrude IS	16	1	emotion|motion|neutral	#FEE188	0.243033682975434
b549672f-9208-3791-9393-a2d48688a5fe	Johnsrude IS	17	1	rating	#FFF1A9	0.177977390489155
b549672f-9208-3791-9393-a2d48688a5fe	Johnsrude IS	18	1	negative|positive	#FFF1A9	0.192159873908133
b549672f-9208-3791-9393-a2d48688a5fe	Johnsrude IS	19	1		#FEE188	0.26907581249748
b549672f-9208-3791-9393-a2d48688a5fe	Johnsrude IS	20	1	ear|order	#FECB68	0.350596593200182
b549672f-9208-3791-9393-a2d48688a5fe	Johnsrude IS	21	1	motor	#FEE188	0.218483956732527
b549672f-9208-3791-9393-a2d48688a5fe	Johnsrude IS	22	1	visual	#FECB68	0.310984924897606
b549672f-9208-3791-9393-a2d48688a5fe	Johnsrude IS	23	1	age|image|response	#FECB68	0.34728610303105
b549672f-9208-3791-9393-a2d48688a5fe	Johnsrude IS	1	2	sound|sounds	#B10026	0.937478397180721
b549672f-9208-3791-9393-a2d48688a5fe	Johnsrude IS	2	2		#B10026	0.965919400103852
b549672f-9208-3791-9393-a2d48688a5fe	Johnsrude IS	3	2	audiovisual|bimodal|crossmodal	#D7141E	0.816844682740924
b549672f-9208-3791-9393-a2d48688a5fe	Johnsrude IS	4	2		#FC622F	0.683605630226151
b549672f-9208-3791-9393-a2d48688a5fe	Johnsrude IS	5	2		#FDAD4A	0.465620472387873
b549672f-9208-3791-9393-a2d48688a5fe	Johnsrude IS	6	2		#FEE188	0.265094280057182
b549672f-9208-3791-9393-a2d48688a5fe	Johnsrude IS	7	2	sensation	#FFFFCC	0.0859789992852808
b549672f-9208-3791-9393-a2d48688a5fe	Johnsrude IS	8	2	heat|noxious	#FFFFCC	0.0401721562377707
b549672f-9208-3791-9393-a2d48688a5fe	Johnsrude IS	9	2		#FFFFCC	0.0935811506061834
b549672f-9208-3791-9393-a2d48688a5fe	Johnsrude IS	10	2		#FFF1A9	0.140906010540755
b549672f-9208-3791-9393-a2d48688a5fe	Johnsrude IS	11	2		#FFF1A9	0.164823700245761
b549672f-9208-3791-9393-a2d48688a5fe	Johnsrude IS	12	2	valence	#FFF1A9	0.154263017214254
b549672f-9208-3791-9393-a2d48688a5fe	Johnsrude IS	13	2	person|social	#FECB68	0.328817557878031
b549672f-9208-3791-9393-a2d48688a5fe	Johnsrude IS	14	2		#FEE188	0.270570324707638
b549672f-9208-3791-9393-a2d48688a5fe	Johnsrude IS	15	2	face|faces	#FEE188	0.252044287506268
b549672f-9208-3791-9393-a2d48688a5fe	Johnsrude IS	16	2		#FEE188	0.274036781443509
b549672f-9208-3791-9393-a2d48688a5fe	Johnsrude IS	17	2		#FEE188	0.257611997731015
b549672f-9208-3791-9393-a2d48688a5fe	Johnsrude IS	18	2		#FEE188	0.262923607722834
b549672f-9208-3791-9393-a2d48688a5fe	Johnsrude IS	19	2		#FEE188	0.277358730656088
b549672f-9208-3791-9393-a2d48688a5fe	Johnsrude IS	20	2		#FEE188	0.274652041298176
b549672f-9208-3791-9393-a2d48688a5fe	Johnsrude IS	21	2	images|spatial	#FEE188	0.278509359875794
b549672f-9208-3791-9393-a2d48688a5fe	Johnsrude IS	22	2	control	#FEE188	0.269833307845702
b549672f-9208-3791-9393-a2d48688a5fe	Johnsrude IS	23	2	time	#FECB68	0.320711055627992
b549672f-9208-3791-9393-a2d48688a5fe	Johnsrude IS	1	3	acoustic|listening|musical|music|pitch	#B10026	0.9633694087425
b549672f-9208-3791-9393-a2d48688a5fe	Johnsrude IS	2	3	noise|tones	#B10026	0.918972776223725
b549672f-9208-3791-9393-a2d48688a5fe	Johnsrude IS	3	3		#D7141E	0.894878840430875
b549672f-9208-3791-9393-a2d48688a5fe	Johnsrude IS	4	3		#F03623	0.752287326317828
b549672f-9208-3791-9393-a2d48688a5fe	Johnsrude IS	5	3	frequency	#FD913D	0.593238353936429
b549672f-9208-3791-9393-a2d48688a5fe	Johnsrude IS	6	3		#FDAD4A	0.429060341547934
