UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
b657602f-48c1-393e-8478-10633844a284	Yin H	1	1	auditory|speech	#FFF1A9	0.194333905347712
b657602f-48c1-393e-8478-10633844a284	Yin H	2	1		#FFF1A9	0.195906166844409
b657602f-48c1-393e-8478-10633844a284	Yin H	3	1	da|integration	#FECB68	0.394754514940941
b657602f-48c1-393e-8478-10633844a284	Yin H	4	1		#FEE188	0.285958131234119
b657602f-48c1-393e-8478-10633844a284	Yin H	5	1	physical|psychophysical|tactile	#FFF1A9	0.154160172929064
b657602f-48c1-393e-8478-10633844a284	Yin H	6	1		#FEE188	0.252502057689338
b657602f-48c1-393e-8478-10633844a284	Yin H	7	1	somatosensory|stimulation	#FEE188	0.262384482916172
b657602f-48c1-393e-8478-10633844a284	Yin H	8	1	painful|pain	#FEE188	0.268838381383909
b657602f-48c1-393e-8478-10633844a284	Yin H	9	1		#FECB68	0.331541150397654
b657602f-48c1-393e-8478-10633844a284	Yin H	10	1	ratings	#FD913D	0.540855376511639
b657602f-48c1-393e-8478-10633844a284	Yin H	11	1	affective|affect	#FC622F	0.645873657023069
b657602f-48c1-393e-8478-10633844a284	Yin H	12	1	emotions	#FDAD4A	0.4355504042156
b657602f-48c1-393e-8478-10633844a284	Yin H	13	1	expression|expressions|facial	#FEE188	0.293303117447017
b657602f-48c1-393e-8478-10633844a284	Yin H	14	1		#FDAD4A	0.494535958705102
b657602f-48c1-393e-8478-10633844a284	Yin H	15	1		#FD913D	0.569542024208071
b657602f-48c1-393e-8478-10633844a284	Yin H	16	1	emotion|motion|neutral	#FC622F	0.649602627247063
b657602f-48c1-393e-8478-10633844a284	Yin H	17	1	rating	#FC622F	0.601898175193281
b657602f-48c1-393e-8478-10633844a284	Yin H	18	1	negative|positive	#FC622F	0.623841304170573
b657602f-48c1-393e-8478-10633844a284	Yin H	19	1		#FD913D	0.546003958573743
b657602f-48c1-393e-8478-10633844a284	Yin H	20	1	ear|order	#FDAD4A	0.466532715273674
b657602f-48c1-393e-8478-10633844a284	Yin H	21	1	motor	#FEE188	0.241628861021357
b657602f-48c1-393e-8478-10633844a284	Yin H	22	1	visual	#FDAD4A	0.404956789152636
b657602f-48c1-393e-8478-10633844a284	Yin H	23	1	age|image|response	#FDAD4A	0.440280046426871
b657602f-48c1-393e-8478-10633844a284	Yin H	1	2	sound|sounds	#FFF1A9	0.122554280184078
b657602f-48c1-393e-8478-10633844a284	Yin H	2	2		#FFF1A9	0.163886725075772
b657602f-48c1-393e-8478-10633844a284	Yin H	3	2	audiovisual|bimodal|crossmodal	#FFF1A9	0.143316547493474
b657602f-48c1-393e-8478-10633844a284	Yin H	4	2		#FEE188	0.298199180242098
b657602f-48c1-393e-8478-10633844a284	Yin H	5	2		#FEE188	0.247389774833735
b657602f-48c1-393e-8478-10633844a284	Yin H	6	2		#FEE188	0.264970643620373
b657602f-48c1-393e-8478-10633844a284	Yin H	7	2	sensation	#FFF1A9	0.184077314035489
b657602f-48c1-393e-8478-10633844a284	Yin H	8	2	heat|noxious	#FFF1A9	0.172216559457151
b657602f-48c1-393e-8478-10633844a284	Yin H	9	2		#FECB68	0.329003407251612
b657602f-48c1-393e-8478-10633844a284	Yin H	10	2		#FD913D	0.54714390630023
b657602f-48c1-393e-8478-10633844a284	Yin H	11	2		#FD913D	0.581550296904165
b657602f-48c1-393e-8478-10633844a284	Yin H	12	2	valence	#FC622F	0.65933397570113
b657602f-48c1-393e-8478-10633844a284	Yin H	13	2	person|social	#FC622F	0.657759842008378
b657602f-48c1-393e-8478-10633844a284	Yin H	14	2		#FD913D	0.502369437961974
b657602f-48c1-393e-8478-10633844a284	Yin H	15	2	face|faces	#FECB68	0.362262836490132
b657602f-48c1-393e-8478-10633844a284	Yin H	16	2		#FC622F	0.611571382221275
b657602f-48c1-393e-8478-10633844a284	Yin H	17	2		#FC622F	0.642668205897359
b657602f-48c1-393e-8478-10633844a284	Yin H	18	2		#FC622F	0.619577627453102
b657602f-48c1-393e-8478-10633844a284	Yin H	19	2		#FD913D	0.556915872763807
b657602f-48c1-393e-8478-10633844a284	Yin H	20	2		#FDAD4A	0.464622164846424
b657602f-48c1-393e-8478-10633844a284	Yin H	21	2	images|spatial	#FDAD4A	0.415886517361755
b657602f-48c1-393e-8478-10633844a284	Yin H	22	2	control	#FDAD4A	0.400973927806029
b657602f-48c1-393e-8478-10633844a284	Yin H	23	2	time	#FDAD4A	0.446369791683837
b657602f-48c1-393e-8478-10633844a284	Yin H	1	3	acoustic|listening|musical|music|pitch	#FFFFCC	0
b657602f-48c1-393e-8478-10633844a284	Yin H	2	3	noise|tones	#FFFFCC	0.0409987474441091
b657602f-48c1-393e-8478-10633844a284	Yin H	3	3		#FEE188	0.249178473732906
b657602f-48c1-393e-8478-10633844a284	Yin H	4	3		#FECB68	0.314054963921079
b657602f-48c1-393e-8478-10633844a284	Yin H	5	3	frequency	#FEE188	0.286497259483145
b657602f-48c1-393e-8478-10633844a284	Yin H	6	3		#FECB68	0.330902383704106
b657602f-48c1-393e-8478-10633844a284	Yin H	7	3		#FEE188	0.215457622843253
b657602f-48c1-393e-8478-10633844a284	Yin H	8	3	temperature	#FFFFCC	0.056052288491379
