UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	1	1	auditory|speech	#FDAD4A	0.408786624597121
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	2	1		#FECB68	0.377584661939202
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	3	1	da|integration	#FD913D	0.529421055051493
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	4	1		#FC622F	0.696339831935618
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	5	1	physical|psychophysical|tactile	#F03623	0.751076385574299
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	6	1		#B10026	0.931411874931043
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	7	1	somatosensory|stimulation	#D7141E	0.884797050358313
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	8	1	painful|pain	#D7141E	0.897195716575721
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	9	1		#B10026	0.959128084571775
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	10	1	ratings	#D7141E	0.839477767884492
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	11	1	affective|affect	#F03623	0.7826387260763
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	12	1	emotions	#FC622F	0.687081376742489
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	13	1	expression|expressions|facial	#FDAD4A	0.46369552679813
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	14	1		#FC622F	0.642818244555561
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	15	1		#FC622F	0.69229586105076
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	16	1	emotion|motion|neutral	#FC622F	0.683946987465843
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	17	1	rating	#D7141E	0.811621999347873
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	18	1	negative|positive	#D7141E	0.821598842009179
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	19	1		#D7141E	0.82703214299411
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	20	1	ear|order	#F03623	0.74535554097472
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	21	1	motor	#FC622F	0.671078907965485
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	22	1	visual	#FD913D	0.504968406707831
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	23	1	age|image|response	#FC622F	0.697532108622045
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	1	2	sound|sounds	#FEE188	0.291233255115412
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	2	2		#FECB68	0.341948450264667
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	3	2	audiovisual|bimodal|crossmodal	#FFF1A9	0.126018987770326
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	4	2		#FC622F	0.680740012008567
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	5	2		#F03623	0.798373674376918
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	6	2		#B10026	0.926988186900017
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	7	2	sensation	#D7141E	0.869739790623605
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	8	2	heat|noxious	#F03623	0.783091744634632
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	9	2		#B10026	0.971479165869661
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	10	2		#B10026	0.91679191175237
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	11	2		#D7141E	0.86223906004367
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	12	2	valence	#FC622F	0.668532267181676
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	13	2	person|social	#FD913D	0.545299384964862
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	14	2		#FC622F	0.659475569524623
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	15	2	face|faces	#FDAD4A	0.485664848342072
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	16	2		#F03623	0.755854620834111
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	17	2		#D7141E	0.823116926685319
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	18	2		#D7141E	0.842364537568232
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	19	2		#D7141E	0.825825353173785
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	20	2		#F03623	0.753671696820847
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	21	2	images|spatial	#FC622F	0.691924417156846
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	22	2	control	#F03623	0.73638100324516
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	23	2	time	#FC622F	0.691082780599169
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	1	3	acoustic|listening|musical|music|pitch	#FFF1A9	0.186883666950479
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	2	3	noise|tones	#FFF1A9	0.187571788197309
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	3	3		#FDAD4A	0.463882284770882
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	4	3		#FD913D	0.590194743561402
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	5	3	frequency	#FC622F	0.653253403792562
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	6	3		#B10026	0.901568931432143
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	7	3		#B10026	0.940023854644611
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	8	3	temperature	#D7141E	0.845316373454993
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	9	3		#B10026	0.957959108531267
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	10	3	pleasant|unpleasant	#D7141E	0.801630349678014
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	11	3	anxiety	#F03623	0.735293243512311
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	12	3		#D7141E	0.831631989248652
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	13	3		#D7141E	0.828935763039332
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	14	3		#F03623	0.783317797461667
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	15	3		#F03623	0.774120936464364
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	16	3	picture	#F03623	0.724873599768161
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	17	3		#D7141E	0.833099448230003
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	18	3	value	#D7141E	0.848918402627836
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	19	3	cue	#F03623	0.701262668867162
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	20	3	error|target	#F03623	0.753268190715009
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	21	3	attention	#FC622F	0.65068644606257
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	22	3		#FC622F	0.698190049450279
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	23	3	number	#FC622F	0.6805399946425
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	1	4	voice	#FFF1A9	0.111425713755042
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	2	4		#FEE188	0.275586438172574
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	3	4	hearing	#FEE188	0.215648872455938
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	4	4		#FD913D	0.586253896692012
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	5	4	overt	#FD913D	0.563262036494225
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	6	4		#F03623	0.764598869172384
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	7	4		#B10026	0.971070799586529
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	8	4	nociceptive|nonpainful|painrelated	#F03623	0.749352905190885
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	9	4	unpleasantness	#D7141E	0.8312765412784
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	10	4	skin|subjective	#FC622F	0.700238255517727
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	11	4	depression	#D7141E	0.830449542520972
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	12	4	experience	#D7141E	0.865603989186794
b77c149d-481f-3698-9cef-505e4a44bf94	Yang QX	13	4	female	#F03623	0.706933686159023
