UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	1	1	auditory|speech	#FEE188	0.282485672791378
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	2	1		#FEE188	0.223584116977524
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	3	1	da|integration	#FDAD4A	0.429572089535724
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	4	1		#FDAD4A	0.420704484759673
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	5	1	physical|psychophysical|tactile	#FECB68	0.375144912040572
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	6	1		#FD913D	0.557579777845987
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	7	1	somatosensory|stimulation	#FD913D	0.516614515643913
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	8	1	painful|pain	#FD913D	0.579283050976572
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	9	1		#FC622F	0.615565872287231
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	10	1	ratings	#FC622F	0.67130949690157
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	11	1	affective|affect	#FC622F	0.663497195317749
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	12	1	emotions	#FECB68	0.390512880409631
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	13	1	expression|expressions|facial	#FFF1A9	0.187706927547861
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	14	1		#FDAD4A	0.422933141492554
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	15	1		#FDAD4A	0.485875092199052
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	16	1	emotion|motion|neutral	#FD913D	0.507169641932439
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	17	1	rating	#FC622F	0.653096124543988
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	18	1	negative|positive	#F03623	0.725734745997981
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	19	1		#F03623	0.754483611690821
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	20	1	ear|order	#FC622F	0.691188414664609
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	21	1	motor	#FC622F	0.632991247290485
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	22	1	visual	#FD913D	0.519906815824209
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	23	1	age|image|response	#FC622F	0.643532121414742
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	1	2	sound|sounds	#FFF1A9	0.100122213701322
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	2	2		#FFF1A9	0.180666823825837
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	3	2	audiovisual|bimodal|crossmodal	#FFFFCC	0.0190940662702412
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	4	2		#FDAD4A	0.434408231110957
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	5	2		#FD913D	0.500828897880538
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	6	2		#FD913D	0.576785530316376
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	7	2	sensation	#FDAD4A	0.474670955935438
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	8	2	heat|noxious	#FDAD4A	0.464025237231962
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	9	2		#FC622F	0.613528939947341
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	10	2		#FC622F	0.625923955538383
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	11	2		#FC622F	0.604234871397624
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	12	2	valence	#FDAD4A	0.464010466667361
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	13	2	person|social	#FD913D	0.581807787654488
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	14	2		#FDAD4A	0.443257426723093
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	15	2	face|faces	#FECB68	0.330435859784772
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	16	2		#FD913D	0.57100262367326
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	17	2		#FC622F	0.669126032081402
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	18	2		#F03623	0.749388145551046
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	19	2		#F03623	0.766732454549541
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	20	2		#F03623	0.71193017778097
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	21	2	images|spatial	#FC622F	0.623191770893296
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	22	2	control	#FC622F	0.658123982390416
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	23	2	time	#FC622F	0.673288152521187
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	1	3	acoustic|listening|musical|music|pitch	#FFFFCC	0.000603072780319972
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	2	3	noise|tones	#FFFFCC	0.0465522766948988
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	3	3		#FECB68	0.305097720088995
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	4	3		#FDAD4A	0.480530141583117
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	5	3	frequency	#FD913D	0.563608206828533
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	6	3		#F03623	0.704472073102432
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	7	3		#FC622F	0.643348340892373
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	8	3	temperature	#FDAD4A	0.425124849611271
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	9	3		#FC622F	0.630053232696242
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	10	3	pleasant|unpleasant	#FECB68	0.374540144387183
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	11	3	anxiety	#FD913D	0.508215649317679
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	12	3		#FC622F	0.646436617450587
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	13	3		#FC622F	0.670209328595536
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	14	3		#FD913D	0.566776655778511
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	15	3		#FD913D	0.566514423554313
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	16	3	picture	#FD913D	0.543211154130187
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	17	3		#FC622F	0.66140083855308
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	18	3	value	#F03623	0.782734032713351
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	19	3	cue	#F03623	0.763761834224305
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	20	3	error|target	#F03623	0.741966754559138
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	21	3	attention	#FC622F	0.657535448428446
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	22	3		#FC622F	0.660150728535085
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	23	3	number	#FC622F	0.64903258281416
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	1	4	voice	#FFFFCC	0.0177238532598143
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	2	4		#FFF1A9	0.128899579777546
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	3	4	hearing	#FFF1A9	0.198689477149763
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	4	4		#FDAD4A	0.491886223594977
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	5	4	overt	#FC622F	0.61470960460032
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	6	4		#FC622F	0.625549999629814
b7e65a13-14d8-34d8-a866-a1f5c450ba3b	Rushworth MF	7	4		#F03623	0.735396242682222
