UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
b7fae41c-1f24-39c7-8f51-68e88845c2f5	Jancke L	1	1	auditory|speech	#B10026	0.936382161625295
b7fae41c-1f24-39c7-8f51-68e88845c2f5	Jancke L	2	1		#B10026	0.990003793484728
b7fae41c-1f24-39c7-8f51-68e88845c2f5	Jancke L	3	1	da|integration	#B10026	0.909392889959095
b7fae41c-1f24-39c7-8f51-68e88845c2f5	Jancke L	4	1		#B10026	0.95372944737157
b7fae41c-1f24-39c7-8f51-68e88845c2f5	Jancke L	5	1	physical|psychophysical|tactile	#FC622F	0.68303821924524
b7fae41c-1f24-39c7-8f51-68e88845c2f5	Jancke L	6	1		#F03623	0.756282501667437
b7fae41c-1f24-39c7-8f51-68e88845c2f5	Jancke L	7	1	somatosensory|stimulation	#FC622F	0.699325799101448
b7fae41c-1f24-39c7-8f51-68e88845c2f5	Jancke L	8	1	painful|pain	#FD913D	0.532581735528449
b7fae41c-1f24-39c7-8f51-68e88845c2f5	Jancke L	9	1		#FD913D	0.595150588643498
b7fae41c-1f24-39c7-8f51-68e88845c2f5	Jancke L	10	1	ratings	#FD913D	0.552754398796595
b7fae41c-1f24-39c7-8f51-68e88845c2f5	Jancke L	11	1	affective|affect	#FDAD4A	0.499481148303178
b7fae41c-1f24-39c7-8f51-68e88845c2f5	Jancke L	12	1	emotions	#FDAD4A	0.495308327156703
b7fae41c-1f24-39c7-8f51-68e88845c2f5	Jancke L	13	1	expression|expressions|facial	#FECB68	0.368234011259718
b7fae41c-1f24-39c7-8f51-68e88845c2f5	Jancke L	14	1		#FDAD4A	0.450167192513579
b7fae41c-1f24-39c7-8f51-68e88845c2f5	Jancke L	15	1		#FDAD4A	0.478120917487248
b7fae41c-1f24-39c7-8f51-68e88845c2f5	Jancke L	16	1	emotion|motion|neutral	#FDAD4A	0.498560913900353
b7fae41c-1f24-39c7-8f51-68e88845c2f5	Jancke L	17	1	rating	#FD913D	0.536583782813024
b7fae41c-1f24-39c7-8f51-68e88845c2f5	Jancke L	18	1	negative|positive	#FD913D	0.506041549622415
b7fae41c-1f24-39c7-8f51-68e88845c2f5	Jancke L	19	1		#FD913D	0.595426208491175
b7fae41c-1f24-39c7-8f51-68e88845c2f5	Jancke L	20	1	ear|order	#FC622F	0.605805803509286
b7fae41c-1f24-39c7-8f51-68e88845c2f5	Jancke L	21	1	motor	#FD913D	0.586301387785568
b7fae41c-1f24-39c7-8f51-68e88845c2f5	Jancke L	22	1	visual	#FDAD4A	0.489507370530752
b7fae41c-1f24-39c7-8f51-68e88845c2f5	Jancke L	23	1	age|image|response	#FD913D	0.584658433920679
b7fae41c-1f24-39c7-8f51-68e88845c2f5	Jancke L	1	2	sound|sounds	#B10026	1
b7fae41c-1f24-39c7-8f51-68e88845c2f5	Jancke L	2	2		#B10026	0.982770173264227
b7fae41c-1f24-39c7-8f51-68e88845c2f5	Jancke L	3	2	audiovisual|bimodal|crossmodal	#F03623	0.782752883981257
b7fae41c-1f24-39c7-8f51-68e88845c2f5	Jancke L	4	2		#B10026	0.954754230519678
b7fae41c-1f24-39c7-8f51-68e88845c2f5	Jancke L	5	2		#B10026	0.910707901524328
b7fae41c-1f24-39c7-8f51-68e88845c2f5	Jancke L	6	2		#F03623	0.799773545843702
b7fae41c-1f24-39c7-8f51-68e88845c2f5	Jancke L	7	2	sensation	#FD913D	0.540930848118755
b7fae41c-1f24-39c7-8f51-68e88845c2f5	Jancke L	8	2	heat|noxious	#FDAD4A	0.487064161223937
b7fae41c-1f24-39c7-8f51-68e88845c2f5	Jancke L	9	2		#FD913D	0.595030229788878
