UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
b82cf211-19c5-31c1-9516-409b7bd1b5ea	Delazer M	1	1	auditory|speech	#FC622F	0.681654640051323
b82cf211-19c5-31c1-9516-409b7bd1b5ea	Delazer M	2	1		#FC622F	0.647015076878419
b82cf211-19c5-31c1-9516-409b7bd1b5ea	Delazer M	3	1	da|integration	#F03623	0.728969709117777
b82cf211-19c5-31c1-9516-409b7bd1b5ea	Delazer M	4	1		#F03623	0.715878297276581
b82cf211-19c5-31c1-9516-409b7bd1b5ea	Delazer M	5	1	physical|psychophysical|tactile	#FDAD4A	0.459704567462097
b82cf211-19c5-31c1-9516-409b7bd1b5ea	Delazer M	6	1		#D7141E	0.826112222254269
b82cf211-19c5-31c1-9516-409b7bd1b5ea	Delazer M	7	1	somatosensory|stimulation	#D7141E	0.833549581694474
b82cf211-19c5-31c1-9516-409b7bd1b5ea	Delazer M	8	1	painful|pain	#B10026	0.900992645681302
b82cf211-19c5-31c1-9516-409b7bd1b5ea	Delazer M	9	1		#B10026	0.992887036359297
b82cf211-19c5-31c1-9516-409b7bd1b5ea	Delazer M	10	1	ratings	#D7141E	0.840174728386855
b82cf211-19c5-31c1-9516-409b7bd1b5ea	Delazer M	11	1	affective|affect	#FD913D	0.574716957421356
b82cf211-19c5-31c1-9516-409b7bd1b5ea	Delazer M	12	1	emotions	#FC622F	0.643070417163645
b82cf211-19c5-31c1-9516-409b7bd1b5ea	Delazer M	13	1	expression|expressions|facial	#FDAD4A	0.479494081558006
b82cf211-19c5-31c1-9516-409b7bd1b5ea	Delazer M	14	1		#FD913D	0.588671340221877
b82cf211-19c5-31c1-9516-409b7bd1b5ea	Delazer M	15	1		#FD913D	0.600099285318318
b82cf211-19c5-31c1-9516-409b7bd1b5ea	Delazer M	16	1	emotion|motion|neutral	#FD913D	0.581056186207692
b82cf211-19c5-31c1-9516-409b7bd1b5ea	Delazer M	17	1	rating	#F03623	0.754088725488506
b82cf211-19c5-31c1-9516-409b7bd1b5ea	Delazer M	18	1	negative|positive	#FC622F	0.642101728413913
b82cf211-19c5-31c1-9516-409b7bd1b5ea	Delazer M	19	1		#F03623	0.709647445025298
b82cf211-19c5-31c1-9516-409b7bd1b5ea	Delazer M	20	1	ear|order	#FC622F	0.698590388241258
b82cf211-19c5-31c1-9516-409b7bd1b5ea	Delazer M	21	1	motor	#FC622F	0.626119789953184
b82cf211-19c5-31c1-9516-409b7bd1b5ea	Delazer M	22	1	visual	#FD913D	0.587420267994024
b82cf211-19c5-31c1-9516-409b7bd1b5ea	Delazer M	23	1	age|image|response	#FC622F	0.664879446824292
b82cf211-19c5-31c1-9516-409b7bd1b5ea	Delazer M	1	2	sound|sounds	#FD913D	0.535160653409508
b82cf211-19c5-31c1-9516-409b7bd1b5ea	Delazer M	2	2		#FC622F	0.640338973077716
b82cf211-19c5-31c1-9516-409b7bd1b5ea	Delazer M	3	2	audiovisual|bimodal|crossmodal	#FDAD4A	0.47019467939419
b82cf211-19c5-31c1-9516-409b7bd1b5ea	Delazer M	4	2		#F03623	0.727901776104086
b82cf211-19c5-31c1-9516-409b7bd1b5ea	Delazer M	5	2		#F03623	0.73041527835538
b82cf211-19c5-31c1-9516-409b7bd1b5ea	Delazer M	6	2		#D7141E	0.840931026884225
b82cf211-19c5-31c1-9516-409b7bd1b5ea	Delazer M	7	2	sensation	#B10026	0.978268184055799
b82cf211-19c5-31c1-9516-409b7bd1b5ea	Delazer M	8	2	heat|noxious	#B10026	0.914718985689275
b82cf211-19c5-31c1-9516-409b7bd1b5ea	Delazer M	9	2		#B10026	0.986170579917593
b82cf211-19c5-31c1-9516-409b7bd1b5ea	Delazer M	10	2		#D7141E	0.885631640050605
b82cf211-19c5-31c1-9516-409b7bd1b5ea	Delazer M	11	2		#D7141E	0.809946520613186
b82cf211-19c5-31c1-9516-409b7bd1b5ea	Delazer M	12	2	valence	#FDAD4A	0.488542378224919
b82cf211-19c5-31c1-9516-409b7bd1b5ea	Delazer M	13	2	person|social	#FD913D	0.539274109036263
b82cf211-19c5-31c1-9516-409b7bd1b5ea	Delazer M	14	2		#FC622F	0.60365932192148
b82cf211-19c5-31c1-9516-409b7bd1b5ea	Delazer M	15	2	face|faces	#FDAD4A	0.474411627047928
b82cf211-19c5-31c1-9516-409b7bd1b5ea	Delazer M	16	2		#FC622F	0.671066084232918
b82cf211-19c5-31c1-9516-409b7bd1b5ea	Delazer M	17	2		#F03623	0.708742710807502
b82cf211-19c5-31c1-9516-409b7bd1b5ea	Delazer M	18	2		#F03623	0.738134977264739
b82cf211-19c5-31c1-9516-409b7bd1b5ea	Delazer M	19	2		#F03623	0.726276410241816
b82cf211-19c5-31c1-9516-409b7bd1b5ea	Delazer M	20	2		#FC622F	0.675059815949416
b82cf211-19c5-31c1-9516-409b7bd1b5ea	Delazer M	21	2	images|spatial	#FC622F	0.644644855082509
b82cf211-19c5-31c1-9516-409b7bd1b5ea	Delazer M	22	2	control	#FC622F	0.617749170858308
b82cf211-19c5-31c1-9516-409b7bd1b5ea	Delazer M	23	2	time	#FC622F	0.664273417315405
b82cf211-19c5-31c1-9516-409b7bd1b5ea	Delazer M	1	3	acoustic|listening|musical|music|pitch	#FD913D	0.564762319511847
b82cf211-19c5-31c1-9516-409b7bd1b5ea	Delazer M	2	3	noise|tones	#FD913D	0.517510450777935
b82cf211-19c5-31c1-9516-409b7bd1b5ea	Delazer M	3	3		#F03623	0.734499733665765
b82cf211-19c5-31c1-9516-409b7bd1b5ea	Delazer M	4	3		#F03623	0.770775741259197
b82cf211-19c5-31c1-9516-409b7bd1b5ea	Delazer M	5	3	frequency	#F03623	0.766911344701603
