UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	1	1	auditory|speech	#FEE188	0.243192912607152
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	2	1		#FEE188	0.221500717519211
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	3	1	da|integration	#FD913D	0.534468712881308
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	4	1		#FD913D	0.517770513282034
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	5	1	physical|psychophysical|tactile	#FD913D	0.505128742281609
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	6	1		#FDAD4A	0.433519527465478
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	7	1	somatosensory|stimulation	#FEE188	0.273896710164888
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	8	1	painful|pain	#FEE188	0.245981086146996
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	9	1		#FECB68	0.309995740997993
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	10	1	ratings	#FD913D	0.532619161692832
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	11	1	affective|affect	#FC622F	0.620782657260487
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	12	1	emotions	#FC622F	0.64512185849356
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	13	1	expression|expressions|facial	#FD913D	0.576460007461047
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	14	1		#F03623	0.774565454888823
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	15	1		#F03623	0.777314735762859
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	16	1	emotion|motion|neutral	#FC622F	0.667379726487858
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	17	1	rating	#FC622F	0.620215238693294
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	18	1	negative|positive	#FC622F	0.637825127122494
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	19	1		#F03623	0.73918499020257
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	20	1	ear|order	#F03623	0.71230953307101
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	21	1	motor	#FDAD4A	0.487641378570851
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	22	1	visual	#F03623	0.712381905477893
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	23	1	age|image|response	#FC622F	0.686481768277494
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	1	2	sound|sounds	#FFFFCC	0.0917851940735378
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	2	2		#FFF1A9	0.185393138206578
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	3	2	audiovisual|bimodal|crossmodal	#FEE188	0.267438767995421
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	4	2		#FD913D	0.525484762224332
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	5	2		#FD913D	0.537833820971506
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	6	2		#FDAD4A	0.462320385549188
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	7	2	sensation	#FFF1A9	0.118101515063659
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	8	2	heat|noxious	#FFF1A9	0.174276145426648
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	9	2		#FECB68	0.339087335412862
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	10	2		#FD913D	0.564542858155019
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	11	2		#FC622F	0.627634363967552
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	12	2	valence	#FC622F	0.660809254518073
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	13	2	person|social	#F03623	0.76887262799342
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	14	2		#F03623	0.789274367977775
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	15	2	face|faces	#D7141E	0.849268662509357
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	16	2		#D7141E	0.804148921583634
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	17	2		#F03623	0.769359107593097
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	18	2		#F03623	0.776316217375664
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	19	2		#F03623	0.772463281685009
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	20	2		#F03623	0.742200166303748
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	21	2	images|spatial	#F03623	0.737870576306893
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	22	2	control	#F03623	0.730340040373125
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	23	2	time	#FC622F	0.699856695955434
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	1	3	acoustic|listening|musical|music|pitch	#FFFFCC	0
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	2	3	noise|tones	#FFFFCC	0.0675332131952013
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	3	3		#FECB68	0.321058070200786
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	4	3		#FDAD4A	0.44165682179027
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	5	3	frequency	#FDAD4A	0.489027585866551
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	6	3		#FDAD4A	0.481296360507435
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	7	3		#FEE188	0.28239547150422
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	8	3	temperature	#FEE188	0.262447658302943
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	9	3		#FECB68	0.342988993739374
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	10	3	pleasant|unpleasant	#FDAD4A	0.427933319342422
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	11	3	anxiety	#FDAD4A	0.432449574051368
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	12	3		#FC622F	0.690497398714918
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	13	3		#D7141E	0.806449814916614
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	14	3		#D7141E	0.815194218191047
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	15	3		#D7141E	0.861082827416139
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	16	3	picture	#B10026	0.937590682607974
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	17	3		#D7141E	0.865763891364984
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	18	3	value	#F03623	0.758056726865023
baab0ba7-d06e-3e81-8032-548438194faa	Mussweiler T	19	3	cue	#F03623	0.720329440271879
