UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
bb71bc54-b601-352f-81c8-5bb3e8293c10	Patrick CJ	1	1	auditory|speech	#FD913D	0.543455423960677
bb71bc54-b601-352f-81c8-5bb3e8293c10	Patrick CJ	2	1		#FD913D	0.551576677171198
bb71bc54-b601-352f-81c8-5bb3e8293c10	Patrick CJ	3	1	da|integration	#FD913D	0.543717345548295
bb71bc54-b601-352f-81c8-5bb3e8293c10	Patrick CJ	4	1		#FD913D	0.529417978778082
bb71bc54-b601-352f-81c8-5bb3e8293c10	Patrick CJ	5	1	physical|psychophysical|tactile	#FECB68	0.359897781088421
bb71bc54-b601-352f-81c8-5bb3e8293c10	Patrick CJ	6	1		#FD913D	0.53835381656172
bb71bc54-b601-352f-81c8-5bb3e8293c10	Patrick CJ	7	1	somatosensory|stimulation	#FDAD4A	0.474284804862027
bb71bc54-b601-352f-81c8-5bb3e8293c10	Patrick CJ	8	1	painful|pain	#FD913D	0.533407935559024
bb71bc54-b601-352f-81c8-5bb3e8293c10	Patrick CJ	9	1		#FC622F	0.622475001792747
bb71bc54-b601-352f-81c8-5bb3e8293c10	Patrick CJ	10	1	ratings	#FC622F	0.635969907685434
bb71bc54-b601-352f-81c8-5bb3e8293c10	Patrick CJ	11	1	affective|affect	#FD913D	0.535365838706399
bb71bc54-b601-352f-81c8-5bb3e8293c10	Patrick CJ	12	1	emotions	#FDAD4A	0.483662456240655
bb71bc54-b601-352f-81c8-5bb3e8293c10	Patrick CJ	13	1	expression|expressions|facial	#FECB68	0.332498411482454
bb71bc54-b601-352f-81c8-5bb3e8293c10	Patrick CJ	14	1		#FDAD4A	0.467178489970987
bb71bc54-b601-352f-81c8-5bb3e8293c10	Patrick CJ	15	1		#FDAD4A	0.499409781295232
bb71bc54-b601-352f-81c8-5bb3e8293c10	Patrick CJ	16	1	emotion|motion|neutral	#FD913D	0.529688100483716
bb71bc54-b601-352f-81c8-5bb3e8293c10	Patrick CJ	17	1	rating	#FC622F	0.614016755037416
bb71bc54-b601-352f-81c8-5bb3e8293c10	Patrick CJ	18	1	negative|positive	#F03623	0.705254166309494
bb71bc54-b601-352f-81c8-5bb3e8293c10	Patrick CJ	19	1		#FC622F	0.604929459805791
bb71bc54-b601-352f-81c8-5bb3e8293c10	Patrick CJ	20	1	ear|order	#FD913D	0.53104517992602
bb71bc54-b601-352f-81c8-5bb3e8293c10	Patrick CJ	21	1	motor	#FECB68	0.3491195939021
bb71bc54-b601-352f-81c8-5bb3e8293c10	Patrick CJ	22	1	visual	#FECB68	0.309869500648602
bb71bc54-b601-352f-81c8-5bb3e8293c10	Patrick CJ	23	1	age|image|response	#FDAD4A	0.47651995772951
bb71bc54-b601-352f-81c8-5bb3e8293c10	Patrick CJ	1	2	sound|sounds	#FD913D	0.553376912374004
bb71bc54-b601-352f-81c8-5bb3e8293c10	Patrick CJ	2	2		#FD913D	0.536187840015343
bb71bc54-b601-352f-81c8-5bb3e8293c10	Patrick CJ	3	2	audiovisual|bimodal|crossmodal	#FDAD4A	0.459033354319487
bb71bc54-b601-352f-81c8-5bb3e8293c10	Patrick CJ	4	2		#FD913D	0.541508762320082
bb71bc54-b601-352f-81c8-5bb3e8293c10	Patrick CJ	5	2		#FD913D	0.545305239499085
bb71bc54-b601-352f-81c8-5bb3e8293c10	Patrick CJ	6	2		#FD913D	0.557456058916498
bb71bc54-b601-352f-81c8-5bb3e8293c10	Patrick CJ	7	2	sensation	#FC622F	0.602211074375057
bb71bc54-b601-352f-81c8-5bb3e8293c10	Patrick CJ	8	2	heat|noxious	#FD913D	0.588876907053996
bb71bc54-b601-352f-81c8-5bb3e8293c10	Patrick CJ	9	2		#FC622F	0.653881521294048
bb71bc54-b601-352f-81c8-5bb3e8293c10	Patrick CJ	10	2		#FC622F	0.678121132974707
bb71bc54-b601-352f-81c8-5bb3e8293c10	Patrick CJ	11	2		#FC622F	0.649349300891564
