UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
bc9875ca-998e-31eb-a85d-0c4572d97c20	Schmid G	1	1	auditory|speech	#F03623	0.80022181728305
bc9875ca-998e-31eb-a85d-0c4572d97c20	Schmid G	2	1		#B10026	0.925347212455381
bc9875ca-998e-31eb-a85d-0c4572d97c20	Schmid G	3	1	da|integration	#D7141E	0.827700089695451
bc9875ca-998e-31eb-a85d-0c4572d97c20	Schmid G	4	1		#F03623	0.765392783814567
bc9875ca-998e-31eb-a85d-0c4572d97c20	Schmid G	5	1	physical|psychophysical|tactile	#FECB68	0.378532138232949
bc9875ca-998e-31eb-a85d-0c4572d97c20	Schmid G	6	1		#FECB68	0.355906936818313
bc9875ca-998e-31eb-a85d-0c4572d97c20	Schmid G	7	1	somatosensory|stimulation	#FEE188	0.23259489318435
bc9875ca-998e-31eb-a85d-0c4572d97c20	Schmid G	8	1	painful|pain	#FFF1A9	0.138092298956743
bc9875ca-998e-31eb-a85d-0c4572d97c20	Schmid G	9	1		#FFF1A9	0.154838646652333
bc9875ca-998e-31eb-a85d-0c4572d97c20	Schmid G	10	1	ratings	#FFFFCC	0.090960973109738
bc9875ca-998e-31eb-a85d-0c4572d97c20	Schmid G	11	1	affective|affect	#FFFFCC	0.0859708581390262
bc9875ca-998e-31eb-a85d-0c4572d97c20	Schmid G	12	1	emotions	#FEE188	0.211305720790023
bc9875ca-998e-31eb-a85d-0c4572d97c20	Schmid G	13	1	expression|expressions|facial	#FECB68	0.32668141368267
bc9875ca-998e-31eb-a85d-0c4572d97c20	Schmid G	14	1		#FEE188	0.284946613186544
bc9875ca-998e-31eb-a85d-0c4572d97c20	Schmid G	15	1		#FEE188	0.222135208430116
bc9875ca-998e-31eb-a85d-0c4572d97c20	Schmid G	16	1	emotion|motion|neutral	#FFF1A9	0.115799113172519
bc9875ca-998e-31eb-a85d-0c4572d97c20	Schmid G	17	1	rating	#FFFFCC	0.0348576986191747
bc9875ca-998e-31eb-a85d-0c4572d97c20	Schmid G	18	1	negative|positive	#FFFFCC	0
bc9875ca-998e-31eb-a85d-0c4572d97c20	Schmid G	19	1		#FFFFCC	0.0949672895771311
