UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
bd593526-b3ee-32f8-bc10-93aff3900ef9	Tracy JI	1	1	auditory|speech	#FC622F	0.603106748545458
bd593526-b3ee-32f8-bc10-93aff3900ef9	Tracy JI	2	1		#FC622F	0.617848221338591
bd593526-b3ee-32f8-bc10-93aff3900ef9	Tracy JI	3	1	da|integration	#F03623	0.724292393896352
bd593526-b3ee-32f8-bc10-93aff3900ef9	Tracy JI	4	1		#B10026	0.93617850740005
bd593526-b3ee-32f8-bc10-93aff3900ef9	Tracy JI	5	1	physical|psychophysical|tactile	#D7141E	0.848307191379781
bd593526-b3ee-32f8-bc10-93aff3900ef9	Tracy JI	6	1		#F03623	0.789267031150557
bd593526-b3ee-32f8-bc10-93aff3900ef9	Tracy JI	7	1	somatosensory|stimulation	#FD913D	0.560205251251701
bd593526-b3ee-32f8-bc10-93aff3900ef9	Tracy JI	8	1	painful|pain	#FD913D	0.543900255527156
bd593526-b3ee-32f8-bc10-93aff3900ef9	Tracy JI	9	1		#FD913D	0.57174582331835
bd593526-b3ee-32f8-bc10-93aff3900ef9	Tracy JI	10	1	ratings	#FDAD4A	0.405145720534016
bd593526-b3ee-32f8-bc10-93aff3900ef9	Tracy JI	11	1	affective|affect	#FECB68	0.348480645454161
bd593526-b3ee-32f8-bc10-93aff3900ef9	Tracy JI	12	1	emotions	#FD913D	0.520739704582484
bd593526-b3ee-32f8-bc10-93aff3900ef9	Tracy JI	13	1	expression|expressions|facial	#FECB68	0.330146570543016
bd593526-b3ee-32f8-bc10-93aff3900ef9	Tracy JI	14	1		#FD913D	0.504040731248024
bd593526-b3ee-32f8-bc10-93aff3900ef9	Tracy JI	15	1		#FD913D	0.508436487494849
bd593526-b3ee-32f8-bc10-93aff3900ef9	Tracy JI	16	1	emotion|motion|neutral	#FDAD4A	0.42233441794452
bd593526-b3ee-32f8-bc10-93aff3900ef9	Tracy JI	17	1	rating	#FDAD4A	0.417507655942525
bd593526-b3ee-32f8-bc10-93aff3900ef9	Tracy JI	18	1	negative|positive	#FECB68	0.361890075339399
bd593526-b3ee-32f8-bc10-93aff3900ef9	Tracy JI	19	1		#FDAD4A	0.475005159528968
bd593526-b3ee-32f8-bc10-93aff3900ef9	Tracy JI	20	1	ear|order	#FDAD4A	0.457402285223614
bd593526-b3ee-32f8-bc10-93aff3900ef9	Tracy JI	21	1	motor	#FEE188	0.254297158843202
bd593526-b3ee-32f8-bc10-93aff3900ef9	Tracy JI	22	1	visual	#FD913D	0.530021541836989
bd593526-b3ee-32f8-bc10-93aff3900ef9	Tracy JI	23	1	age|image|response	#FDAD4A	0.430259347431898
bd593526-b3ee-32f8-bc10-93aff3900ef9	Tracy JI	1	2	sound|sounds	#FD913D	0.510227739777504
bd593526-b3ee-32f8-bc10-93aff3900ef9	Tracy JI	2	2		#FD913D	0.595112655783978
bd593526-b3ee-32f8-bc10-93aff3900ef9	Tracy JI	3	2	audiovisual|bimodal|crossmodal	#FC622F	0.612900043330007
bd593526-b3ee-32f8-bc10-93aff3900ef9	Tracy JI	4	2		#B10026	0.926631739619597
bd593526-b3ee-32f8-bc10-93aff3900ef9	Tracy JI	5	2		#B10026	0.904200601372607
bd593526-b3ee-32f8-bc10-93aff3900ef9	Tracy JI	6	2		#D7141E	0.814078606879686
bd593526-b3ee-32f8-bc10-93aff3900ef9	Tracy JI	7	2	sensation	#FD913D	0.562010142173701
bd593526-b3ee-32f8-bc10-93aff3900ef9	Tracy JI	8	2	heat|noxious	#FDAD4A	0.494296036537934
bd593526-b3ee-32f8-bc10-93aff3900ef9	Tracy JI	9	2		#FD913D	0.583112576602011
bd593526-b3ee-32f8-bc10-93aff3900ef9	Tracy JI	10	2		#FD913D	0.513214348975267
bd593526-b3ee-32f8-bc10-93aff3900ef9	Tracy JI	11	2		#FDAD4A	0.499218908481884
bd593526-b3ee-32f8-bc10-93aff3900ef9	Tracy JI	12	2	valence	#FDAD4A	0.405521772347016
