UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
be3192b7-8606-36c0-9b61-7a9aae2ba2a3	Donohoe G	1	1	auditory|speech	#FFF1A9	0.123656244272601
be3192b7-8606-36c0-9b61-7a9aae2ba2a3	Donohoe G	2	1		#FFF1A9	0.123386447361615
be3192b7-8606-36c0-9b61-7a9aae2ba2a3	Donohoe G	3	1	da|integration	#FEE188	0.20697108289001
be3192b7-8606-36c0-9b61-7a9aae2ba2a3	Donohoe G	4	1		#FEE188	0.237047881477867
be3192b7-8606-36c0-9b61-7a9aae2ba2a3	Donohoe G	5	1	physical|psychophysical|tactile	#FEE188	0.250461583337726
be3192b7-8606-36c0-9b61-7a9aae2ba2a3	Donohoe G	6	1		#FFF1A9	0.161897102415338
be3192b7-8606-36c0-9b61-7a9aae2ba2a3	Donohoe G	7	1	somatosensory|stimulation	#FFFFCC	0.0751816374091061
be3192b7-8606-36c0-9b61-7a9aae2ba2a3	Donohoe G	8	1	painful|pain	#FFFFCC	0.00386018027275551
be3192b7-8606-36c0-9b61-7a9aae2ba2a3	Donohoe G	9	1		#FFFFCC	0.0447771346444635
be3192b7-8606-36c0-9b61-7a9aae2ba2a3	Donohoe G	10	1	ratings	#FFF1A9	0.164927443588434
be3192b7-8606-36c0-9b61-7a9aae2ba2a3	Donohoe G	11	1	affective|affect	#FFF1A9	0.14596107311151
be3192b7-8606-36c0-9b61-7a9aae2ba2a3	Donohoe G	12	1	emotions	#FFF1A9	0.18557393913106
be3192b7-8606-36c0-9b61-7a9aae2ba2a3	Donohoe G	13	1	expression|expressions|facial	#FFF1A9	0.146957301057461
be3192b7-8606-36c0-9b61-7a9aae2ba2a3	Donohoe G	14	1		#FEE188	0.266274798518416
be3192b7-8606-36c0-9b61-7a9aae2ba2a3	Donohoe G	15	1		#FEE188	0.272166435147948
be3192b7-8606-36c0-9b61-7a9aae2ba2a3	Donohoe G	16	1	emotion|motion|neutral	#FEE188	0.274443955230465
be3192b7-8606-36c0-9b61-7a9aae2ba2a3	Donohoe G	17	1	rating	#FEE188	0.24351350537862
be3192b7-8606-36c0-9b61-7a9aae2ba2a3	Donohoe G	18	1	negative|positive	#FDAD4A	0.418517328132989
be3192b7-8606-36c0-9b61-7a9aae2ba2a3	Donohoe G	19	1		#FDAD4A	0.466635427797421
be3192b7-8606-36c0-9b61-7a9aae2ba2a3	Donohoe G	20	1	ear|order	#FDAD4A	0.415837966733468
be3192b7-8606-36c0-9b61-7a9aae2ba2a3	Donohoe G	21	1	motor	#FECB68	0.367999814922348
be3192b7-8606-36c0-9b61-7a9aae2ba2a3	Donohoe G	22	1	visual	#FDAD4A	0.444240177137429
be3192b7-8606-36c0-9b61-7a9aae2ba2a3	Donohoe G	23	1	age|image|response	#FDAD4A	0.406987554306384
be3192b7-8606-36c0-9b61-7a9aae2ba2a3	Donohoe G	1	2	sound|sounds	#FFFFCC	0.0694019067144997
