UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	1	1	auditory|speech	#FDAD4A	0.40997450344034
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	2	1		#FECB68	0.351497957876656
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	3	1	da|integration	#FD913D	0.524068619769314
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	4	1		#FD913D	0.552782753080197
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	5	1	physical|psychophysical|tactile	#FDAD4A	0.490659504584892
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	6	1		#FD913D	0.569157545196565
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	7	1	somatosensory|stimulation	#FD913D	0.562931742828869
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	8	1	painful|pain	#FECB68	0.36830086357799
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	9	1		#FDAD4A	0.435444643830159
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	10	1	ratings	#FDAD4A	0.469109268466181
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	11	1	affective|affect	#FDAD4A	0.43600157812036
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	12	1	emotions	#FECB68	0.369820965289291
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	13	1	expression|expressions|facial	#FECB68	0.381713051734277
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	14	1		#FD913D	0.519548442403309
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	15	1		#FD913D	0.538888061914056
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	16	1	emotion|motion|neutral	#FD913D	0.510828483642363
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	17	1	rating	#FD913D	0.506969644335043
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	18	1	negative|positive	#FD913D	0.529773657910238
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	19	1		#FC622F	0.67851481149525
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	20	1	ear|order	#FC622F	0.650841785374768
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	21	1	motor	#FC622F	0.693380970802963
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	22	1	visual	#FC622F	0.667651211281835
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	23	1	age|image|response	#FC622F	0.610300661317697
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	1	2	sound|sounds	#FEE188	0.216464804162398
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	2	2		#FECB68	0.316365887684462
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	3	2	audiovisual|bimodal|crossmodal	#FEE188	0.261751331965134
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	4	2		#FD913D	0.56747398623884
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	5	2		#FC622F	0.619899221963588
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	6	2		#FD913D	0.600077103887371
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	7	2	sensation	#FECB68	0.376487072997588
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	8	2	heat|noxious	#FECB68	0.363052811507795
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	9	2		#FDAD4A	0.453708097426349
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	10	2		#FDAD4A	0.465597352481143
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	11	2		#FDAD4A	0.468813690233189
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	12	2	valence	#FDAD4A	0.439682885276833
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	13	2	person|social	#FD913D	0.530481186873175
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	14	2		#FD913D	0.533618285480506
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	15	2	face|faces	#FD913D	0.53718120531473
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	16	2		#FC622F	0.604564291540523
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	17	2		#FC622F	0.626542083101855
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	18	2		#FC622F	0.681066600614204
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	19	2		#F03623	0.718585540769885
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	20	2		#F03623	0.735604831360509
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	21	2	images|spatial	#F03623	0.703298516239142
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	22	2	control	#FC622F	0.683932187225826
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	23	2	time	#FC622F	0.643170347211454
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	1	3	acoustic|listening|musical|music|pitch	#FFF1A9	0.159340594473506
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	2	3	noise|tones	#FEE188	0.240835050004267
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	3	3		#FDAD4A	0.458189891579734
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	4	3		#FC622F	0.613160576526423
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	5	3	frequency	#FC622F	0.659536527583577
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	6	3		#F03623	0.723198964755057
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	7	3		#FD913D	0.507918576488384
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	8	3	temperature	#FDAD4A	0.499888842664506
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	9	3		#FDAD4A	0.464806290514727
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	10	3	pleasant|unpleasant	#FECB68	0.337636082665211
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	11	3	anxiety	#FECB68	0.332664316499621
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	12	3		#FDAD4A	0.49185162103257
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	13	3		#FD913D	0.565485718072662
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	14	3		#FD913D	0.589276037033025
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	15	3		#FC622F	0.632196726067965
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	16	3	picture	#FC622F	0.677129512785584
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	17	3		#F03623	0.725996245356401
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	18	3	value	#F03623	0.755820155777525
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	19	3	cue	#F03623	0.715516289425463
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	20	3	error|target	#F03623	0.778771919798154
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	21	3	attention	#F03623	0.735351652161631
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	22	3		#FC622F	0.696661613785251
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	23	3	number	#FC622F	0.665733606304365
be62a3c5-1047-3a86-b52e-cb5fca08072f	Wu AD	1	4	voice	#FFF1A9	0.185526547195179
