UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	1	1	auditory|speech	#B10026	0.938168104598939
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	2	1		#B10026	0.944072291420406
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	3	1	da|integration	#D7141E	0.857324170122582
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	4	1		#B10026	0.910621942007353
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	5	1	physical|psychophysical|tactile	#FC622F	0.603121803455845
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	6	1		#FC622F	0.681350418061701
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	7	1	somatosensory|stimulation	#FC622F	0.685743306181586
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	8	1	painful|pain	#FDAD4A	0.406827322077482
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	9	1		#FDAD4A	0.450040751590703
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	10	1	ratings	#FDAD4A	0.407902860061756
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	11	1	affective|affect	#FECB68	0.396150666766051
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	12	1	emotions	#FDAD4A	0.41774616023586
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	13	1	expression|expressions|facial	#FEE188	0.279738322239053
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	14	1		#FDAD4A	0.41898645385734
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	15	1		#FDAD4A	0.451995229186011
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	16	1	emotion|motion|neutral	#FDAD4A	0.433057069458132
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	17	1	rating	#FDAD4A	0.439945749697803
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	18	1	negative|positive	#FDAD4A	0.482439976491685
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	19	1		#FC622F	0.640880399977289
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	20	1	ear|order	#FC622F	0.687506033405867
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	21	1	motor	#F03623	0.713437810756764
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	22	1	visual	#FC622F	0.653594681832612
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	23	1	age|image|response	#FC622F	0.688837653109222
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	1	2	sound|sounds	#D7141E	0.873764725535078
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	2	2		#B10026	0.931808517129887
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	3	2	audiovisual|bimodal|crossmodal	#FC622F	0.609665243220564
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	4	2		#B10026	0.932015252187899
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	5	2		#D7141E	0.858231475298999
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	6	2		#F03623	0.744565416366018
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	7	2	sensation	#FDAD4A	0.40421891135296
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	8	2	heat|noxious	#FECB68	0.33817736562261
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	9	2		#FDAD4A	0.450174776361615
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	10	2		#FDAD4A	0.443326151479514
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	11	2		#FDAD4A	0.43705709203813
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	12	2	valence	#FECB68	0.329694417664562
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	13	2	person|social	#FDAD4A	0.433287284808536
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	14	2		#FDAD4A	0.441354202757367
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	15	2	face|faces	#FDAD4A	0.411508159090724
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	16	2		#FD913D	0.519494184845967
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	17	2		#FD913D	0.548334645792038
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	18	2		#FC622F	0.607916878879562
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	19	2		#FC622F	0.665423713915283
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	20	2		#FC622F	0.699054122003883
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	21	2	images|spatial	#F03623	0.706658349710869
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	22	2	control	#FC622F	0.649394717915416
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	23	2	time	#FC622F	0.691740446806257
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	1	3	acoustic|listening|musical|music|pitch	#D7141E	0.825292949545656
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	2	3	noise|tones	#D7141E	0.856980552531358
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	3	3		#B10026	0.965933011298495
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	4	3		#B10026	0.993790760356984
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	5	3	frequency	#B10026	0.973838158417251
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	6	3		#B10026	0.90980373386018
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	7	3		#FD913D	0.512361451270204
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	8	3	temperature	#FECB68	0.336096276433631
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	9	3		#FDAD4A	0.456629198639144
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	10	3	pleasant|unpleasant	#FECB68	0.359254125604678
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	11	3	anxiety	#FEE188	0.297620387795496
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	12	3		#FDAD4A	0.471306173448844
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	13	3		#FD913D	0.555817756971598
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	14	3		#FD913D	0.539406869639803
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	15	3		#FD913D	0.565841702954695
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	16	3	picture	#FD913D	0.583532754912006
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	17	3		#FC622F	0.641925078537465
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	18	3	value	#FC622F	0.68616941517767
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	19	3	cue	#FC622F	0.644988917378112
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	20	3	error|target	#FC622F	0.653544818672134
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	21	3	attention	#FC622F	0.615031790538821
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	22	3		#FC622F	0.691066708891169
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	23	3	number	#FC622F	0.674585011962138
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	1	4	voice	#D7141E	0.855471510897489
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	2	4		#D7141E	0.893451797032407
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	3	4	hearing	#F03623	0.788004069467126
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	4	4		#B10026	1
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	5	4	overt	#D7141E	0.857474082736466
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	6	4		#B10026	0.972808148179554
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	7	4		#FC622F	0.626221491938391
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	8	4	nociceptive|nonpainful|painrelated	#FECB68	0.322557174700801
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	9	4	unpleasantness	#FDAD4A	0.422482452545933
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	10	4	skin|subjective	#FDAD4A	0.427180612916643
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	11	4	depression	#FDAD4A	0.404341857717881
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	12	4	experience	#FDAD4A	0.42858507800463
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	13	4	female	#FD913D	0.580077496634103
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	14	4	male	#FC622F	0.646796792142298
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	15	4	pictures	#FD913D	0.560217971459238
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	16	4		#F03623	0.70087485746202
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	17	4	perception	#F03623	0.711861823429647
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	18	4		#F03623	0.733019454510792
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	19	4		#F03623	0.712885341343616
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	20	4		#FC622F	0.693367251692663
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	21	4	correct	#FC622F	0.650092714890313
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	22	4	work	#FC622F	0.644771371377154
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	23	4	memory	#FC622F	0.671627338834482
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	1	5	prosodic|prosody	#FD913D	0.574582072058329
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	2	5	phonetic	#F03623	0.756779932617953
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	3	5	syllable|syllables	#D7141E	0.87751535173461
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	4	5		#B10026	0.965199128070307
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	5	5	lip|production	#D7141E	0.853450238345093
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	6	5	somatotopic	#F03623	0.741178636059531
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	7	5		#F03623	0.732960025620006
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	8	5		#FD913D	0.58678883496095
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	9	5	empathy	#FD913D	0.568742866597795
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	10	5		#FD913D	0.58396652287233
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	11	5	disorder	#FDAD4A	0.471729639169335
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	12	5		#FC622F	0.642765419837906
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	13	5		#F03623	0.770235270408175
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	14	5		#D7141E	0.809359525898546
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	15	5		#D7141E	0.808315524330259
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	16	5		#D7141E	0.836188718325817
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	17	5		#D7141E	0.842393179926928
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	18	5	mental	#FC622F	0.685587858814088
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	19	5	go	#F03623	0.722345298306338
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	20	5	object	#FD913D	0.589940670285337
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	21	5		#F03623	0.741817113247359
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	22	5		#F03623	0.763748987766761
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	23	5	word|words	#F03623	0.762115265807169
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	1	6		#F03623	0.741108120559611
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	2	6		#D7141E	0.803455064861845
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	3	6		#B10026	0.935305985225928
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	4	6	vocal	#D7141E	0.821101948598122
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	5	6	articulatory	#F03623	0.788589032072549
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	6	6		#B10026	0.959689333544116
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	7	6	oddball	#F03623	0.707894470353833
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	8	6	perceived	#FDAD4A	0.459655946547545
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	9	6	errorrelated	#FD913D	0.517502983617511
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	10	6	approach	#FD913D	0.500967279569744
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	11	6	schizophrenia	#FDAD4A	0.489477403694316
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	12	6	acquisition	#D7141E	0.835353231649304
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	13	6		#D7141E	0.841254901668537
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	14	6		#D7141E	0.839403594225941
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	15	6		#D7141E	0.843214826037626
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	16	6		#D7141E	0.858261145669415
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	17	6		#D7141E	0.829995941915052
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	18	6		#F03623	0.793577878879424
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	19	6		#D7141E	0.804632513481621
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	20	6	objects	#FC622F	0.641641127011183
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	21	6		#D7141E	0.807770764396167
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	22	6		#F03623	0.798740255891122
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	23	6	language|semantic	#F03623	0.776715137028868
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	1	7	dopamine|dopaminergic	#FEE188	0.297620229532282
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	2	7		#FECB68	0.337381065908761
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	3	7		#FC622F	0.62750579876458
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	4	7		#F03623	0.786593049745587
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	5	7		#D7141E	0.80375589173222
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	6	7		#D7141E	0.834743906625531
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	7	7		#F03623	0.769258602839449
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	8	7		#FC622F	0.686952524618708
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	9	7		#FC622F	0.680622910426398
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	10	7		#F03623	0.721250077509208
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	11	7		#F03623	0.733199076641974
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	12	7		#F03623	0.774520026995786
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	13	7	linguistic|spoken	#F03623	0.731330117935712
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	14	7		#D7141E	0.819106662325207
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	15	7	comprehension|sentence|sentences|syntactic	#F03623	0.769548602050848
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	16	7		#D7141E	0.81636012168601
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	17	7		#D7141E	0.806157636994378
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	18	7	phonological|reading|read	#F03623	0.779773689152074
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	19	7		#D7141E	0.810278771196459
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	20	7	perceptual|recognition	#D7141E	0.813051859248092
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	21	7		#D7141E	0.822254594590508
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	22	7		#D7141E	0.810907057942622
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	23	7	verb	#F03623	0.785999147372037
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	1	8	outcome|reward	#FEE188	0.230017869814757
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	2	8	anticipation	#FEE188	0.255294390478331
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	3	8	outcomes	#FEE188	0.244488061434923
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	4	8	choice|choices	#FDAD4A	0.473246574869147
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	5	8	decisions|probability	#FC622F	0.605003536634948
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	6	8	reversal	#FDAD4A	0.483558184004138
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	7	8	classification|incorrect	#FD913D	0.522786338787246
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	8	8		#FC622F	0.694663169560976
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	9	8	agerelated|fluency|probes	#FC622F	0.649702521537688
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	10	8	engaged	#FD913D	0.590587647501779
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	11	8	explicit|knowledge	#F03623	0.764388564991018
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	12	8		#F03623	0.768093750074696
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	13	8		#F03623	0.789457694044164
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	14	8		#F03623	0.792332041833427
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	15	8		#F03623	0.787000595568034
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	16	8		#F03623	0.792436933682438
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	17	8	lexical	#F03623	0.713269801573327
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	18	8		#F03623	0.777731278097209
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	19	8		#D7141E	0.812606675244274
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	20	8		#D7141E	0.817308877095703
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	21	8	encoding	#F03623	0.775377878645133
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	22	8	retrieval	#F03623	0.738359230639624
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	23	8	verbal	#F03623	0.768504260631283
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	1	9	incentive|monetary|money|rewards	#FFFFCC	0.0835364457319117
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	2	9	loss	#FEE188	0.229484455943229
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	3	9		#FDAD4A	0.411188319933319
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	4	9		#FD913D	0.51925908284315
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	5	9	decisionmaking	#FDAD4A	0.487452234029735
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	6	9		#FC622F	0.677719315591216
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	7	9		#FC622F	0.674121101432528
bed189a5-40f1-363a-99a7-2a9f4e0cd364	Ringman JM	8	9		#F03623	0.707121371578534
