UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
bef64717-15a5-370b-80ed-d98c7ee7540a	Farah MJ	1	1	auditory|speech	#FFFFCC	0.0332486931493898
bef64717-15a5-370b-80ed-d98c7ee7540a	Farah MJ	2	1		#FFFFCC	0.0456085572615818
bef64717-15a5-370b-80ed-d98c7ee7540a	Farah MJ	3	1	da|integration	#FFF1A9	0.17850224912171
bef64717-15a5-370b-80ed-d98c7ee7540a	Farah MJ	4	1		#FFF1A9	0.127700149543639
bef64717-15a5-370b-80ed-d98c7ee7540a	Farah MJ	5	1	physical|psychophysical|tactile	#FFF1A9	0.147412573090288
bef64717-15a5-370b-80ed-d98c7ee7540a	Farah MJ	6	1		#FFF1A9	0.143275320006329
bef64717-15a5-370b-80ed-d98c7ee7540a	Farah MJ	7	1	somatosensory|stimulation	#FFF1A9	0.128302704907211
bef64717-15a5-370b-80ed-d98c7ee7540a	Farah MJ	8	1	painful|pain	#FFF1A9	0.116599310902568
bef64717-15a5-370b-80ed-d98c7ee7540a	Farah MJ	9	1		#FEE188	0.225382702328793
bef64717-15a5-370b-80ed-d98c7ee7540a	Farah MJ	10	1	ratings	#FC622F	0.603659781304494
bef64717-15a5-370b-80ed-d98c7ee7540a	Farah MJ	11	1	affective|affect	#F03623	0.706841365001939
bef64717-15a5-370b-80ed-d98c7ee7540a	Farah MJ	12	1	emotions	#F03623	0.779052914449988
bef64717-15a5-370b-80ed-d98c7ee7540a	Farah MJ	13	1	expression|expressions|facial	#D7141E	0.803834797007921
bef64717-15a5-370b-80ed-d98c7ee7540a	Farah MJ	14	1		#F03623	0.765150844720189
bef64717-15a5-370b-80ed-d98c7ee7540a	Farah MJ	15	1		#F03623	0.725568729631883
bef64717-15a5-370b-80ed-d98c7ee7540a	Farah MJ	16	1	emotion|motion|neutral	#FC622F	0.67031912738181
bef64717-15a5-370b-80ed-d98c7ee7540a	Farah MJ	17	1	rating	#FD913D	0.563578252731106
bef64717-15a5-370b-80ed-d98c7ee7540a	Farah MJ	18	1	negative|positive	#FDAD4A	0.493356095797352
bef64717-15a5-370b-80ed-d98c7ee7540a	Farah MJ	19	1		#FECB68	0.370617098711836
bef64717-15a5-370b-80ed-d98c7ee7540a	Farah MJ	20	1	ear|order	#FEE188	0.24236896122444
