UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
c0eca6f2-1eb3-314f-8748-744210a49f31	Juckel G	1	1	auditory|speech	#FD913D	0.523163048062141
c0eca6f2-1eb3-314f-8748-744210a49f31	Juckel G	2	1		#FD913D	0.52872670792885
c0eca6f2-1eb3-314f-8748-744210a49f31	Juckel G	3	1	da|integration	#FD913D	0.575435332865281
c0eca6f2-1eb3-314f-8748-744210a49f31	Juckel G	4	1		#FDAD4A	0.468293200143991
c0eca6f2-1eb3-314f-8748-744210a49f31	Juckel G	5	1	physical|psychophysical|tactile	#FFF1A9	0.154996481004994
c0eca6f2-1eb3-314f-8748-744210a49f31	Juckel G	6	1		#FECB68	0.319422814522558
c0eca6f2-1eb3-314f-8748-744210a49f31	Juckel G	7	1	somatosensory|stimulation	#FECB68	0.308512738112866
c0eca6f2-1eb3-314f-8748-744210a49f31	Juckel G	8	1	painful|pain	#FECB68	0.365727802255889
c0eca6f2-1eb3-314f-8748-744210a49f31	Juckel G	9	1		#FDAD4A	0.434418401739275
c0eca6f2-1eb3-314f-8748-744210a49f31	Juckel G	10	1	ratings	#FC622F	0.612093789486508
c0eca6f2-1eb3-314f-8748-744210a49f31	Juckel G	11	1	affective|affect	#FDAD4A	0.439927221429451
c0eca6f2-1eb3-314f-8748-744210a49f31	Juckel G	12	1	emotions	#FD913D	0.521978177117576
c0eca6f2-1eb3-314f-8748-744210a49f31	Juckel G	13	1	expression|expressions|facial	#FECB68	0.356178135316525
c0eca6f2-1eb3-314f-8748-744210a49f31	Juckel G	14	1		#FD913D	0.507148080960197
c0eca6f2-1eb3-314f-8748-744210a49f31	Juckel G	15	1		#FD913D	0.541608903881755
c0eca6f2-1eb3-314f-8748-744210a49f31	Juckel G	16	1	emotion|motion|neutral	#FD913D	0.594565359310685
c0eca6f2-1eb3-314f-8748-744210a49f31	Juckel G	17	1	rating	#FC622F	0.6347495849193
c0eca6f2-1eb3-314f-8748-744210a49f31	Juckel G	18	1	negative|positive	#FC622F	0.602871270820941
c0eca6f2-1eb3-314f-8748-744210a49f31	Juckel G	19	1		#FD913D	0.543481520210855
c0eca6f2-1eb3-314f-8748-744210a49f31	Juckel G	20	1	ear|order	#FDAD4A	0.470249060406303
c0eca6f2-1eb3-314f-8748-744210a49f31	Juckel G	21	1	motor	#FEE188	0.293436308311374
c0eca6f2-1eb3-314f-8748-744210a49f31	Juckel G	22	1	visual	#FEE188	0.297530733368196
c0eca6f2-1eb3-314f-8748-744210a49f31	Juckel G	23	1	age|image|response	#FDAD4A	0.442689017316817
c0eca6f2-1eb3-314f-8748-744210a49f31	Juckel G	1	2	sound|sounds	#FDAD4A	0.472892344098196
c0eca6f2-1eb3-314f-8748-744210a49f31	Juckel G	2	2		#FD913D	0.508582197746106
c0eca6f2-1eb3-314f-8748-744210a49f31	Juckel G	3	2	audiovisual|bimodal|crossmodal	#FD913D	0.504218270391177
c0eca6f2-1eb3-314f-8748-744210a49f31	Juckel G	4	2		#FDAD4A	0.477763220586058
c0eca6f2-1eb3-314f-8748-744210a49f31	Juckel G	5	2		#FECB68	0.373865948739119
c0eca6f2-1eb3-314f-8748-744210a49f31	Juckel G	6	2		#FECB68	0.341285797384541
