UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	1	1	auditory|speech	#FECB68	0.37273251605081
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	2	1		#FECB68	0.340163003514078
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	3	1	da|integration	#FD913D	0.5516715564953
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	4	1		#FD913D	0.51370073830379
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	5	1	physical|psychophysical|tactile	#FECB68	0.321123563069984
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	6	1		#FECB68	0.343887362245315
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	7	1	somatosensory|stimulation	#FEE188	0.216051736881922
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	8	1	painful|pain	#FFF1A9	0.123054691269432
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	9	1		#FEE188	0.235315102965083
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	10	1	ratings	#FDAD4A	0.454684973738736
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	11	1	affective|affect	#FECB68	0.361617479776139
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	12	1	emotions	#FECB68	0.383807455665832
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	13	1	expression|expressions|facial	#FFF1A9	0.190540599122722
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	14	1		#FDAD4A	0.427375291866835
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	15	1		#FDAD4A	0.465006107494505
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	16	1	emotion|motion|neutral	#FDAD4A	0.429423929679993
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	17	1	rating	#FDAD4A	0.489169377581111
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	18	1	negative|positive	#FD913D	0.539638382987951
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	19	1		#FC622F	0.658263705477645
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	20	1	ear|order	#FC622F	0.674495645957874
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	21	1	motor	#FECB68	0.385066463819005
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	22	1	visual	#FDAD4A	0.498706318443943
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	23	1	age|image|response	#FD913D	0.586159304216786
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	1	2	sound|sounds	#FEE188	0.213183876222123
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	2	2		#FECB68	0.299938179052426
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	3	2	audiovisual|bimodal|crossmodal	#FEE188	0.261494206328881
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	4	2		#FD913D	0.527219205209411
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	5	2		#FDAD4A	0.489545086499266
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	6	2		#FECB68	0.3874620493092
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	7	2	sensation	#FFFFCC	0.0892012866629667
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	8	2	heat|noxious	#FFF1A9	0.106544405298639
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	9	2		#FEE188	0.269057098867351
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	10	2		#FDAD4A	0.435538500825938
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	11	2		#FDAD4A	0.472807889901373
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	12	2	valence	#FDAD4A	0.425091768624864
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	13	2	person|social	#FC622F	0.609844590597983
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	14	2		#FDAD4A	0.449974632881417
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	15	2	face|faces	#FECB68	0.379252487300831
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	16	2		#FD913D	0.544694624643424
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	17	2		#FD913D	0.59488592294526
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	18	2		#FC622F	0.67445406383646
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	19	2		#F03623	0.701592723303929
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	20	2		#FC622F	0.660300008208093
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	21	2	images|spatial	#FC622F	0.630225746740138
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	22	2	control	#FC622F	0.601920561879615
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	23	2	time	#FD913D	0.600091154718355
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	1	3	acoustic|listening|musical|music|pitch	#FFF1A9	0.10370775981108
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	2	3	noise|tones	#FFF1A9	0.108544415947952
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	3	3		#FDAD4A	0.445175888430811
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	4	3		#FD913D	0.540976503365222
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	5	3	frequency	#FD913D	0.509277026151325
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	6	3		#FD913D	0.51626734219221
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	7	3		#FEE188	0.249203899734798
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	8	3	temperature	#FEE188	0.206659014774474
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	9	3		#FEE188	0.289047715955944
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	10	3	pleasant|unpleasant	#FEE188	0.269070847721708
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	11	3	anxiety	#FEE188	0.258399620235894
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	12	3		#FD913D	0.506189328217156
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	13	3		#FD913D	0.583295205735407
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	14	3		#FD913D	0.560874556145603
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	15	3		#FD913D	0.590490688308394
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	16	3	picture	#FC622F	0.643371357597252
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	17	3		#FC622F	0.678227193171907
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	18	3	value	#FC622F	0.699247535761562
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	19	3	cue	#F03623	0.750098703712721
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	20	3	error|target	#F03623	0.710402710769597
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	21	3	attention	#FC622F	0.649173714251245
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	22	3		#F03623	0.720900844157168
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	23	3	number	#FC622F	0.693411342456416
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	1	4	voice	#FFF1A9	0.180920153876192
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	2	4		#FEE188	0.296846080000893
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	3	4	hearing	#FEE188	0.261718113660676
c21c2d5f-8f37-364c-aff1-0bcfac655156	Fujii T	4	4		#FDAD4A	0.469348604522702
