UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	1	1	auditory|speech	#FC622F	0.612699162265303
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	2	1		#FC622F	0.603180992187769
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	3	1	da|integration	#FC622F	0.65120578398681
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	4	1		#F03623	0.758045723056686
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	5	1	physical|psychophysical|tactile	#FC622F	0.689310014608823
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	6	1		#FC622F	0.610680858456029
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	7	1	somatosensory|stimulation	#FC622F	0.61191343181489
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	8	1	painful|pain	#FECB68	0.302370785167715
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	9	1		#FECB68	0.344409669373445
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	10	1	ratings	#FECB68	0.362687227478112
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	11	1	affective|affect	#FDAD4A	0.446194443384196
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	12	1	emotions	#FDAD4A	0.415905873369261
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	13	1	expression|expressions|facial	#FD913D	0.573069448397089
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	14	1		#FC622F	0.608560190776562
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	15	1		#FD913D	0.576295662742717
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	16	1	emotion|motion|neutral	#FD913D	0.504252938085229
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	17	1	rating	#FDAD4A	0.421365363240231
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	18	1	negative|positive	#FDAD4A	0.433431883991994
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	19	1		#FC622F	0.640589668626444
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	20	1	ear|order	#F03623	0.717771098785722
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	21	1	motor	#FC622F	0.678394299348984
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	22	1	visual	#D7141E	0.832419058569472
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	23	1	age|image|response	#FC622F	0.692010705702391
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	1	2	sound|sounds	#FD913D	0.524122396802052
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	2	2		#FD913D	0.57182756154995
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	3	2	audiovisual|bimodal|crossmodal	#FD913D	0.587810690219374
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	4	2		#F03623	0.755921640011317
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	5	2		#F03623	0.743406627293255
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	6	2		#FC622F	0.640749614526427
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	7	2	sensation	#FEE188	0.270952680376295
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	8	2	heat|noxious	#FEE188	0.267811498359386
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	9	2		#FECB68	0.352486142519182
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	10	2		#FDAD4A	0.423982359625279
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	11	2		#FDAD4A	0.450582303823403
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	12	2	valence	#FECB68	0.397282382591649
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	13	2	person|social	#FDAD4A	0.477541407047561
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	14	2		#FC622F	0.612332500654771
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	15	2	face|faces	#FC622F	0.671343896112732
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	16	2		#FD913D	0.597137946168187
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	17	2		#FD913D	0.568516426757564
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	18	2		#FC622F	0.624460531415773
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	19	2		#FC622F	0.677015003342165
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	20	2		#F03623	0.726371366927236
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	21	2	images|spatial	#F03623	0.714355814642525
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	22	2	control	#FC622F	0.678474175914054
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	23	2	time	#FC622F	0.696975455524353
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	1	3	acoustic|listening|musical|music|pitch	#FECB68	0.369403229866313
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	2	3	noise|tones	#FD913D	0.523392783823017
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	3	3		#FC622F	0.634541199525681
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	4	3		#FC622F	0.669818965638658
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	5	3	frequency	#FC622F	0.662529283424985
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	6	3		#FC622F	0.617439095141752
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	7	3		#FECB68	0.371474887425535
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	8	3	temperature	#FEE188	0.233716982177497
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	9	3		#FECB68	0.379966916392303
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	10	3	pleasant|unpleasant	#FDAD4A	0.474670018713039
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	11	3	anxiety	#FECB68	0.354801350343108
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	12	3		#FDAD4A	0.497077809386783
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	13	3		#FD913D	0.568013205748305
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	14	3		#FD913D	0.584248033016106
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	15	3		#FC622F	0.622823668545421
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	16	3	picture	#FD913D	0.597563137659687
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	17	3		#FC622F	0.687534793519782
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	18	3	value	#F03623	0.700418483719136
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	19	3	cue	#FC622F	0.681204095712185
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	20	3	error|target	#F03623	0.741350129810628
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	21	3	attention	#F03623	0.754678163592314
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	22	3		#F03623	0.703688519870474
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	23	3	number	#FC622F	0.666142214632137
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	1	4	voice	#FD913D	0.53289456172989
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	2	4		#FD913D	0.507498673087742
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	3	4	hearing	#FECB68	0.369386016742865
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	4	4		#FD913D	0.566986853277141
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	5	4	overt	#FD913D	0.504758368748999
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	6	4		#FD913D	0.570216482356849
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	7	4		#FDAD4A	0.451588517841882
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	8	4	nociceptive|nonpainful|painrelated	#FEE188	0.282850207842829
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	9	4	unpleasantness	#FDAD4A	0.456544710020808
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	10	4	skin|subjective	#FECB68	0.380616220034799
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	11	4	depression	#FECB68	0.395532612964804
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	12	4	experience	#FDAD4A	0.455683657960438
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	13	4	female	#FECB68	0.377448599048273
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	14	4	male	#FD913D	0.578181332024346
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	15	4	pictures	#FD913D	0.574126817424396
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	16	4		#F03623	0.729677206605073
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	17	4	perception	#D7141E	0.8325856613873
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	18	4		#F03623	0.772089462582453
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	19	4		#F03623	0.758191944351298
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	20	4		#F03623	0.750570364517504
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	21	4	correct	#FC622F	0.668565474157067
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	22	4	work	#FC622F	0.601164369519167
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	23	4	memory	#FD913D	0.591850709253979
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	1	5	prosodic|prosody	#FDAD4A	0.430891768648563
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	2	5	phonetic	#FECB68	0.389952270696931
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	3	5	syllable|syllables	#FDAD4A	0.499164685581103
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	4	5		#FD913D	0.512555526379641
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	5	5	lip|production	#FECB68	0.378404106805098
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	6	5	somatotopic	#FECB68	0.391093776241161
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	7	5		#FD913D	0.554570640575979
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	8	5		#FD913D	0.561936354633797
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	9	5	empathy	#FD913D	0.578267454186126
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	10	5		#FD913D	0.52186054436572
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	11	5	disorder	#FDAD4A	0.46648860304088
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	12	5		#FDAD4A	0.496369597266939
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	13	5		#FD913D	0.54559953044629
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	14	5		#FD913D	0.578993203261485
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	15	5		#FC622F	0.61915413843216
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	16	5		#F03623	0.706055565647605
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	17	5		#F03623	0.729426030703659
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	18	5	mental	#FC622F	0.674976490384264
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	19	5	go	#F03623	0.72557676574895
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	20	5	object	#F03623	0.713596189916863
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	21	5		#FC622F	0.691712426973391
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	22	5		#FC622F	0.622055376961901
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	23	5	word|words	#FD913D	0.593507214216837
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	1	6		#FDAD4A	0.472612362582561
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	2	6		#FD913D	0.501050551335626
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	3	6		#FD913D	0.542210617792079
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	4	6	vocal	#FDAD4A	0.459106584929169
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	5	6	articulatory	#FEE188	0.276260163421344
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	6	6		#FD913D	0.541212144664617
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	7	6	oddball	#FC622F	0.676535408397845
c240b0a0-0327-3d9b-8086-9dd89b6dbf28	Meyer K	8	6	perceived	#FD913D	0.548311502592213
