UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
c2ab30a6-227c-3e8e-8636-178156b8efb8	Flor H	1	1	auditory|speech	#FECB68	0.391138920432135
c2ab30a6-227c-3e8e-8636-178156b8efb8	Flor H	2	1		#FECB68	0.327923721234793
c2ab30a6-227c-3e8e-8636-178156b8efb8	Flor H	3	1	da|integration	#FDAD4A	0.495971136073465
c2ab30a6-227c-3e8e-8636-178156b8efb8	Flor H	4	1		#FC622F	0.60881264960304
c2ab30a6-227c-3e8e-8636-178156b8efb8	Flor H	5	1	physical|psychophysical|tactile	#FC622F	0.610928653255714
c2ab30a6-227c-3e8e-8636-178156b8efb8	Flor H	6	1		#D7141E	0.800872934902245
c2ab30a6-227c-3e8e-8636-178156b8efb8	Flor H	7	1	somatosensory|stimulation	#F03623	0.759788839031839
c2ab30a6-227c-3e8e-8636-178156b8efb8	Flor H	8	1	painful|pain	#F03623	0.795382266270011
c2ab30a6-227c-3e8e-8636-178156b8efb8	Flor H	9	1		#D7141E	0.85211031013491
c2ab30a6-227c-3e8e-8636-178156b8efb8	Flor H	10	1	ratings	#D7141E	0.825142715648134
c2ab30a6-227c-3e8e-8636-178156b8efb8	Flor H	11	1	affective|affect	#D7141E	0.83925488388499
c2ab30a6-227c-3e8e-8636-178156b8efb8	Flor H	12	1	emotions	#F03623	0.701990811128033
c2ab30a6-227c-3e8e-8636-178156b8efb8	Flor H	13	1	expression|expressions|facial	#FD913D	0.556810388821291
c2ab30a6-227c-3e8e-8636-178156b8efb8	Flor H	14	1		#F03623	0.709890212457463
c2ab30a6-227c-3e8e-8636-178156b8efb8	Flor H	15	1		#F03623	0.714014837594163
c2ab30a6-227c-3e8e-8636-178156b8efb8	Flor H	16	1	emotion|motion|neutral	#FC622F	0.672106036299821
c2ab30a6-227c-3e8e-8636-178156b8efb8	Flor H	17	1	rating	#D7141E	0.805540587089474
c2ab30a6-227c-3e8e-8636-178156b8efb8	Flor H	18	1	negative|positive	#F03623	0.739422633996704
c2ab30a6-227c-3e8e-8636-178156b8efb8	Flor H	19	1		#F03623	0.772200470197361
c2ab30a6-227c-3e8e-8636-178156b8efb8	Flor H	20	1	ear|order	#F03623	0.725966711534519
c2ab30a6-227c-3e8e-8636-178156b8efb8	Flor H	21	1	motor	#FC622F	0.697121459566012
c2ab30a6-227c-3e8e-8636-178156b8efb8	Flor H	22	1	visual	#FD913D	0.513111545229057
c2ab30a6-227c-3e8e-8636-178156b8efb8	Flor H	23	1	age|image|response	#FC622F	0.685964791867756
