UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	1	1	auditory|speech	#FECB68	0.318035787845068
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	2	1		#FECB68	0.3105157702219
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	3	1	da|integration	#FD913D	0.508415933096044
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	4	1		#FDAD4A	0.480639288607888
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	5	1	physical|psychophysical|tactile	#FECB68	0.38178670339043
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	6	1		#FDAD4A	0.473587326525336
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	7	1	somatosensory|stimulation	#FDAD4A	0.449560562023241
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	8	1	painful|pain	#FECB68	0.335341171281801
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	9	1		#FDAD4A	0.434252716167558
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	10	1	ratings	#FD913D	0.548304531187787
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	11	1	affective|affect	#FD913D	0.567821408534809
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	12	1	emotions	#FD913D	0.501790030301537
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	13	1	expression|expressions|facial	#FDAD4A	0.486177667155258
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	14	1		#FC622F	0.6360253611409
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	15	1		#FC622F	0.647746568827815
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	16	1	emotion|motion|neutral	#FD913D	0.581467055202438
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	17	1	rating	#FD913D	0.598932611405878
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	18	1	negative|positive	#FC622F	0.64921646002747
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	19	1		#F03623	0.720857653668156
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	20	1	ear|order	#FC622F	0.68884903578154
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	21	1	motor	#FD913D	0.556109338428514
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	22	1	visual	#FC622F	0.610665968509445
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	23	1	age|image|response	#FC622F	0.6751773445372
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	1	2	sound|sounds	#FEE188	0.204706085222498
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	2	2		#FEE188	0.287443982235417
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	3	2	audiovisual|bimodal|crossmodal	#FFF1A9	0.166479988972415
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	4	2		#FD913D	0.511631217853657
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	5	2		#FD913D	0.540627546400895
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	6	2		#FD913D	0.523754987226813
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	7	2	sensation	#FECB68	0.378878613817275
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	8	2	heat|noxious	#FEE188	0.253082676783238
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	9	2		#FDAD4A	0.449696560524356
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	10	2		#FD913D	0.565308808197294
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	11	2		#FD913D	0.585330070045047
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	12	2	valence	#FD913D	0.528826114610998
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	13	2	person|social	#FD913D	0.524343914879043
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	14	2		#FC622F	0.652013950274886
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	15	2	face|faces	#FC622F	0.62419399088037
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	16	2		#FC622F	0.690141432613585
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	17	2		#F03623	0.700761137140679
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	18	2		#F03623	0.726637866884389
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	19	2		#F03623	0.733178651882862
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	20	2		#F03623	0.70211060554948
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	21	2	images|spatial	#FC622F	0.695115280452194
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	22	2	control	#FC622F	0.667513127128712
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	23	2	time	#FC622F	0.690674239553718
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	1	3	acoustic|listening|musical|music|pitch	#FFF1A9	0.163886372456722
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	2	3	noise|tones	#FEE188	0.283364838233118
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	3	3		#FECB68	0.392321365220013
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	4	3		#FD913D	0.506638588454675
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	5	3	frequency	#FC622F	0.66894265093692
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	6	3		#FD913D	0.588257472965163
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	7	3		#FECB68	0.368878035500081
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	8	3	temperature	#FEE188	0.268732570655471
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	9	3		#FDAD4A	0.424835950407293
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	10	3	pleasant|unpleasant	#FDAD4A	0.4722681304726
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	11	3	anxiety	#FDAD4A	0.46486378570088
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	12	3		#FC622F	0.622332985366208
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	13	3		#FC622F	0.690657846785673
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	14	3		#F03623	0.710739050872402
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	15	3		#F03623	0.730434332620316
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	16	3	picture	#F03623	0.755126787706929
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	17	3		#F03623	0.745918475834532
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	18	3	value	#FC622F	0.695681386316485
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	19	3	cue	#F03623	0.706882990751179
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	20	3	error|target	#FC622F	0.685699896331859
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	21	3	attention	#FC622F	0.621709427379405
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	22	3		#F03623	0.702163590517157
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	23	3	number	#F03623	0.723327719219719
c4782705-204b-3bf3-86e9-1ddd03c01b6d	Thompson PM	1	4	voice	#FFF1A9	0.163405222590215
