UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	1	1	auditory|speech	#FFF1A9	0.19160309278622
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	2	1		#FFF1A9	0.196909331654504
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	3	1	da|integration	#FEE188	0.254857160280225
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	4	1		#FECB68	0.299900028972642
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	5	1	physical|psychophysical|tactile	#FEE188	0.282788792638207
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	6	1		#FEE188	0.284940490605243
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	7	1	somatosensory|stimulation	#FEE188	0.23306642781724
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	8	1	painful|pain	#FEE188	0.274381353605346
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	9	1		#FECB68	0.342231380766282
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	10	1	ratings	#FD913D	0.584351069277916
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	11	1	affective|affect	#FC622F	0.637027521994783
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	12	1	emotions	#FDAD4A	0.471544044678931
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	13	1	expression|expressions|facial	#FEE188	0.290222665714828
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	14	1		#FDAD4A	0.490423690192786
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	15	1		#FD913D	0.517181800909496
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	16	1	emotion|motion|neutral	#FDAD4A	0.429771524461611
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	17	1	rating	#FDAD4A	0.459263306083904
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	18	1	negative|positive	#FDAD4A	0.445929588077992
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	19	1		#FECB68	0.327345533282458
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	20	1	ear|order	#FEE188	0.275176500466146
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	21	1	motor	#FFFFCC	0
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	22	1	visual	#FFFFCC	0.0108313091683149
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	23	1	age|image|response	#FFFFCC	0.0518477626624857
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	1	2	sound|sounds	#FFF1A9	0.183984521373001
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	2	2		#FFF1A9	0.196337944438081
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	3	2	audiovisual|bimodal|crossmodal	#FEE188	0.207287457970608
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	4	2		#FECB68	0.310506935281088
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	5	2		#FECB68	0.319181663903094
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	6	2		#FEE188	0.296921552024364
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	7	2	sensation	#FEE188	0.245307331441854
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	8	2	heat|noxious	#FEE188	0.238850775877598
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	9	2		#FECB68	0.347800028023709
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	10	2		#FD913D	0.537248089752556
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	11	2		#FD913D	0.55825479458298
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	12	2	valence	#FD913D	0.55214401268416
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	13	2	person|social	#FDAD4A	0.4712063177466
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	14	2		#FDAD4A	0.496895929987638
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	15	2	face|faces	#FD913D	0.544497757553293
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	16	2		#FDAD4A	0.490882567668909
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	17	2		#FDAD4A	0.469388213105365
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	18	2		#FDAD4A	0.408414605536075
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	19	2		#FECB68	0.328718843918612
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	20	2		#FFF1A9	0.185157261295551
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	21	2	images|spatial	#FFFFCC	0.0965105828441138
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	22	2	control	#FFF1A9	0.135602895871836
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	23	2	time	#FFFFCC	0.0825674369981872
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	1	3	acoustic|listening|musical|music|pitch	#FFF1A9	0.19128715638866
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	2	3	noise|tones	#FEE188	0.204863853519423
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	3	3		#FECB68	0.324670552475773
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	4	3		#FECB68	0.373605780113954
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	5	3	frequency	#FECB68	0.349503880215728
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	6	3		#FDAD4A	0.41005723774652
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	7	3		#FECB68	0.331722932602575
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	8	3	temperature	#FECB68	0.321361310406895
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	9	3		#FECB68	0.333947393725091
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	10	3	pleasant|unpleasant	#FECB68	0.376304277051369
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	11	3	anxiety	#FD913D	0.586993601551866
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	12	3		#FD913D	0.526681701782857
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	13	3		#FD913D	0.523398966919085
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	14	3		#FD913D	0.534710743062944
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	15	3		#FD913D	0.533984229383724
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	16	3	picture	#FD913D	0.548179295481816
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	17	3		#FDAD4A	0.468124135944415
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	18	3	value	#FECB68	0.38157150997596
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	19	3	cue	#FECB68	0.322306456207906
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	20	3	error|target	#FEE188	0.245053225547272
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	21	3	attention	#FFFFCC	0.0709883671378863
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	22	3		#FFF1A9	0.163570537937203
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	23	3	number	#FEE188	0.213322897030493
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	1	4	voice	#FEE188	0.228853454938659
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	2	4		#FEE188	0.257942535273005
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	3	4	hearing	#FFF1A9	0.174154830758862
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	4	4		#FDAD4A	0.424820055703443
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	5	4	overt	#FDAD4A	0.429303834866598
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	6	4		#FD913D	0.513726359836839
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	7	4		#FDAD4A	0.43815734180431
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	8	4	nociceptive|nonpainful|painrelated	#FEE188	0.290530918782048
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	9	4	unpleasantness	#FECB68	0.306219506092299
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	10	4	skin|subjective	#FECB68	0.349501586115658
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	11	4	depression	#FECB68	0.386645259501348
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	12	4	experience	#FDAD4A	0.472622309547317
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	13	4	female	#FDAD4A	0.445629590238999
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	14	4	male	#FD913D	0.533399939643946
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	15	4	pictures	#FD913D	0.540193178339343
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	16	4		#FDAD4A	0.461755453146205
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	17	4	perception	#FEE188	0.260294422355577
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	18	4		#FECB68	0.349987062395611
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	19	4		#FECB68	0.303108452815407
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	20	4		#FEE188	0.258236813787026
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	21	4	correct	#FECB68	0.349950346742492
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	22	4	work	#FEE188	0.201797528883202
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	23	4	memory	#FFF1A9	0.182879736147356
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	1	5	prosodic|prosody	#FEE188	0.223428863466974
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	2	5	phonetic	#FFF1A9	0.187036116544321
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	3	5	syllable|syllables	#FECB68	0.394814095170912
c546ddf9-6b72-3b29-92b1-40156fb33573	Cadet JL	4	5		#FDAD4A	0.454609457455971
