UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
c87c8e2d-6f44-3067-a9b2-572b78904240	Bendszus M	1	1	auditory|speech	#FD913D	0.572269441701174
c87c8e2d-6f44-3067-a9b2-572b78904240	Bendszus M	2	1		#FD913D	0.538936112407313
c87c8e2d-6f44-3067-a9b2-572b78904240	Bendszus M	3	1	da|integration	#FDAD4A	0.49415096190052
c87c8e2d-6f44-3067-a9b2-572b78904240	Bendszus M	4	1		#FC622F	0.696515203475547
c87c8e2d-6f44-3067-a9b2-572b78904240	Bendszus M	5	1	physical|psychophysical|tactile	#F03623	0.723486448071964
c87c8e2d-6f44-3067-a9b2-572b78904240	Bendszus M	6	1		#D7141E	0.853114611872781
c87c8e2d-6f44-3067-a9b2-572b78904240	Bendszus M	7	1	somatosensory|stimulation	#D7141E	0.866184149558569
c87c8e2d-6f44-3067-a9b2-572b78904240	Bendszus M	8	1	painful|pain	#F03623	0.779735669180985
c87c8e2d-6f44-3067-a9b2-572b78904240	Bendszus M	9	1		#D7141E	0.838839690219964
c87c8e2d-6f44-3067-a9b2-572b78904240	Bendszus M	10	1	ratings	#D7141E	0.870691078940146
c87c8e2d-6f44-3067-a9b2-572b78904240	Bendszus M	11	1	affective|affect	#F03623	0.750619526845932
c87c8e2d-6f44-3067-a9b2-572b78904240	Bendszus M	12	1	emotions	#F03623	0.791153642602832
c87c8e2d-6f44-3067-a9b2-572b78904240	Bendszus M	13	1	expression|expressions|facial	#F03623	0.738277053113137
c87c8e2d-6f44-3067-a9b2-572b78904240	Bendszus M	14	1		#F03623	0.71365664013038
c87c8e2d-6f44-3067-a9b2-572b78904240	Bendszus M	15	1		#F03623	0.724310852245752
c87c8e2d-6f44-3067-a9b2-572b78904240	Bendszus M	16	1	emotion|motion|neutral	#F03623	0.730509862605866
c87c8e2d-6f44-3067-a9b2-572b78904240	Bendszus M	17	1	rating	#F03623	0.794940350331098
c87c8e2d-6f44-3067-a9b2-572b78904240	Bendszus M	18	1	negative|positive	#FC622F	0.673289282379835
c87c8e2d-6f44-3067-a9b2-572b78904240	Bendszus M	19	1		#FC622F	0.65144782170875
c87c8e2d-6f44-3067-a9b2-572b78904240	Bendszus M	20	1	ear|order	#FD913D	0.578581232645282
c87c8e2d-6f44-3067-a9b2-572b78904240	Bendszus M	21	1	motor	#FD913D	0.576584532242702
c87c8e2d-6f44-3067-a9b2-572b78904240	Bendszus M	22	1	visual	#FECB68	0.39716830827083
c87c8e2d-6f44-3067-a9b2-572b78904240	Bendszus M	23	1	age|image|response	#FD913D	0.541572300114558
c87c8e2d-6f44-3067-a9b2-572b78904240	Bendszus M	1	2	sound|sounds	#FD913D	0.500473541846199
c87c8e2d-6f44-3067-a9b2-572b78904240	Bendszus M	2	2		#FD913D	0.527578934461497
c87c8e2d-6f44-3067-a9b2-572b78904240	Bendszus M	3	2	audiovisual|bimodal|crossmodal	#FDAD4A	0.404993390659037
c87c8e2d-6f44-3067-a9b2-572b78904240	Bendszus M	4	2		#FC622F	0.676036646964085
c87c8e2d-6f44-3067-a9b2-572b78904240	Bendszus M	5	2		#F03623	0.779839336634305
c87c8e2d-6f44-3067-a9b2-572b78904240	Bendszus M	6	2		#D7141E	0.842838279509976
c87c8e2d-6f44-3067-a9b2-572b78904240	Bendszus M	7	2	sensation	#F03623	0.713316347707259
c87c8e2d-6f44-3067-a9b2-572b78904240	Bendszus M	8	2	heat|noxious	#F03623	0.74005971703591
c87c8e2d-6f44-3067-a9b2-572b78904240	Bendszus M	9	2		#D7141E	0.829110469314983
c87c8e2d-6f44-3067-a9b2-572b78904240	Bendszus M	10	2		#D7141E	0.877504315915231
c87c8e2d-6f44-3067-a9b2-572b78904240	Bendszus M	11	2		#D7141E	0.839644366358463
c87c8e2d-6f44-3067-a9b2-572b78904240	Bendszus M	12	2	valence	#F03623	0.732258649519605
c87c8e2d-6f44-3067-a9b2-572b78904240	Bendszus M	13	2	person|social	#FECB68	0.359993875465449
