UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
c90311a3-c9f0-371f-b1a6-46b4aa7f3da9	Phan KL	1	1	auditory|speech	#FEE188	0.284026189856442
c90311a3-c9f0-371f-b1a6-46b4aa7f3da9	Phan KL	2	1		#FEE188	0.288820455990416
c90311a3-c9f0-371f-b1a6-46b4aa7f3da9	Phan KL	3	1	da|integration	#FD913D	0.515502634872612
c90311a3-c9f0-371f-b1a6-46b4aa7f3da9	Phan KL	4	1		#FDAD4A	0.421972351666757
c90311a3-c9f0-371f-b1a6-46b4aa7f3da9	Phan KL	5	1	physical|psychophysical|tactile	#FEE188	0.27682873406806
c90311a3-c9f0-371f-b1a6-46b4aa7f3da9	Phan KL	6	1		#FECB68	0.326977133638984
c90311a3-c9f0-371f-b1a6-46b4aa7f3da9	Phan KL	7	1	somatosensory|stimulation	#FEE188	0.2458891542171
c90311a3-c9f0-371f-b1a6-46b4aa7f3da9	Phan KL	8	1	painful|pain	#FECB68	0.306631847355289
c90311a3-c9f0-371f-b1a6-46b4aa7f3da9	Phan KL	9	1		#FDAD4A	0.414328245397073
c90311a3-c9f0-371f-b1a6-46b4aa7f3da9	Phan KL	10	1	ratings	#F03623	0.724028257022434
c90311a3-c9f0-371f-b1a6-46b4aa7f3da9	Phan KL	11	1	affective|affect	#B10026	0.90778472773086
c90311a3-c9f0-371f-b1a6-46b4aa7f3da9	Phan KL	12	1	emotions	#B10026	0.9567642686087
c90311a3-c9f0-371f-b1a6-46b4aa7f3da9	Phan KL	13	1	expression|expressions|facial	#D7141E	0.898976724150234
c90311a3-c9f0-371f-b1a6-46b4aa7f3da9	Phan KL	14	1		#B10026	0.959759474902198
c90311a3-c9f0-371f-b1a6-46b4aa7f3da9	Phan KL	15	1		#B10026	0.931875160112862
c90311a3-c9f0-371f-b1a6-46b4aa7f3da9	Phan KL	16	1	emotion|motion|neutral	#D7141E	0.878730688616173
c90311a3-c9f0-371f-b1a6-46b4aa7f3da9	Phan KL	17	1	rating	#F03623	0.736910177868928
c90311a3-c9f0-371f-b1a6-46b4aa7f3da9	Phan KL	18	1	negative|positive	#F03623	0.705220316392706
c90311a3-c9f0-371f-b1a6-46b4aa7f3da9	Phan KL	19	1		#FC622F	0.677468487863112
c90311a3-c9f0-371f-b1a6-46b4aa7f3da9	Phan KL	20	1	ear|order	#FD913D	0.593354437439888
c90311a3-c9f0-371f-b1a6-46b4aa7f3da9	Phan KL	21	1	motor	#FECB68	0.310272036378626
c90311a3-c9f0-371f-b1a6-46b4aa7f3da9	Phan KL	22	1	visual	#FDAD4A	0.447655189609188
c90311a3-c9f0-371f-b1a6-46b4aa7f3da9	Phan KL	23	1	age|image|response	#FD913D	0.52490634020306
c90311a3-c9f0-371f-b1a6-46b4aa7f3da9	Phan KL	1	2	sound|sounds	#FFF1A9	0.194197658145651
c90311a3-c9f0-371f-b1a6-46b4aa7f3da9	Phan KL	2	2		#FEE188	0.261438128295292
c90311a3-c9f0-371f-b1a6-46b4aa7f3da9	Phan KL	3	2	audiovisual|bimodal|crossmodal	#FEE188	0.230147569127949
c90311a3-c9f0-371f-b1a6-46b4aa7f3da9	Phan KL	4	2		#FDAD4A	0.429640882281193
c90311a3-c9f0-371f-b1a6-46b4aa7f3da9	Phan KL	5	2		#FECB68	0.386428716974539
c90311a3-c9f0-371f-b1a6-46b4aa7f3da9	Phan KL	6	2		#FECB68	0.351745713227127
