UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
c92b9154-15fb-3db4-b762-e54929eddfb6	McCrea SM	1	1	auditory|speech	#FEE188	0.298072792950228
c92b9154-15fb-3db4-b762-e54929eddfb6	McCrea SM	2	1		#FECB68	0.309788994724663
c92b9154-15fb-3db4-b762-e54929eddfb6	McCrea SM	3	1	da|integration	#FC622F	0.612231792984432
c92b9154-15fb-3db4-b762-e54929eddfb6	McCrea SM	4	1		#FD913D	0.523862871385899
c92b9154-15fb-3db4-b762-e54929eddfb6	McCrea SM	5	1	physical|psychophysical|tactile	#FECB68	0.359367474075373
c92b9154-15fb-3db4-b762-e54929eddfb6	McCrea SM	6	1		#FECB68	0.318761621333121
c92b9154-15fb-3db4-b762-e54929eddfb6	McCrea SM	7	1	somatosensory|stimulation	#FFF1A9	0.177467667447152
c92b9154-15fb-3db4-b762-e54929eddfb6	McCrea SM	8	1	painful|pain	#FFFFCC	0.0940592213866372
c92b9154-15fb-3db4-b762-e54929eddfb6	McCrea SM	9	1		#FFF1A9	0.176026803598457
c92b9154-15fb-3db4-b762-e54929eddfb6	McCrea SM	10	1	ratings	#FECB68	0.329224417262801
c92b9154-15fb-3db4-b762-e54929eddfb6	McCrea SM	11	1	affective|affect	#FECB68	0.391845190137396
c92b9154-15fb-3db4-b762-e54929eddfb6	McCrea SM	12	1	emotions	#FDAD4A	0.46025642960888
c92b9154-15fb-3db4-b762-e54929eddfb6	McCrea SM	13	1	expression|expressions|facial	#FD913D	0.578144484043014
c92b9154-15fb-3db4-b762-e54929eddfb6	McCrea SM	14	1		#FC622F	0.671606700733489
c92b9154-15fb-3db4-b762-e54929eddfb6	McCrea SM	15	1		#FC622F	0.645712149024536
c92b9154-15fb-3db4-b762-e54929eddfb6	McCrea SM	16	1	emotion|motion|neutral	#FDAD4A	0.496197342400371
c92b9154-15fb-3db4-b762-e54929eddfb6	McCrea SM	17	1	rating	#FECB68	0.349013859488928
c92b9154-15fb-3db4-b762-e54929eddfb6	McCrea SM	18	1	negative|positive	#FECB68	0.359271400825527
c92b9154-15fb-3db4-b762-e54929eddfb6	McCrea SM	19	1		#FD913D	0.573839443065307
c92b9154-15fb-3db4-b762-e54929eddfb6	McCrea SM	20	1	ear|order	#FC622F	0.621859674774611
c92b9154-15fb-3db4-b762-e54929eddfb6	McCrea SM	21	1	motor	#FDAD4A	0.468326920075241
c92b9154-15fb-3db4-b762-e54929eddfb6	McCrea SM	22	1	visual	#F03623	0.718100299040169
