UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	1	1	auditory|speech	#FFF1A9	0.145800781720466
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	2	1		#FFF1A9	0.15995702978719
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	3	1	da|integration	#FDAD4A	0.444314347928487
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	4	1		#FECB68	0.384846688691271
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	5	1	physical|psychophysical|tactile	#FECB68	0.316374970294736
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	6	1		#FECB68	0.362348959476751
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	7	1	somatosensory|stimulation	#FECB68	0.316225906438846
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	8	1	painful|pain	#FECB68	0.326768157711325
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	9	1		#FDAD4A	0.434406335904451
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	10	1	ratings	#F03623	0.7037243688096
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	11	1	affective|affect	#FC622F	0.636836651296937
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	12	1	emotions	#F03623	0.733208592527065
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	13	1	expression|expressions|facial	#FC622F	0.68375827618728
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	14	1		#F03623	0.782521810543585
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	15	1		#F03623	0.797687554457955
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	16	1	emotion|motion|neutral	#F03623	0.757428784155199
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	17	1	rating	#FC622F	0.695019486585397
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	18	1	negative|positive	#FD913D	0.562226100828181
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	19	1		#FD913D	0.547936544715806
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	20	1	ear|order	#FDAD4A	0.460394509045493
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	21	1	motor	#FECB68	0.303942231776973
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	22	1	visual	#FD913D	0.529149517607188
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	23	1	age|image|response	#FDAD4A	0.480752784559366
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	1	2	sound|sounds	#FFFFCC	0.0787422010298903
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	2	2		#FFF1A9	0.137445391532597
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	3	2	audiovisual|bimodal|crossmodal	#FDAD4A	0.401491969198084
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	4	2		#FECB68	0.387367704022409
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	5	2		#FDAD4A	0.401274654616962
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	6	2		#FECB68	0.375036616486732
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	7	2	sensation	#FEE188	0.289406019890553
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	8	2	heat|noxious	#FEE188	0.282578293627985
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	9	2		#FDAD4A	0.456754539623145
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	10	2		#F03623	0.702016293015996
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	11	2		#F03623	0.733943974440093
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	12	2	valence	#F03623	0.706227502461741
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	13	2	person|social	#FD913D	0.547133407619869
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	14	2		#F03623	0.787610058466181
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	15	2	face|faces	#F03623	0.768389066564199
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	16	2		#F03623	0.797136353177459
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	17	2		#F03623	0.730200101980631
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	18	2		#FC622F	0.639322468856317
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	19	2		#FD913D	0.547716801639584
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	20	2		#FDAD4A	0.479801949235805
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	21	2	images|spatial	#FD913D	0.505970847685449
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	22	2	control	#FDAD4A	0.426492891423036
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	23	2	time	#FDAD4A	0.451758302035162
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	1	3	acoustic|listening|musical|music|pitch	#FFFFCC	0.0311684168847968
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	2	3	noise|tones	#FFFFCC	0.0880932345216574
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	3	3		#FEE188	0.245433254547177
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	4	3		#FECB68	0.312854265411432
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	5	3	frequency	#FECB68	0.343623324164681
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	6	3		#FECB68	0.353022504129995
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	7	3		#FECB68	0.316754628738081
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	8	3	temperature	#FEE188	0.261793448894915
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	9	3		#FDAD4A	0.439289977529914
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	10	3	pleasant|unpleasant	#FC622F	0.655358781017657
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	11	3	anxiety	#FC622F	0.624614687665399
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	12	3		#F03623	0.703071290414395
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	13	3		#F03623	0.731761039005492
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	14	3		#F03623	0.79942273284496
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	15	3		#D7141E	0.821189135293178
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	16	3	picture	#D7141E	0.83930243524757
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	17	3		#F03623	0.755842288484472
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	18	3	value	#FD913D	0.524905531773237
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	19	3	cue	#FDAD4A	0.473136279581248
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	20	3	error|target	#FDAD4A	0.416443246176343
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	21	3	attention	#FDAD4A	0.442835595594152
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	22	3		#FDAD4A	0.435756741701227
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	23	3	number	#FDAD4A	0.423128474517646
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	1	4	voice	#FFFFCC	0.0771247955907112
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	2	4		#FFF1A9	0.10822777509563
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	3	4	hearing	#FEE188	0.256667498313483
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	4	4		#FFF1A9	0.197021573724559
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	5	4	overt	#FFF1A9	0.198991006672747
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	6	4		#FEE188	0.250488116850692
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	7	4		#FECB68	0.326773985358933
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	8	4	nociceptive|nonpainful|painrelated	#FEE188	0.283070337970012
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	9	4	unpleasantness	#FECB68	0.38589106857682
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	10	4	skin|subjective	#FC622F	0.605040774059255
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	11	4	depression	#FD913D	0.55419155729023
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	12	4	experience	#FD913D	0.562244808457268
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	13	4	female	#FC622F	0.67746707590186
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	14	4	male	#FC622F	0.687365077920103
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	15	4	pictures	#D7141E	0.856138962557494
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	16	4		#D7141E	0.804140053364545
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	17	4	perception	#FC622F	0.671471953275216
ca1627d9-0cb5-38ea-9e6b-9831eb41169a	Smeets PA	18	4		#FC622F	0.607207907503216
