UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
ca41adca-c375-3d2c-857c-702947b5a39e	Kikuchi Y	1	1	auditory|speech	#FDAD4A	0.479845485173726
ca41adca-c375-3d2c-857c-702947b5a39e	Kikuchi Y	2	1		#FDAD4A	0.490610018745125
ca41adca-c375-3d2c-857c-702947b5a39e	Kikuchi Y	3	1	da|integration	#F03623	0.767003413081999
ca41adca-c375-3d2c-857c-702947b5a39e	Kikuchi Y	4	1		#F03623	0.737177294973579
ca41adca-c375-3d2c-857c-702947b5a39e	Kikuchi Y	5	1	physical|psychophysical|tactile	#FD913D	0.501674739909629
ca41adca-c375-3d2c-857c-702947b5a39e	Kikuchi Y	6	1		#FC622F	0.631630394386468
ca41adca-c375-3d2c-857c-702947b5a39e	Kikuchi Y	7	1	somatosensory|stimulation	#FDAD4A	0.491417191890016
ca41adca-c375-3d2c-857c-702947b5a39e	Kikuchi Y	8	1	painful|pain	#FDAD4A	0.422816877972152
ca41adca-c375-3d2c-857c-702947b5a39e	Kikuchi Y	9	1		#FD913D	0.531535001292247
ca41adca-c375-3d2c-857c-702947b5a39e	Kikuchi Y	10	1	ratings	#FC622F	0.61099261765471
ca41adca-c375-3d2c-857c-702947b5a39e	Kikuchi Y	11	1	affective|affect	#FDAD4A	0.476198364178707
ca41adca-c375-3d2c-857c-702947b5a39e	Kikuchi Y	12	1	emotions	#FD913D	0.511120369013065
ca41adca-c375-3d2c-857c-702947b5a39e	Kikuchi Y	13	1	expression|expressions|facial	#FEE188	0.259594679756226
ca41adca-c375-3d2c-857c-702947b5a39e	Kikuchi Y	14	1		#FDAD4A	0.477650577844746
ca41adca-c375-3d2c-857c-702947b5a39e	Kikuchi Y	15	1		#FD913D	0.520216980807676
ca41adca-c375-3d2c-857c-702947b5a39e	Kikuchi Y	16	1	emotion|motion|neutral	#FDAD4A	0.495780712119272
ca41adca-c375-3d2c-857c-702947b5a39e	Kikuchi Y	17	1	rating	#FD913D	0.572014850602506
ca41adca-c375-3d2c-857c-702947b5a39e	Kikuchi Y	18	1	negative|positive	#FD913D	0.501359512038729
ca41adca-c375-3d2c-857c-702947b5a39e	Kikuchi Y	19	1		#FC622F	0.66112109376085
ca41adca-c375-3d2c-857c-702947b5a39e	Kikuchi Y	20	1	ear|order	#FC622F	0.649048757435427
ca41adca-c375-3d2c-857c-702947b5a39e	Kikuchi Y	21	1	motor	#FDAD4A	0.476044936952239
ca41adca-c375-3d2c-857c-702947b5a39e	Kikuchi Y	22	1	visual	#FDAD4A	0.480151683904248
ca41adca-c375-3d2c-857c-702947b5a39e	Kikuchi Y	23	1	age|image|response	#FD913D	0.563969661774327
ca41adca-c375-3d2c-857c-702947b5a39e	Kikuchi Y	1	2	sound|sounds	#FECB68	0.361678884259916
ca41adca-c375-3d2c-857c-702947b5a39e	Kikuchi Y	2	2		#FDAD4A	0.446165716597421
ca41adca-c375-3d2c-857c-702947b5a39e	Kikuchi Y	3	2	audiovisual|bimodal|crossmodal	#FECB68	0.349560694069005
ca41adca-c375-3d2c-857c-702947b5a39e	Kikuchi Y	4	2		#F03623	0.744065826718207
ca41adca-c375-3d2c-857c-702947b5a39e	Kikuchi Y	5	2		#F03623	0.717845725523275
ca41adca-c375-3d2c-857c-702947b5a39e	Kikuchi Y	6	2		#FC622F	0.672975053582519
ca41adca-c375-3d2c-857c-702947b5a39e	Kikuchi Y	7	2	sensation	#FECB68	0.377665664361648
ca41adca-c375-3d2c-857c-702947b5a39e	Kikuchi Y	8	2	heat|noxious	#FDAD4A	0.410152957116732
ca41adca-c375-3d2c-857c-702947b5a39e	Kikuchi Y	9	2		#FD913D	0.545797037605455
ca41adca-c375-3d2c-857c-702947b5a39e	Kikuchi Y	10	2		#FC622F	0.605915759717485
ca41adca-c375-3d2c-857c-702947b5a39e	Kikuchi Y	11	2		#FD913D	0.589388255782018
ca41adca-c375-3d2c-857c-702947b5a39e	Kikuchi Y	12	2	valence	#FDAD4A	0.471814163625838
ca41adca-c375-3d2c-857c-702947b5a39e	Kikuchi Y	13	2	person|social	#FDAD4A	0.482265277074465
ca41adca-c375-3d2c-857c-702947b5a39e	Kikuchi Y	14	2		#FDAD4A	0.498242853705518
ca41adca-c375-3d2c-857c-702947b5a39e	Kikuchi Y	15	2	face|faces	#FECB68	0.39041091580264
ca41adca-c375-3d2c-857c-702947b5a39e	Kikuchi Y	16	2		#FD913D	0.592314470226449
ca41adca-c375-3d2c-857c-702947b5a39e	Kikuchi Y	17	2		#FC622F	0.630115853595521
ca41adca-c375-3d2c-857c-702947b5a39e	Kikuchi Y	18	2		#F03623	0.709136206454713
ca41adca-c375-3d2c-857c-702947b5a39e	Kikuchi Y	19	2		#F03623	0.720549652701122
ca41adca-c375-3d2c-857c-702947b5a39e	Kikuchi Y	20	2		#FC622F	0.688915294436554
ca41adca-c375-3d2c-857c-702947b5a39e	Kikuchi Y	21	2	images|spatial	#FC622F	0.615594296604135
ca41adca-c375-3d2c-857c-702947b5a39e	Kikuchi Y	22	2	control	#FD913D	0.558228633533359
ca41adca-c375-3d2c-857c-702947b5a39e	Kikuchi Y	23	2	time	#FD913D	0.573804631993823
ca41adca-c375-3d2c-857c-702947b5a39e	Kikuchi Y	1	3	acoustic|listening|musical|music|pitch	#FFF1A9	0.195649057072318
ca41adca-c375-3d2c-857c-702947b5a39e	Kikuchi Y	2	3	noise|tones	#FEE188	0.286367217925935
ca41adca-c375-3d2c-857c-702947b5a39e	Kikuchi Y	3	3		#FD913D	0.571039810563229
ca41adca-c375-3d2c-857c-702947b5a39e	Kikuchi Y	4	3		#FC622F	0.678025056393124
ca41adca-c375-3d2c-857c-702947b5a39e	Kikuchi Y	5	3	frequency	#FC622F	0.700010393603379
ca41adca-c375-3d2c-857c-702947b5a39e	Kikuchi Y	6	3		#F03623	0.771315161180393
ca41adca-c375-3d2c-857c-702947b5a39e	Kikuchi Y	7	3		#FD913D	0.526499904757492
ca41adca-c375-3d2c-857c-702947b5a39e	Kikuchi Y	8	3	temperature	#FECB68	0.356551311183252
ca41adca-c375-3d2c-857c-702947b5a39e	Kikuchi Y	9	3		#FD913D	0.550867600122403
ca41adca-c375-3d2c-857c-702947b5a39e	Kikuchi Y	10	3	pleasant|unpleasant	#FDAD4A	0.407586776650858
