UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
cfc3938c-f70d-3bfe-9a93-080415c565e6	Penny W	1	1	auditory|speech	#F03623	0.797566253002986
cfc3938c-f70d-3bfe-9a93-080415c565e6	Penny W	2	1		#D7141E	0.853746182979237
cfc3938c-f70d-3bfe-9a93-080415c565e6	Penny W	3	1	da|integration	#FC622F	0.673854979396549
cfc3938c-f70d-3bfe-9a93-080415c565e6	Penny W	4	1		#F03623	0.785695631912492
cfc3938c-f70d-3bfe-9a93-080415c565e6	Penny W	5	1	physical|psychophysical|tactile	#FDAD4A	0.497946134820023
cfc3938c-f70d-3bfe-9a93-080415c565e6	Penny W	6	1		#FDAD4A	0.495205455648986
cfc3938c-f70d-3bfe-9a93-080415c565e6	Penny W	7	1	somatosensory|stimulation	#FDAD4A	0.494414226014983
cfc3938c-f70d-3bfe-9a93-080415c565e6	Penny W	8	1	painful|pain	#FEE188	0.21296928258517
cfc3938c-f70d-3bfe-9a93-080415c565e6	Penny W	9	1		#FEE188	0.245123961902178
cfc3938c-f70d-3bfe-9a93-080415c565e6	Penny W	10	1	ratings	#FFF1A9	0.149290337357145
cfc3938c-f70d-3bfe-9a93-080415c565e6	Penny W	11	1	affective|affect	#FFFFCC	0.0585524273727974
cfc3938c-f70d-3bfe-9a93-080415c565e6	Penny W	12	1	emotions	#FEE188	0.220006931761895
cfc3938c-f70d-3bfe-9a93-080415c565e6	Penny W	13	1	expression|expressions|facial	#FEE188	0.271498372642727
cfc3938c-f70d-3bfe-9a93-080415c565e6	Penny W	14	1		#FECB68	0.321543307558519
cfc3938c-f70d-3bfe-9a93-080415c565e6	Penny W	15	1		#FECB68	0.326317370595507
cfc3938c-f70d-3bfe-9a93-080415c565e6	Penny W	16	1	emotion|motion|neutral	#FECB68	0.32547114202808
cfc3938c-f70d-3bfe-9a93-080415c565e6	Penny W	17	1	rating	#FEE188	0.211823044359109
cfc3938c-f70d-3bfe-9a93-080415c565e6	Penny W	18	1	negative|positive	#FFF1A9	0.197418030685632
cfc3938c-f70d-3bfe-9a93-080415c565e6	Penny W	19	1		#FEE188	0.279001860741532
cfc3938c-f70d-3bfe-9a93-080415c565e6	Penny W	20	1	ear|order	#FEE188	0.285529863663528
cfc3938c-f70d-3bfe-9a93-080415c565e6	Penny W	21	1	motor	#FEE188	0.258950569462971
cfc3938c-f70d-3bfe-9a93-080415c565e6	Penny W	22	1	visual	#FDAD4A	0.495810694953662
cfc3938c-f70d-3bfe-9a93-080415c565e6	Penny W	23	1	age|image|response	#FECB68	0.336995720552078
cfc3938c-f70d-3bfe-9a93-080415c565e6	Penny W	1	2	sound|sounds	#D7141E	0.857723515065257
cfc3938c-f70d-3bfe-9a93-080415c565e6	Penny W	2	2		#D7141E	0.872534374822545
cfc3938c-f70d-3bfe-9a93-080415c565e6	Penny W	3	2	audiovisual|bimodal|crossmodal	#B10026	0.944339687187893
cfc3938c-f70d-3bfe-9a93-080415c565e6	Penny W	4	2		#F03623	0.79603350023757
cfc3938c-f70d-3bfe-9a93-080415c565e6	Penny W	5	2		#F03623	0.716961700493977
