UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
cffde39e-b1ad-3c1f-bc4b-b8f20289f826	Sherwood CC	1	1	auditory|speech	#FFFFCC	0.0642106919811431
cffde39e-b1ad-3c1f-bc4b-b8f20289f826	Sherwood CC	2	1		#FFFFCC	0.0798035016170432
cffde39e-b1ad-3c1f-bc4b-b8f20289f826	Sherwood CC	3	1	da|integration	#FFFFCC	0.09693357345578
cffde39e-b1ad-3c1f-bc4b-b8f20289f826	Sherwood CC	4	1		#FEE188	0.268045361311972
cffde39e-b1ad-3c1f-bc4b-b8f20289f826	Sherwood CC	5	1	physical|psychophysical|tactile	#FECB68	0.383684570126187
cffde39e-b1ad-3c1f-bc4b-b8f20289f826	Sherwood CC	6	1		#FECB68	0.366486377270302
cffde39e-b1ad-3c1f-bc4b-b8f20289f826	Sherwood CC	7	1	somatosensory|stimulation	#FEE188	0.233133213218726
cffde39e-b1ad-3c1f-bc4b-b8f20289f826	Sherwood CC	8	1	painful|pain	#FECB68	0.309494132787958
cffde39e-b1ad-3c1f-bc4b-b8f20289f826	Sherwood CC	9	1		#FEE188	0.270814168342239
cffde39e-b1ad-3c1f-bc4b-b8f20289f826	Sherwood CC	10	1	ratings	#FFF1A9	0.170050249026422
cffde39e-b1ad-3c1f-bc4b-b8f20289f826	Sherwood CC	11	1	affective|affect	#FFF1A9	0.123334369307344
cffde39e-b1ad-3c1f-bc4b-b8f20289f826	Sherwood CC	12	1	emotions	#FFFFCC	0.0772915291029298
cffde39e-b1ad-3c1f-bc4b-b8f20289f826	Sherwood CC	13	1	expression|expressions|facial	#FFFFCC	0.0705779720697893
cffde39e-b1ad-3c1f-bc4b-b8f20289f826	Sherwood CC	14	1		#FFFFCC	0.0909624106692289
cffde39e-b1ad-3c1f-bc4b-b8f20289f826	Sherwood CC	15	1		#FFFFCC	0.0975565905909421
cffde39e-b1ad-3c1f-bc4b-b8f20289f826	Sherwood CC	16	1	emotion|motion|neutral	#FFFFCC	0.0687561389007739
cffde39e-b1ad-3c1f-bc4b-b8f20289f826	Sherwood CC	17	1	rating	#FFF1A9	0.158473972178038
cffde39e-b1ad-3c1f-bc4b-b8f20289f826	Sherwood CC	18	1	negative|positive	#FECB68	0.300357229153508
cffde39e-b1ad-3c1f-bc4b-b8f20289f826	Sherwood CC	19	1		#FEE188	0.268270257050619
cffde39e-b1ad-3c1f-bc4b-b8f20289f826	Sherwood CC	20	1	ear|order	#FECB68	0.317154237993625
cffde39e-b1ad-3c1f-bc4b-b8f20289f826	Sherwood CC	21	1	motor	#FFF1A9	0.10880409079863
cffde39e-b1ad-3c1f-bc4b-b8f20289f826	Sherwood CC	22	1	visual	#FFFFCC	0
cffde39e-b1ad-3c1f-bc4b-b8f20289f826	Sherwood CC	23	1	age|image|response	#FFF1A9	0.118939963489439
cffde39e-b1ad-3c1f-bc4b-b8f20289f826	Sherwood CC	1	2	sound|sounds	#FFFFCC	0.0821235167260095
cffde39e-b1ad-3c1f-bc4b-b8f20289f826	Sherwood CC	2	2		#FFFFCC	0.081248639621542
cffde39e-b1ad-3c1f-bc4b-b8f20289f826	Sherwood CC	3	2	audiovisual|bimodal|crossmodal	#FFFFCC	0.087438882790494
cffde39e-b1ad-3c1f-bc4b-b8f20289f826	Sherwood CC	4	2		#FEE188	0.255477811232291
cffde39e-b1ad-3c1f-bc4b-b8f20289f826	Sherwood CC	5	2		#FECB68	0.315175376599329
cffde39e-b1ad-3c1f-bc4b-b8f20289f826	Sherwood CC	6	2		#FECB68	0.356933694196635
cffde39e-b1ad-3c1f-bc4b-b8f20289f826	Sherwood CC	7	2	sensation	#FFF1A9	0.179351314800137
cffde39e-b1ad-3c1f-bc4b-b8f20289f826	Sherwood CC	8	2	heat|noxious	#FDAD4A	0.424645193956728
cffde39e-b1ad-3c1f-bc4b-b8f20289f826	Sherwood CC	9	2		#FEE188	0.287166934771207
cffde39e-b1ad-3c1f-bc4b-b8f20289f826	Sherwood CC	10	2		#FFF1A9	0.16372706685885
cffde39e-b1ad-3c1f-bc4b-b8f20289f826	Sherwood CC	11	2		#FFF1A9	0.130745706923209
cffde39e-b1ad-3c1f-bc4b-b8f20289f826	Sherwood CC	12	2	valence	#FFF1A9	0.102163133012747
cffde39e-b1ad-3c1f-bc4b-b8f20289f826	Sherwood CC	13	2	person|social	#FFFFCC	0.0872061471512394
cffde39e-b1ad-3c1f-bc4b-b8f20289f826	Sherwood CC	14	2		#FFFFCC	0.0963818178496613
cffde39e-b1ad-3c1f-bc4b-b8f20289f826	Sherwood CC	15	2	face|faces	#FFFFCC	0.0964688362532224
cffde39e-b1ad-3c1f-bc4b-b8f20289f826	Sherwood CC	16	2		#FFF1A9	0.121300362483561
cffde39e-b1ad-3c1f-bc4b-b8f20289f826	Sherwood CC	17	2		#FFF1A9	0.1857659646991
cffde39e-b1ad-3c1f-bc4b-b8f20289f826	Sherwood CC	18	2		#FEE188	0.228910947597336
cffde39e-b1ad-3c1f-bc4b-b8f20289f826	Sherwood CC	19	2		#FEE188	0.261777426775084
cffde39e-b1ad-3c1f-bc4b-b8f20289f826	Sherwood CC	20	2		#FEE188	0.223444204444802
cffde39e-b1ad-3c1f-bc4b-b8f20289f826	Sherwood CC	21	2	images|spatial	#FEE188	0.204392959948234
cffde39e-b1ad-3c1f-bc4b-b8f20289f826	Sherwood CC	22	2	control	#FEE188	0.22763588449899
cffde39e-b1ad-3c1f-bc4b-b8f20289f826	Sherwood CC	23	2	time	#FFF1A9	0.138640514251225
cffde39e-b1ad-3c1f-bc4b-b8f20289f826	Sherwood CC	1	3	acoustic|listening|musical|music|pitch	#FFFFCC	0.0768862279421302
cffde39e-b1ad-3c1f-bc4b-b8f20289f826	Sherwood CC	2	3	noise|tones	#FFF1A9	0.103032926574255
cffde39e-b1ad-3c1f-bc4b-b8f20289f826	Sherwood CC	3	3		#FFF1A9	0.104126257545651
cffde39e-b1ad-3c1f-bc4b-b8f20289f826	Sherwood CC	4	3		#FFF1A9	0.12506302076373
cffde39e-b1ad-3c1f-bc4b-b8f20289f826	Sherwood CC	5	3	frequency	#FFF1A9	0.191502433265892
cffde39e-b1ad-3c1f-bc4b-b8f20289f826	Sherwood CC	6	3		#FEE188	0.245000514220983
cffde39e-b1ad-3c1f-bc4b-b8f20289f826	Sherwood CC	7	3		#FECB68	0.328137422861396
cffde39e-b1ad-3c1f-bc4b-b8f20289f826	Sherwood CC	8	3	temperature	#FDAD4A	0.476829422693425
cffde39e-b1ad-3c1f-bc4b-b8f20289f826	Sherwood CC	9	3		#FEE188	0.289205044796819
