UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
d1e8178e-e78e-390a-99a0-a1ad45d58175	Buchsbaum MS	1	1	auditory|speech	#FFF1A9	0.134371527186557
d1e8178e-e78e-390a-99a0-a1ad45d58175	Buchsbaum MS	2	1		#FFF1A9	0.143423799000501
d1e8178e-e78e-390a-99a0-a1ad45d58175	Buchsbaum MS	3	1	da|integration	#FEE188	0.25717248851565
d1e8178e-e78e-390a-99a0-a1ad45d58175	Buchsbaum MS	4	1		#FEE188	0.2621660505471
d1e8178e-e78e-390a-99a0-a1ad45d58175	Buchsbaum MS	5	1	physical|psychophysical|tactile	#FEE188	0.26854296512335
d1e8178e-e78e-390a-99a0-a1ad45d58175	Buchsbaum MS	6	1		#FDAD4A	0.416121361574365
d1e8178e-e78e-390a-99a0-a1ad45d58175	Buchsbaum MS	7	1	somatosensory|stimulation	#FECB68	0.345591019425271
d1e8178e-e78e-390a-99a0-a1ad45d58175	Buchsbaum MS	8	1	painful|pain	#FD913D	0.527977393849022
d1e8178e-e78e-390a-99a0-a1ad45d58175	Buchsbaum MS	9	1		#FD913D	0.591348039195052
d1e8178e-e78e-390a-99a0-a1ad45d58175	Buchsbaum MS	10	1	ratings	#FC622F	0.685660810353899
d1e8178e-e78e-390a-99a0-a1ad45d58175	Buchsbaum MS	11	1	affective|affect	#FD913D	0.553292780878476
d1e8178e-e78e-390a-99a0-a1ad45d58175	Buchsbaum MS	12	1	emotions	#FDAD4A	0.480726129839238
d1e8178e-e78e-390a-99a0-a1ad45d58175	Buchsbaum MS	13	1	expression|expressions|facial	#FDAD4A	0.413296219599808
d1e8178e-e78e-390a-99a0-a1ad45d58175	Buchsbaum MS	14	1		#FD913D	0.501687765481724
d1e8178e-e78e-390a-99a0-a1ad45d58175	Buchsbaum MS	15	1		#FD913D	0.526937919942686
d1e8178e-e78e-390a-99a0-a1ad45d58175	Buchsbaum MS	16	1	emotion|motion|neutral	#FD913D	0.535456384065901
d1e8178e-e78e-390a-99a0-a1ad45d58175	Buchsbaum MS	17	1	rating	#FC622F	0.625273074140172
d1e8178e-e78e-390a-99a0-a1ad45d58175	Buchsbaum MS	18	1	negative|positive	#FC622F	0.627801153414616
d1e8178e-e78e-390a-99a0-a1ad45d58175	Buchsbaum MS	19	1		#FDAD4A	0.476773735207014
d1e8178e-e78e-390a-99a0-a1ad45d58175	Buchsbaum MS	20	1	ear|order	#FECB68	0.392458708114566
d1e8178e-e78e-390a-99a0-a1ad45d58175	Buchsbaum MS	21	1	motor	#FFF1A9	0.141765603998726
d1e8178e-e78e-390a-99a0-a1ad45d58175	Buchsbaum MS	22	1	visual	#FFFFCC	0.0575971203833729
d1e8178e-e78e-390a-99a0-a1ad45d58175	Buchsbaum MS	23	1	age|image|response	#FEE188	0.247101416928226
d1e8178e-e78e-390a-99a0-a1ad45d58175	Buchsbaum MS	1	2	sound|sounds	#FFF1A9	0.136133168813939
d1e8178e-e78e-390a-99a0-a1ad45d58175	Buchsbaum MS	2	2		#FFF1A9	0.138937608543874
d1e8178e-e78e-390a-99a0-a1ad45d58175	Buchsbaum MS	3	2	audiovisual|bimodal|crossmodal	#FFFFCC	0.0660021333294482
d1e8178e-e78e-390a-99a0-a1ad45d58175	Buchsbaum MS	4	2		#FEE188	0.259676913824915
d1e8178e-e78e-390a-99a0-a1ad45d58175	Buchsbaum MS	5	2		#FECB68	0.309226945721895
d1e8178e-e78e-390a-99a0-a1ad45d58175	Buchsbaum MS	6	2		#FDAD4A	0.407306944715982
d1e8178e-e78e-390a-99a0-a1ad45d58175	Buchsbaum MS	7	2	sensation	#FDAD4A	0.496369210522343
