UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
d2956aee-da98-365e-aee5-fe8e2d73b4bb	Rivera SM	1	1	auditory|speech	#FEE188	0.205052593196829
d2956aee-da98-365e-aee5-fe8e2d73b4bb	Rivera SM	2	1		#FFF1A9	0.174775981700057
d2956aee-da98-365e-aee5-fe8e2d73b4bb	Rivera SM	3	1	da|integration	#FDAD4A	0.490177345742068
d2956aee-da98-365e-aee5-fe8e2d73b4bb	Rivera SM	4	1		#FECB68	0.372203611073885
d2956aee-da98-365e-aee5-fe8e2d73b4bb	Rivera SM	5	1	physical|psychophysical|tactile	#FEE188	0.20089114902582
d2956aee-da98-365e-aee5-fe8e2d73b4bb	Rivera SM	6	1		#FECB68	0.321291189296586
d2956aee-da98-365e-aee5-fe8e2d73b4bb	Rivera SM	7	1	somatosensory|stimulation	#FEE188	0.23355224432962
d2956aee-da98-365e-aee5-fe8e2d73b4bb	Rivera SM	8	1	painful|pain	#FEE188	0.274851410807795
d2956aee-da98-365e-aee5-fe8e2d73b4bb	Rivera SM	9	1		#FDAD4A	0.420581927250727
d2956aee-da98-365e-aee5-fe8e2d73b4bb	Rivera SM	10	1	ratings	#F03623	0.753737501946357
d2956aee-da98-365e-aee5-fe8e2d73b4bb	Rivera SM	11	1	affective|affect	#D7141E	0.838052795503901
d2956aee-da98-365e-aee5-fe8e2d73b4bb	Rivera SM	12	1	emotions	#D7141E	0.855397220700963
d2956aee-da98-365e-aee5-fe8e2d73b4bb	Rivera SM	13	1	expression|expressions|facial	#D7141E	0.849612181720308
d2956aee-da98-365e-aee5-fe8e2d73b4bb	Rivera SM	14	1		#B10026	0.955240953084875
d2956aee-da98-365e-aee5-fe8e2d73b4bb	Rivera SM	15	1		#B10026	0.935112477174761
d2956aee-da98-365e-aee5-fe8e2d73b4bb	Rivera SM	16	1	emotion|motion|neutral	#D7141E	0.836059367905474
d2956aee-da98-365e-aee5-fe8e2d73b4bb	Rivera SM	17	1	rating	#F03623	0.738778629638238
d2956aee-da98-365e-aee5-fe8e2d73b4bb	Rivera SM	18	1	negative|positive	#FC622F	0.665305143785039
d2956aee-da98-365e-aee5-fe8e2d73b4bb	Rivera SM	19	1		#FC622F	0.670443578162401
d2956aee-da98-365e-aee5-fe8e2d73b4bb	Rivera SM	20	1	ear|order	#FC622F	0.611113434016039
