UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
d42a25e6-5525-371b-83f2-e439420a79d2	Svirsky MA	1	1	auditory|speech	#F03623	0.741893809661128
d42a25e6-5525-371b-83f2-e439420a79d2	Svirsky MA	2	1		#F03623	0.754223116280781
d42a25e6-5525-371b-83f2-e439420a79d2	Svirsky MA	3	1	da|integration	#F03623	0.731681000991421
d42a25e6-5525-371b-83f2-e439420a79d2	Svirsky MA	4	1		#F03623	0.755795440625626
d42a25e6-5525-371b-83f2-e439420a79d2	Svirsky MA	5	1	physical|psychophysical|tactile	#FDAD4A	0.494792527641354
d42a25e6-5525-371b-83f2-e439420a79d2	Svirsky MA	6	1		#FC622F	0.639036341164465
d42a25e6-5525-371b-83f2-e439420a79d2	Svirsky MA	7	1	somatosensory|stimulation	#FD913D	0.507782083804458
d42a25e6-5525-371b-83f2-e439420a79d2	Svirsky MA	8	1	painful|pain	#FD913D	0.581440879143827
d42a25e6-5525-371b-83f2-e439420a79d2	Svirsky MA	9	1		#FC622F	0.619393473643985
d42a25e6-5525-371b-83f2-e439420a79d2	Svirsky MA	10	1	ratings	#FD913D	0.533968253864432
d42a25e6-5525-371b-83f2-e439420a79d2	Svirsky MA	11	1	affective|affect	#FDAD4A	0.49766449113098
d42a25e6-5525-371b-83f2-e439420a79d2	Svirsky MA	12	1	emotions	#FDAD4A	0.439160835559491
d42a25e6-5525-371b-83f2-e439420a79d2	Svirsky MA	13	1	expression|expressions|facial	#FEE188	0.234143130061524
d42a25e6-5525-371b-83f2-e439420a79d2	Svirsky MA	14	1		#FDAD4A	0.401043073451558
d42a25e6-5525-371b-83f2-e439420a79d2	Svirsky MA	15	1		#FDAD4A	0.42684555841722
d42a25e6-5525-371b-83f2-e439420a79d2	Svirsky MA	16	1	emotion|motion|neutral	#FDAD4A	0.415659387802004
d42a25e6-5525-371b-83f2-e439420a79d2	Svirsky MA	17	1	rating	#FD913D	0.501760071038042
d42a25e6-5525-371b-83f2-e439420a79d2	Svirsky MA	18	1	negative|positive	#FD913D	0.505773537458141
d42a25e6-5525-371b-83f2-e439420a79d2	Svirsky MA	19	1		#FD913D	0.587015822355808
d42a25e6-5525-371b-83f2-e439420a79d2	Svirsky MA	20	1	ear|order	#FC622F	0.606068732024894
d42a25e6-5525-371b-83f2-e439420a79d2	Svirsky MA	21	1	motor	#FDAD4A	0.451275596422451
d42a25e6-5525-371b-83f2-e439420a79d2	Svirsky MA	22	1	visual	#FDAD4A	0.482644123958682
d42a25e6-5525-371b-83f2-e439420a79d2	Svirsky MA	23	1	age|image|response	#FD913D	0.548679816790696
d42a25e6-5525-371b-83f2-e439420a79d2	Svirsky MA	1	2	sound|sounds	#FC622F	0.696618242266225
d42a25e6-5525-371b-83f2-e439420a79d2	Svirsky MA	2	2		#F03623	0.76339438615513
d42a25e6-5525-371b-83f2-e439420a79d2	Svirsky MA	3	2	audiovisual|bimodal|crossmodal	#FD913D	0.561599820055513
d42a25e6-5525-371b-83f2-e439420a79d2	Svirsky MA	4	2		#F03623	0.748145469794042
d42a25e6-5525-371b-83f2-e439420a79d2	Svirsky MA	5	2		#F03623	0.701303428500955
d42a25e6-5525-371b-83f2-e439420a79d2	Svirsky MA	6	2		#FC622F	0.659222482342792
d42a25e6-5525-371b-83f2-e439420a79d2	Svirsky MA	7	2	sensation	#FD913D	0.562392440937317
d42a25e6-5525-371b-83f2-e439420a79d2	Svirsky MA	8	2	heat|noxious	#FD913D	0.555392017602131
d42a25e6-5525-371b-83f2-e439420a79d2	Svirsky MA	9	2		#FC622F	0.62358536282292
d42a25e6-5525-371b-83f2-e439420a79d2	Svirsky MA	10	2		#FD913D	0.588168324152272
d42a25e6-5525-371b-83f2-e439420a79d2	Svirsky MA	11	2		#FD913D	0.556874372144146
d42a25e6-5525-371b-83f2-e439420a79d2	Svirsky MA	12	2	valence	#FECB68	0.366496663728526
d42a25e6-5525-371b-83f2-e439420a79d2	Svirsky MA	13	2	person|social	#FD913D	0.506519089758762
d42a25e6-5525-371b-83f2-e439420a79d2	Svirsky MA	14	2		#FDAD4A	0.416265688291393
d42a25e6-5525-371b-83f2-e439420a79d2	Svirsky MA	15	2	face|faces	#FECB68	0.350253853319771
d42a25e6-5525-371b-83f2-e439420a79d2	Svirsky MA	16	2		#FDAD4A	0.48944564226371
d42a25e6-5525-371b-83f2-e439420a79d2	Svirsky MA	17	2		#FD913D	0.53138935767692
d42a25e6-5525-371b-83f2-e439420a79d2	Svirsky MA	18	2		#FD913D	0.58903507337531
d42a25e6-5525-371b-83f2-e439420a79d2	Svirsky MA	19	2		#FC622F	0.606483746496671
