UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
d506d4dc-074e-3d12-8dc2-eac647c2e8d8	Reder LM	1	1	auditory|speech	#FEE188	0.224340402626392
d506d4dc-074e-3d12-8dc2-eac647c2e8d8	Reder LM	2	1		#FEE188	0.263194394697834
d506d4dc-074e-3d12-8dc2-eac647c2e8d8	Reder LM	3	1	da|integration	#FD913D	0.512949435995213
d506d4dc-074e-3d12-8dc2-eac647c2e8d8	Reder LM	4	1		#FDAD4A	0.494899303539774
d506d4dc-074e-3d12-8dc2-eac647c2e8d8	Reder LM	5	1	physical|psychophysical|tactile	#FECB68	0.355158532356428
d506d4dc-074e-3d12-8dc2-eac647c2e8d8	Reder LM	6	1		#FECB68	0.383101098865685
d506d4dc-074e-3d12-8dc2-eac647c2e8d8	Reder LM	7	1	somatosensory|stimulation	#FEE188	0.257340269369102
d506d4dc-074e-3d12-8dc2-eac647c2e8d8	Reder LM	8	1	painful|pain	#FEE188	0.20898693259753
d506d4dc-074e-3d12-8dc2-eac647c2e8d8	Reder LM	9	1		#FEE188	0.298703580759488
d506d4dc-074e-3d12-8dc2-eac647c2e8d8	Reder LM	10	1	ratings	#FDAD4A	0.496498030518135
d506d4dc-074e-3d12-8dc2-eac647c2e8d8	Reder LM	11	1	affective|affect	#FDAD4A	0.429216750044182
d506d4dc-074e-3d12-8dc2-eac647c2e8d8	Reder LM	12	1	emotions	#FECB68	0.357737715868119
d506d4dc-074e-3d12-8dc2-eac647c2e8d8	Reder LM	13	1	expression|expressions|facial	#FECB68	0.339955186179432
d506d4dc-074e-3d12-8dc2-eac647c2e8d8	Reder LM	14	1		#FD913D	0.558814606366622
d506d4dc-074e-3d12-8dc2-eac647c2e8d8	Reder LM	15	1		#FD913D	0.577878517776208
d506d4dc-074e-3d12-8dc2-eac647c2e8d8	Reder LM	16	1	emotion|motion|neutral	#FDAD4A	0.481937852886526
d506d4dc-074e-3d12-8dc2-eac647c2e8d8	Reder LM	17	1	rating	#FD913D	0.539320555376448
d506d4dc-074e-3d12-8dc2-eac647c2e8d8	Reder LM	18	1	negative|positive	#FD913D	0.565919477886941
