UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
d603e710-4da4-3c9a-a5b0-9798df1b8124	Treasure J	1	1	auditory|speech	#FDAD4A	0.456970935199184
d603e710-4da4-3c9a-a5b0-9798df1b8124	Treasure J	2	1		#FDAD4A	0.450587621133025
d603e710-4da4-3c9a-a5b0-9798df1b8124	Treasure J	3	1	da|integration	#F03623	0.72678233947399
d603e710-4da4-3c9a-a5b0-9798df1b8124	Treasure J	4	1		#FC622F	0.659715756387446
d603e710-4da4-3c9a-a5b0-9798df1b8124	Treasure J	5	1	physical|psychophysical|tactile	#FDAD4A	0.459093973753255
d603e710-4da4-3c9a-a5b0-9798df1b8124	Treasure J	6	1		#FDAD4A	0.470794486622678
d603e710-4da4-3c9a-a5b0-9798df1b8124	Treasure J	7	1	somatosensory|stimulation	#FECB68	0.379399369500742
d603e710-4da4-3c9a-a5b0-9798df1b8124	Treasure J	8	1	painful|pain	#FEE188	0.248906996992846
d603e710-4da4-3c9a-a5b0-9798df1b8124	Treasure J	9	1		#FECB68	0.340549660349733
d603e710-4da4-3c9a-a5b0-9798df1b8124	Treasure J	10	1	ratings	#FD913D	0.50887888371167
d603e710-4da4-3c9a-a5b0-9798df1b8124	Treasure J	11	1	affective|affect	#FDAD4A	0.493587092050509
d603e710-4da4-3c9a-a5b0-9798df1b8124	Treasure J	12	1	emotions	#FDAD4A	0.477841027169022
d603e710-4da4-3c9a-a5b0-9798df1b8124	Treasure J	13	1	expression|expressions|facial	#FDAD4A	0.48498536438997
d603e710-4da4-3c9a-a5b0-9798df1b8124	Treasure J	14	1		#FC622F	0.695215639180121
d603e710-4da4-3c9a-a5b0-9798df1b8124	Treasure J	15	1		#F03623	0.743342249734123
d603e710-4da4-3c9a-a5b0-9798df1b8124	Treasure J	16	1	emotion|motion|neutral	#FC622F	0.699592146603733
d603e710-4da4-3c9a-a5b0-9798df1b8124	Treasure J	17	1	rating	#FC622F	0.604610723563626
d603e710-4da4-3c9a-a5b0-9798df1b8124	Treasure J	18	1	negative|positive	#FC622F	0.625641479532848
d603e710-4da4-3c9a-a5b0-9798df1b8124	Treasure J	19	1		#F03623	0.740642369554283
d603e710-4da4-3c9a-a5b0-9798df1b8124	Treasure J	20	1	ear|order	#FC622F	0.676394897994296
d603e710-4da4-3c9a-a5b0-9798df1b8124	Treasure J	21	1	motor	#FD913D	0.531309392472631
d603e710-4da4-3c9a-a5b0-9798df1b8124	Treasure J	22	1	visual	#D7141E	0.811521357699556
d603e710-4da4-3c9a-a5b0-9798df1b8124	Treasure J	23	1	age|image|response	#FC622F	0.694306594182932
d603e710-4da4-3c9a-a5b0-9798df1b8124	Treasure J	1	2	sound|sounds	#FECB68	0.320055437103836
d603e710-4da4-3c9a-a5b0-9798df1b8124	Treasure J	2	2		#FDAD4A	0.415614219945202
d603e710-4da4-3c9a-a5b0-9798df1b8124	Treasure J	3	2	audiovisual|bimodal|crossmodal	#FC622F	0.642399641053949
d603e710-4da4-3c9a-a5b0-9798df1b8124	Treasure J	4	2		#FC622F	0.668714061137919
d603e710-4da4-3c9a-a5b0-9798df1b8124	Treasure J	5	2		#FC622F	0.632131160312014
d603e710-4da4-3c9a-a5b0-9798df1b8124	Treasure J	6	2		#FD913D	0.508530578997112
d603e710-4da4-3c9a-a5b0-9798df1b8124	Treasure J	7	2	sensation	#FEE188	0.218061460623526
d603e710-4da4-3c9a-a5b0-9798df1b8124	Treasure J	8	2	heat|noxious	#FEE188	0.227328827814763
d603e710-4da4-3c9a-a5b0-9798df1b8124	Treasure J	9	2		#FECB68	0.349069308295014
d603e710-4da4-3c9a-a5b0-9798df1b8124	Treasure J	10	2		#FDAD4A	0.491470821631112
d603e710-4da4-3c9a-a5b0-9798df1b8124	Treasure J	11	2		#FD913D	0.526436324684927
d603e710-4da4-3c9a-a5b0-9798df1b8124	Treasure J	12	2	valence	#FDAD4A	0.484109451897797
d603e710-4da4-3c9a-a5b0-9798df1b8124	Treasure J	13	2	person|social	#FD913D	0.570815379480326
d603e710-4da4-3c9a-a5b0-9798df1b8124	Treasure J	14	2		#F03623	0.717056271461895
d603e710-4da4-3c9a-a5b0-9798df1b8124	Treasure J	15	2	face|faces	#F03623	0.764141323529651
d603e710-4da4-3c9a-a5b0-9798df1b8124	Treasure J	16	2		#F03623	0.795875557751432
d603e710-4da4-3c9a-a5b0-9798df1b8124	Treasure J	17	2		#F03623	0.776978494403967
d603e710-4da4-3c9a-a5b0-9798df1b8124	Treasure J	18	2		#F03623	0.789287811491925
d603e710-4da4-3c9a-a5b0-9798df1b8124	Treasure J	19	2		#F03623	0.782605513008308
d603e710-4da4-3c9a-a5b0-9798df1b8124	Treasure J	20	2		#F03623	0.759785036556834
d603e710-4da4-3c9a-a5b0-9798df1b8124	Treasure J	21	2	images|spatial	#F03623	0.761026887321336
d603e710-4da4-3c9a-a5b0-9798df1b8124	Treasure J	22	2	control	#FC622F	0.659664564950121
d603e710-4da4-3c9a-a5b0-9798df1b8124	Treasure J	23	2	time	#FC622F	0.689545202801577
