UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	1	1	auditory|speech	#FECB68	0.365941856696115
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	2	1		#FECB68	0.355162460595797
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	3	1	da|integration	#FC622F	0.629902233617702
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	4	1		#FD913D	0.544272639031862
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	5	1	physical|psychophysical|tactile	#FDAD4A	0.411131619076854
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	6	1		#FDAD4A	0.446577893955162
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	7	1	somatosensory|stimulation	#FECB68	0.35438485009198
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	8	1	painful|pain	#FECB68	0.333220908502839
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	9	1		#FECB68	0.383077239427751
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	10	1	ratings	#FDAD4A	0.447904189355423
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	11	1	affective|affect	#FD913D	0.579097525664181
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	12	1	emotions	#FDAD4A	0.414806559966244
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	13	1	expression|expressions|facial	#FECB68	0.346013507212742
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	14	1		#FD913D	0.52510172919187
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	15	1		#FD913D	0.550178568994332
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	16	1	emotion|motion|neutral	#FD913D	0.504135550682857
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	17	1	rating	#FD913D	0.522680341162352
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	18	1	negative|positive	#FC622F	0.612213097989108
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	19	1		#F03623	0.731849454042088
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	20	1	ear|order	#F03623	0.764960948518953
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	21	1	motor	#FD913D	0.567278425934822
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	22	1	visual	#FC622F	0.656829508691983
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	23	1	age|image|response	#FC622F	0.698979525625186
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	1	2	sound|sounds	#FEE188	0.22990317238202
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	2	2		#FECB68	0.324032091962684
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	3	2	audiovisual|bimodal|crossmodal	#FECB68	0.303363492345573
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	4	2		#FD913D	0.558360291721328
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	5	2		#FD913D	0.534166197354089
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	6	2		#FDAD4A	0.480876053983
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	7	2	sensation	#FEE188	0.288451544032488
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	8	2	heat|noxious	#FEE188	0.235500382835404
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	9	2		#FDAD4A	0.403221154987966
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	10	2		#FD913D	0.506836013207914
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	11	2		#FD913D	0.517246225915651
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	12	2	valence	#FDAD4A	0.460428418133724
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	13	2	person|social	#FDAD4A	0.48628716964213
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	14	2		#FD913D	0.545513254837857
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	15	2	face|faces	#FD913D	0.537546863177353
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	16	2		#FC622F	0.610357605091847
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	17	2		#FC622F	0.646535174150236
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	18	2		#F03623	0.728058713141178
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	19	2		#F03623	0.769104569845171
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	20	2		#F03623	0.75122324867761
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	21	2	images|spatial	#FC622F	0.698911068481099
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	22	2	control	#F03623	0.742601422109338
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	23	2	time	#F03623	0.71046509006519
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	1	3	acoustic|listening|musical|music|pitch	#FFF1A9	0.139760711023844
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	2	3	noise|tones	#FEE188	0.235762884967272
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	3	3		#FDAD4A	0.438829446506742
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	4	3		#FD913D	0.53925692537335
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	5	3	frequency	#FD913D	0.570641835401024
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	6	3		#FD913D	0.563875681875108
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	7	3		#FECB68	0.371840940895707
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	8	3	temperature	#FEE188	0.284833159114594
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	9	3		#FDAD4A	0.421309046791429
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	10	3	pleasant|unpleasant	#FDAD4A	0.411565462473959
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	11	3	anxiety	#FDAD4A	0.403174042095072
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	12	3		#FD913D	0.579805893384567
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	13	3		#FC622F	0.650420370374155
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	14	3		#FC622F	0.62432581021897
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	15	3		#FC622F	0.650574765850619
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	16	3	picture	#FC622F	0.680570998431118
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	17	3		#F03623	0.718080058282271
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	18	3	value	#F03623	0.767311519587632
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	19	3	cue	#F03623	0.79314338307965
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	20	3	error|target	#D7141E	0.821555797899233
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	21	3	attention	#F03623	0.758269298768628
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	22	3		#F03623	0.796528160346835
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	23	3	number	#F03623	0.787357362908631
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	1	4	voice	#FFF1A9	0.190712145203737
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	2	4		#FECB68	0.303380365248111
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	3	4	hearing	#FECB68	0.371557151549764
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	4	4		#FDAD4A	0.465560026034852
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	5	4	overt	#FD913D	0.500516545780056
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	6	4		#FDAD4A	0.478927384419148
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	7	4		#FDAD4A	0.424202265524356
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	8	4	nociceptive|nonpainful|painrelated	#FEE188	0.287876930122519
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	9	4	unpleasantness	#FECB68	0.350734010935952
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	10	4	skin|subjective	#FD913D	0.546389057314045
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	11	4	depression	#FD913D	0.536273229918604
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	12	4	experience	#FC622F	0.603411153405678
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	13	4	female	#FC622F	0.647381789210227
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	14	4	male	#FC622F	0.688914658552411
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	15	4	pictures	#FC622F	0.650861222609103
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	16	4		#F03623	0.737418387749223
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	17	4	perception	#FC622F	0.63748064275688
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	18	4		#D7141E	0.831809290712749
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	19	4		#D7141E	0.836885950943891
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	20	4		#D7141E	0.83436230055757
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	21	4	correct	#D7141E	0.887372892567158
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	22	4	work	#D7141E	0.83370496749952
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	23	4	memory	#D7141E	0.808184768313065
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	1	5	prosodic|prosody	#FEE188	0.21694183806143
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	2	5	phonetic	#FEE188	0.237202212048765
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	3	5	syllable|syllables	#FDAD4A	0.449624255765897
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	4	5		#FDAD4A	0.419596421294982
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	5	5	lip|production	#FFF1A9	0.189332514641547
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	6	5	somatotopic	#FFF1A9	0.114468800150817
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	7	5		#FD913D	0.566243708883477
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	8	5		#FC622F	0.61740869767498
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	9	5	empathy	#FC622F	0.661817464510236
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	10	5		#F03623	0.750922866248157
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	11	5	disorder	#FC622F	0.631163835034468
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	12	5		#F03623	0.740236010494617
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	13	5		#F03623	0.730572516578118
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	14	5		#F03623	0.730158578987237
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	15	5		#F03623	0.739390824363621
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	16	5		#F03623	0.76051467415428
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	17	5		#F03623	0.786640533279331
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	18	5	mental	#D7141E	0.819788599179421
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	19	5	go	#D7141E	0.819049688578685
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	20	5	object	#FC622F	0.694268770419386
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	21	5		#D7141E	0.856857359200819
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	22	5		#D7141E	0.827154167529713
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	23	5	word|words	#F03623	0.7222363733039
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	1	6		#FD913D	0.512027448880219
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	2	6		#FD913D	0.549670403206099
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	3	6		#FD913D	0.55682291761559
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	4	6	vocal	#FEE188	0.232184883513121
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	5	6	articulatory	#FEE188	0.27796876295726
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	6	6		#FD913D	0.523608742608055
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	7	6	oddball	#FD913D	0.507889062978813
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	8	6	perceived	#FC622F	0.687054416353559
d6434be8-8780-36a9-9df9-ddc198d0a61b	Maquet P	9	6	errorrelated	#F03623	0.704100303225539
