UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	1	1	auditory|speech	#FFF1A9	0.190371361090011
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	2	1		#FFF1A9	0.146336490633906
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	3	1	da|integration	#FFF1A9	0.169482460309943
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	4	1		#FFFFCC	0.0626080093765819
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	5	1	physical|psychophysical|tactile	#FFFFCC	0.0128633844923407
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	6	1		#FEE188	0.234716584803755
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	7	1	somatosensory|stimulation	#FECB68	0.33882462765068
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	8	1	painful|pain	#FECB68	0.37543700730131
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	9	1		#FD913D	0.552654482998429
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	10	1	ratings	#FC622F	0.686585814809526
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	11	1	affective|affect	#FEE188	0.239897013558663
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	12	1	emotions	#FECB68	0.305599330728282
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	13	1	expression|expressions|facial	#FECB68	0.359978155419307
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	14	1		#FECB68	0.308630434201743
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	15	1		#FECB68	0.388244955094485
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	16	1	emotion|motion|neutral	#FD913D	0.525996724552369
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	17	1	rating	#FD913D	0.574433327758257
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	18	1	negative|positive	#FD913D	0.554602720218639
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	19	1		#FECB68	0.321928832484801
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	20	1	ear|order	#FFF1A9	0.113032309798119
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	21	1	motor	#FFF1A9	0.103622971196289
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	22	1	visual	#FFFFCC	0.0968420351713835
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	23	1	age|image|response	#FEE188	0.20063435070368
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	1	2	sound|sounds	#FFF1A9	0.12310088120545
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	2	2		#FFF1A9	0.124660815632464
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	3	2	audiovisual|bimodal|crossmodal	#FFFFCC	0.0255288204322399
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	4	2		#FFFFCC	0.0602763423040933
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	5	2		#FFFFCC	0.0726861516544048
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	6	2		#FEE188	0.217176274027915
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	7	2	sensation	#F03623	0.722922744845496
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	8	2	heat|noxious	#FDAD4A	0.478134915908748
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	9	2		#FD913D	0.507563711968077
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	10	2		#FD913D	0.516234363581736
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	11	2		#FDAD4A	0.488696209779633
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	12	2	valence	#FC622F	0.682251922609397
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	13	2	person|social	#FFF1A9	0.116904209364923
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	14	2		#FECB68	0.304900897657229
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	15	2	face|faces	#FFFFCC	0.0813518454332852
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	16	2		#FDAD4A	0.420747255588113
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	17	2		#FDAD4A	0.495886848693674
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	18	2		#FDAD4A	0.42384275822896
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	19	2		#FECB68	0.314905825777402
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	20	2		#FFF1A9	0.167824422690362
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	21	2	images|spatial	#FFF1A9	0.129574491922761
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	22	2	control	#FFFFCC	0.0792945164371767
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	23	2	time	#FFF1A9	0.176607924663306
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	1	3	acoustic|listening|musical|music|pitch	#FFFFCC	0.0318968555342518
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	2	3	noise|tones	#FFFFCC	0.0517516654789986
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	3	3		#FFFFCC	0.0700414368165051
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	4	3		#FFFFCC	0.0650564963982564
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	5	3	frequency	#FFFFCC	0.0805411487224884
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	6	3		#FFF1A9	0.19433676399486
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	7	3		#FECB68	0.318612172735098
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	8	3	temperature	#FFF1A9	0.111914020511203
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	9	3		#FECB68	0.360282788224568
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	10	3	pleasant|unpleasant	#FDAD4A	0.4083095706436
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	11	3	anxiety	#FECB68	0.329381768159232
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	12	3		#FECB68	0.393531730628686
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	13	3		#FECB68	0.39944989037107
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	14	3		#FECB68	0.372243783921533
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	15	3		#FECB68	0.338483630811241
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	16	3	picture	#FEE188	0.200932679767833
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	17	3		#FDAD4A	0.430196189566094
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	18	3	value	#FDAD4A	0.466566637493339
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	19	3	cue	#FFF1A9	0.142430303946822
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	20	3	error|target	#FFF1A9	0.155364398772738
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	21	3	attention	#FFFFCC	0.0538157139469141
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	22	3		#FFF1A9	0.122913429410376
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	23	3	number	#FFF1A9	0.183142552844259
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	1	4	voice	#FFFFCC	0.0354665464455235
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	2	4		#FFFFCC	0.0677095926499637
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	3	4	hearing	#FFFFCC	0.0280038472045784
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	4	4		#FFFFCC	0.0794684419122124
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	5	4	overt	#FFFFCC	0.0275915554779593
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	6	4		#FFF1A9	0.105586115345105
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	7	4		#FFF1A9	0.134519681290741
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	8	4	nociceptive|nonpainful|painrelated	#FFF1A9	0.156983350327693
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	9	4	unpleasantness	#FFF1A9	0.117004209843812
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	10	4	skin|subjective	#FFF1A9	0.126051856543996
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	11	4	depression	#FEE188	0.252183941318035
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	12	4	experience	#FDAD4A	0.465386791905737
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	13	4	female	#FDAD4A	0.480361105695078
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	14	4	male	#FDAD4A	0.402601467415107
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	15	4	pictures	#FEE188	0.225556779773703
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	16	4		#FECB68	0.325099120644045
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	17	4	perception	#FDAD4A	0.456506521235395
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	18	4		#FEE188	0.219196415701513
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	19	4		#FFF1A9	0.151847805058347
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	20	4		#FFF1A9	0.111137265811468
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	21	4	correct	#FFF1A9	0.166753267297953
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	22	4	work	#FFFFCC	0.049514947985307
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	23	4	memory	#FFF1A9	0.101673177223253
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	1	5	prosodic|prosody	#FEE188	0.241150991991837
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	2	5	phonetic	#FFFFCC	0.050383270782688
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	3	5	syllable|syllables	#FFFFCC	0.0474639404390577
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	4	5		#FFFFCC	0.0864827474953785
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	5	5	lip|production	#FFFFCC	0.0860266501661047
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	6	5	somatotopic	#FFFFCC	0.07694556192712
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	7	5		#FFF1A9	0.187051082947993
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	8	5		#FEE188	0.225567545253201
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	9	5	empathy	#FEE188	0.270531024254619
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	10	5		#FEE188	0.279931758742102
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	11	5	disorder	#FFF1A9	0.112984244521854
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	12	5		#FECB68	0.364104269249899
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	13	5		#FECB68	0.359062365523188
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	14	5		#FEE188	0.239256435058403
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	15	5		#FEE188	0.233878230325527
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	16	5		#FEE188	0.245023220811458
d7afc414-9d7d-36dd-b692-691170a43fe4	Ilg UJ	17	5		#FFF1A9	0.196096983170109
