UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
d7fde672-f553-38a6-a4b6-d748c86fee1a	Ongur D	1	1	auditory|speech	#FEE188	0.216429138165176
d7fde672-f553-38a6-a4b6-d748c86fee1a	Ongur D	2	1		#FEE188	0.208089327742246
d7fde672-f553-38a6-a4b6-d748c86fee1a	Ongur D	3	1	da|integration	#FEE188	0.230447885134798
d7fde672-f553-38a6-a4b6-d748c86fee1a	Ongur D	4	1		#FDAD4A	0.418327722665102
d7fde672-f553-38a6-a4b6-d748c86fee1a	Ongur D	5	1	physical|psychophysical|tactile	#FDAD4A	0.463265376565948
d7fde672-f553-38a6-a4b6-d748c86fee1a	Ongur D	6	1		#FC622F	0.619917895235239
d7fde672-f553-38a6-a4b6-d748c86fee1a	Ongur D	7	1	somatosensory|stimulation	#FDAD4A	0.447258495253082
d7fde672-f553-38a6-a4b6-d748c86fee1a	Ongur D	8	1	painful|pain	#F03623	0.747151842259635
d7fde672-f553-38a6-a4b6-d748c86fee1a	Ongur D	9	1		#D7141E	0.850892485765246
d7fde672-f553-38a6-a4b6-d748c86fee1a	Ongur D	10	1	ratings	#B10026	0.912784126643453
d7fde672-f553-38a6-a4b6-d748c86fee1a	Ongur D	11	1	affective|affect	#FC622F	0.684454742945695
d7fde672-f553-38a6-a4b6-d748c86fee1a	Ongur D	12	1	emotions	#F03623	0.738776259676654
d7fde672-f553-38a6-a4b6-d748c86fee1a	Ongur D	13	1	expression|expressions|facial	#FECB68	0.398639902171765
d7fde672-f553-38a6-a4b6-d748c86fee1a	Ongur D	14	1		#FC622F	0.626915108251044
d7fde672-f553-38a6-a4b6-d748c86fee1a	Ongur D	15	1		#FC622F	0.690331835962161
d7fde672-f553-38a6-a4b6-d748c86fee1a	Ongur D	16	1	emotion|motion|neutral	#F03623	0.736840599782801
d7fde672-f553-38a6-a4b6-d748c86fee1a	Ongur D	17	1	rating	#D7141E	0.835742921330129
d7fde672-f553-38a6-a4b6-d748c86fee1a	Ongur D	18	1	negative|positive	#FC622F	0.643520353786485
d7fde672-f553-38a6-a4b6-d748c86fee1a	Ongur D	19	1		#FDAD4A	0.451922587448018
d7fde672-f553-38a6-a4b6-d748c86fee1a	Ongur D	20	1	ear|order	#FEE188	0.286738183734917
d7fde672-f553-38a6-a4b6-d748c86fee1a	Ongur D	21	1	motor	#FFFFCC	0.0578049783377691
d7fde672-f553-38a6-a4b6-d748c86fee1a	Ongur D	22	1	visual	#FFFFCC	0.0928701563690407
d7fde672-f553-38a6-a4b6-d748c86fee1a	Ongur D	23	1	age|image|response	#FEE188	0.211230288466328
d7fde672-f553-38a6-a4b6-d748c86fee1a	Ongur D	1	2	sound|sounds	#FFF1A9	0.180127808394394
d7fde672-f553-38a6-a4b6-d748c86fee1a	Ongur D	2	2		#FEE188	0.209956260578474
d7fde672-f553-38a6-a4b6-d748c86fee1a	Ongur D	3	2	audiovisual|bimodal|crossmodal	#FFFFCC	0.086695608428651
d7fde672-f553-38a6-a4b6-d748c86fee1a	Ongur D	4	2		#FDAD4A	0.406916319902348
d7fde672-f553-38a6-a4b6-d748c86fee1a	Ongur D	5	2		#FDAD4A	0.48736981147552
d7fde672-f553-38a6-a4b6-d748c86fee1a	Ongur D	6	2		#FC622F	0.604068493069984
d7fde672-f553-38a6-a4b6-d748c86fee1a	Ongur D	7	2	sensation	#F03623	0.76607428713164
d7fde672-f553-38a6-a4b6-d748c86fee1a	Ongur D	8	2	heat|noxious	#F03623	0.762975279354163
d7fde672-f553-38a6-a4b6-d748c86fee1a	Ongur D	9	2		#D7141E	0.873051349887246
d7fde672-f553-38a6-a4b6-d748c86fee1a	Ongur D	10	2		#B10026	0.928416762819423
d7fde672-f553-38a6-a4b6-d748c86fee1a	Ongur D	11	2		#D7141E	0.880593288868425
d7fde672-f553-38a6-a4b6-d748c86fee1a	Ongur D	12	2	valence	#D7141E	0.861060124303818
d7fde672-f553-38a6-a4b6-d748c86fee1a	Ongur D	13	2	person|social	#F03623	0.70588346088712
d7fde672-f553-38a6-a4b6-d748c86fee1a	Ongur D	14	2		#FC622F	0.625617612299234
d7fde672-f553-38a6-a4b6-d748c86fee1a	Ongur D	15	2	face|faces	#FDAD4A	0.425321835675802
d7fde672-f553-38a6-a4b6-d748c86fee1a	Ongur D	16	2		#F03623	0.708583309059065
d7fde672-f553-38a6-a4b6-d748c86fee1a	Ongur D	17	2		#F03623	0.72565821734135
d7fde672-f553-38a6-a4b6-d748c86fee1a	Ongur D	18	2		#FC622F	0.615885014877829
d7fde672-f553-38a6-a4b6-d748c86fee1a	Ongur D	19	2		#FDAD4A	0.456075608092795
d7fde672-f553-38a6-a4b6-d748c86fee1a	Ongur D	20	2		#FEE188	0.269906121015296
