UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
d8991124-13be-375a-8c45-61297759cacb	MacSweeney M	1	1	auditory|speech	#FDAD4A	0.442048137847014
d8991124-13be-375a-8c45-61297759cacb	MacSweeney M	2	1		#FDAD4A	0.443891000160833
d8991124-13be-375a-8c45-61297759cacb	MacSweeney M	3	1	da|integration	#F03623	0.740917783341701
d8991124-13be-375a-8c45-61297759cacb	MacSweeney M	4	1		#FD913D	0.574809837251166
d8991124-13be-375a-8c45-61297759cacb	MacSweeney M	5	1	physical|psychophysical|tactile	#FEE188	0.278951926882592
d8991124-13be-375a-8c45-61297759cacb	MacSweeney M	6	1		#FEE188	0.285600963485463
d8991124-13be-375a-8c45-61297759cacb	MacSweeney M	7	1	somatosensory|stimulation	#FEE188	0.225830946934132
d8991124-13be-375a-8c45-61297759cacb	MacSweeney M	8	1	painful|pain	#FFFFCC	0.0800223963575165
d8991124-13be-375a-8c45-61297759cacb	MacSweeney M	9	1		#FFF1A9	0.141236863997817
d8991124-13be-375a-8c45-61297759cacb	MacSweeney M	10	1	ratings	#FECB68	0.307493609931849
d8991124-13be-375a-8c45-61297759cacb	MacSweeney M	11	1	affective|affect	#FEE188	0.284710552531178
d8991124-13be-375a-8c45-61297759cacb	MacSweeney M	12	1	emotions	#FECB68	0.393565665848117
d8991124-13be-375a-8c45-61297759cacb	MacSweeney M	13	1	expression|expressions|facial	#FDAD4A	0.43354946885448
d8991124-13be-375a-8c45-61297759cacb	MacSweeney M	14	1		#FD913D	0.558517877381715
d8991124-13be-375a-8c45-61297759cacb	MacSweeney M	15	1		#FD913D	0.584699087060225
d8991124-13be-375a-8c45-61297759cacb	MacSweeney M	16	1	emotion|motion|neutral	#FD913D	0.576513882879096
d8991124-13be-375a-8c45-61297759cacb	MacSweeney M	17	1	rating	#FDAD4A	0.418726324639876
d8991124-13be-375a-8c45-61297759cacb	MacSweeney M	18	1	negative|positive	#FDAD4A	0.429892508631924
d8991124-13be-375a-8c45-61297759cacb	MacSweeney M	19	1		#FD913D	0.585978884884149
d8991124-13be-375a-8c45-61297759cacb	MacSweeney M	20	1	ear|order	#FC622F	0.600224112177111
d8991124-13be-375a-8c45-61297759cacb	MacSweeney M	21	1	motor	#FDAD4A	0.479530725857457
d8991124-13be-375a-8c45-61297759cacb	MacSweeney M	22	1	visual	#F03623	0.761788058908811
d8991124-13be-375a-8c45-61297759cacb	MacSweeney M	23	1	age|image|response	#FC622F	0.62668746663935
d8991124-13be-375a-8c45-61297759cacb	MacSweeney M	1	2	sound|sounds	#FEE188	0.296132016447311
d8991124-13be-375a-8c45-61297759cacb	MacSweeney M	2	2		#FDAD4A	0.405491502883738
d8991124-13be-375a-8c45-61297759cacb	MacSweeney M	3	2	audiovisual|bimodal|crossmodal	#FC622F	0.661615171700148
d8991124-13be-375a-8c45-61297759cacb	MacSweeney M	4	2		#FC622F	0.6079265809383
d8991124-13be-375a-8c45-61297759cacb	MacSweeney M	5	2		#FD913D	0.504208012952243
d8991124-13be-375a-8c45-61297759cacb	MacSweeney M	6	2		#FECB68	0.342031420604819
d8991124-13be-375a-8c45-61297759cacb	MacSweeney M	7	2	sensation	#FFFFCC	0.086101973298108
d8991124-13be-375a-8c45-61297759cacb	MacSweeney M	8	2	heat|noxious	#FFFFCC	0.0639583400548476
d8991124-13be-375a-8c45-61297759cacb	MacSweeney M	9	2		#FFF1A9	0.153827258760863
d8991124-13be-375a-8c45-61297759cacb	MacSweeney M	10	2		#FEE188	0.278193914248306
d8991124-13be-375a-8c45-61297759cacb	MacSweeney M	11	2		#FECB68	0.321998790256417
d8991124-13be-375a-8c45-61297759cacb	MacSweeney M	12	2	valence	#FECB68	0.367940759263467
d8991124-13be-375a-8c45-61297759cacb	MacSweeney M	13	2	person|social	#FDAD4A	0.492210405991422
d8991124-13be-375a-8c45-61297759cacb	MacSweeney M	14	2		#FD913D	0.577975549682885
d8991124-13be-375a-8c45-61297759cacb	MacSweeney M	15	2	face|faces	#FC622F	0.665659596850221
d8991124-13be-375a-8c45-61297759cacb	MacSweeney M	16	2		#FC622F	0.636880231119674
d8991124-13be-375a-8c45-61297759cacb	MacSweeney M	17	2		#FD913D	0.598275322428901
d8991124-13be-375a-8c45-61297759cacb	MacSweeney M	18	2		#FC622F	0.632164932507648
d8991124-13be-375a-8c45-61297759cacb	MacSweeney M	19	2		#FC622F	0.641261233615487
d8991124-13be-375a-8c45-61297759cacb	MacSweeney M	20	2		#FC622F	0.657220250417326
d8991124-13be-375a-8c45-61297759cacb	MacSweeney M	21	2	images|spatial	#FC622F	0.654876727068229
