UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
d8e6e56d-9b7a-3d91-8fd7-1a3ef54c37c7	Geminiani G	1	1	auditory|speech	#FECB68	0.336355575392564
d8e6e56d-9b7a-3d91-8fd7-1a3ef54c37c7	Geminiani G	2	1		#FECB68	0.323692146644729
d8e6e56d-9b7a-3d91-8fd7-1a3ef54c37c7	Geminiani G	3	1	da|integration	#FECB68	0.372990830104861
d8e6e56d-9b7a-3d91-8fd7-1a3ef54c37c7	Geminiani G	4	1		#FD913D	0.553831190920925
d8e6e56d-9b7a-3d91-8fd7-1a3ef54c37c7	Geminiani G	5	1	physical|psychophysical|tactile	#FC622F	0.663478394092101
d8e6e56d-9b7a-3d91-8fd7-1a3ef54c37c7	Geminiani G	6	1		#D7141E	0.837236661871173
d8e6e56d-9b7a-3d91-8fd7-1a3ef54c37c7	Geminiani G	7	1	somatosensory|stimulation	#D7141E	0.816569167580538
d8e6e56d-9b7a-3d91-8fd7-1a3ef54c37c7	Geminiani G	8	1	painful|pain	#B10026	0.948307924558876
d8e6e56d-9b7a-3d91-8fd7-1a3ef54c37c7	Geminiani G	9	1		#B10026	0.93521416779906
d8e6e56d-9b7a-3d91-8fd7-1a3ef54c37c7	Geminiani G	10	1	ratings	#FC622F	0.608088979816278
d8e6e56d-9b7a-3d91-8fd7-1a3ef54c37c7	Geminiani G	11	1	affective|affect	#FDAD4A	0.474397394112627
d8e6e56d-9b7a-3d91-8fd7-1a3ef54c37c7	Geminiani G	12	1	emotions	#FECB68	0.384376908956775
d8e6e56d-9b7a-3d91-8fd7-1a3ef54c37c7	Geminiani G	13	1	expression|expressions|facial	#FEE188	0.275170742069848
d8e6e56d-9b7a-3d91-8fd7-1a3ef54c37c7	Geminiani G	14	1		#FEE188	0.254247105163817
d8e6e56d-9b7a-3d91-8fd7-1a3ef54c37c7	Geminiani G	15	1		#FFF1A9	0.190674280303662
d8e6e56d-9b7a-3d91-8fd7-1a3ef54c37c7	Geminiani G	16	1	emotion|motion|neutral	#FFF1A9	0.104149200821339
d8e6e56d-9b7a-3d91-8fd7-1a3ef54c37c7	Geminiani G	17	1	rating	#FECB68	0.316787253252464
d8e6e56d-9b7a-3d91-8fd7-1a3ef54c37c7	Geminiani G	18	1	negative|positive	#FFFFCC	0.0605120477577478
