UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	1	1	auditory|speech	#FDAD4A	0.403937128094155
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	2	1		#FECB68	0.384172635290726
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	3	1	da|integration	#FD913D	0.592176308598673
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	4	1		#FD913D	0.566048524088957
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	5	1	physical|psychophysical|tactile	#FDAD4A	0.452276502419426
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	6	1		#FC622F	0.692915283613392
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	7	1	somatosensory|stimulation	#F03623	0.713363678464838
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	8	1	painful|pain	#F03623	0.728430572161564
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	9	1		#F03623	0.787740697197111
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	10	1	ratings	#D7141E	0.830950358499259
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	11	1	affective|affect	#FD913D	0.532297069916602
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	12	1	emotions	#FD913D	0.532360363067306
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	13	1	expression|expressions|facial	#FD913D	0.568270464084296
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	14	1		#FC622F	0.679056096496549
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	15	1		#FC622F	0.698513729801521
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	16	1	emotion|motion|neutral	#FC622F	0.636631266556575
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	17	1	rating	#F03623	0.723433632710641
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	18	1	negative|positive	#FC622F	0.660728487696838
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	19	1		#FC622F	0.694037036056159
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	20	1	ear|order	#FC622F	0.611101643266696
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	21	1	motor	#FC622F	0.602584840172898
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	22	1	visual	#FDAD4A	0.470617812509325
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	23	1	age|image|response	#FC622F	0.60421433070812
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	1	2	sound|sounds	#FEE188	0.296134491759924
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	2	2		#FECB68	0.344550426477487
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	3	2	audiovisual|bimodal|crossmodal	#FEE188	0.2507107851187
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	4	2		#FD913D	0.588800052859656
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	5	2		#FC622F	0.639801697297734
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	6	2		#F03623	0.717861359639173
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	7	2	sensation	#FC622F	0.67549746656448
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	8	2	heat|noxious	#FC622F	0.635075082523208
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	9	2		#F03623	0.784454908967055
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	10	2		#F03623	0.784169765278158
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	11	2		#F03623	0.75612116525484
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	12	2	valence	#FD913D	0.585261895770631
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	13	2	person|social	#FD913D	0.571361778879709
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	14	2		#FC622F	0.693547850892688
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	15	2	face|faces	#FC622F	0.636063997519927
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	16	2		#F03623	0.722313505980464
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	17	2		#F03623	0.73900455800856
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	18	2		#F03623	0.727342450079276
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	19	2		#FC622F	0.700207795232726
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	20	2		#FC622F	0.629655611420819
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	21	2	images|spatial	#FC622F	0.617105198685481
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	22	2	control	#FD913D	0.5797736049401
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	23	2	time	#FC622F	0.600346244029964
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	1	3	acoustic|listening|musical|music|pitch	#FFF1A9	0.157571341432029
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	2	3	noise|tones	#FFF1A9	0.177307229046905
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	3	3		#FDAD4A	0.48429901744754
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	4	3		#FC622F	0.611564797924828
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	5	3	frequency	#FC622F	0.687619858096832
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	6	3		#F03623	0.793776345518918
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	7	3		#FC622F	0.695002250477508
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	8	3	temperature	#FD913D	0.512879716016555
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	9	3		#F03623	0.734163917401074
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	10	3	pleasant|unpleasant	#FC622F	0.648279918477452
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	11	3	anxiety	#FC622F	0.673322590112664
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	12	3		#F03623	0.76790167455845
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	13	3		#F03623	0.791801734447004
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	14	3		#F03623	0.746560150280218
db1c2ff2-675e-3e01-9f45-e5cdbde5b7e8	Marksteiner J	15	3		#F03623	0.745826242891702
