UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
de0e379c-f98f-3c31-9799-23ab2fe31f9b	Angtuaco EJ	1	1	auditory|speech	#FFFFCC	0.0185154669940815
de0e379c-f98f-3c31-9799-23ab2fe31f9b	Angtuaco EJ	2	1		#FFFFCC	0.0215438686349614
de0e379c-f98f-3c31-9799-23ab2fe31f9b	Angtuaco EJ	3	1	da|integration	#FFFFCC	0.0193393842143792
de0e379c-f98f-3c31-9799-23ab2fe31f9b	Angtuaco EJ	4	1		#FFFFCC	0.0904675988380211
de0e379c-f98f-3c31-9799-23ab2fe31f9b	Angtuaco EJ	5	1	physical|psychophysical|tactile	#FFF1A9	0.107120464161505
de0e379c-f98f-3c31-9799-23ab2fe31f9b	Angtuaco EJ	6	1		#FFF1A9	0.120423987243255
de0e379c-f98f-3c31-9799-23ab2fe31f9b	Angtuaco EJ	7	1	somatosensory|stimulation	#FFFFCC	0.0806296533081027
de0e379c-f98f-3c31-9799-23ab2fe31f9b	Angtuaco EJ	8	1	painful|pain	#FFF1A9	0.101962924385734
de0e379c-f98f-3c31-9799-23ab2fe31f9b	Angtuaco EJ	9	1		#FFF1A9	0.102689509938215
de0e379c-f98f-3c31-9799-23ab2fe31f9b	Angtuaco EJ	10	1	ratings	#FFF1A9	0.101318163705146
de0e379c-f98f-3c31-9799-23ab2fe31f9b	Angtuaco EJ	11	1	affective|affect	#FFF1A9	0.154590221587037
de0e379c-f98f-3c31-9799-23ab2fe31f9b	Angtuaco EJ	12	1	emotions	#FFF1A9	0.16743890840657
de0e379c-f98f-3c31-9799-23ab2fe31f9b	Angtuaco EJ	13	1	expression|expressions|facial	#FFFFCC	0.0150899208347514
de0e379c-f98f-3c31-9799-23ab2fe31f9b	Angtuaco EJ	14	1		#FFFFCC	0.0818481880816169
de0e379c-f98f-3c31-9799-23ab2fe31f9b	Angtuaco EJ	15	1		#FFFFCC	0.0763111981780191
de0e379c-f98f-3c31-9799-23ab2fe31f9b	Angtuaco EJ	16	1	emotion|motion|neutral	#FFFFCC	0.0822313692521216
de0e379c-f98f-3c31-9799-23ab2fe31f9b	Angtuaco EJ	17	1	rating	#FFF1A9	0.109345349383703
de0e379c-f98f-3c31-9799-23ab2fe31f9b	Angtuaco EJ	18	1	negative|positive	#FFF1A9	0.185803670877728
de0e379c-f98f-3c31-9799-23ab2fe31f9b	Angtuaco EJ	19	1		#FFF1A9	0.167650693020849
de0e379c-f98f-3c31-9799-23ab2fe31f9b	Angtuaco EJ	20	1	ear|order	#FFF1A9	0.197855850480168
de0e379c-f98f-3c31-9799-23ab2fe31f9b	Angtuaco EJ	21	1	motor	#FFFFCC	0.0402400420229566
de0e379c-f98f-3c31-9799-23ab2fe31f9b	Angtuaco EJ	22	1	visual	#FFFFCC	0.0365624639412418
de0e379c-f98f-3c31-9799-23ab2fe31f9b	Angtuaco EJ	23	1	age|image|response	#FFFFCC	0.0598293445320785
de0e379c-f98f-3c31-9799-23ab2fe31f9b	Angtuaco EJ	1	2	sound|sounds	#FFFFCC	0.0148335196610403
de0e379c-f98f-3c31-9799-23ab2fe31f9b	Angtuaco EJ	2	2		#FFFFCC	0.0189565097328434
de0e379c-f98f-3c31-9799-23ab2fe31f9b	Angtuaco EJ	3	2	audiovisual|bimodal|crossmodal	#FFFFCC	0.0458885965781106
de0e379c-f98f-3c31-9799-23ab2fe31f9b	Angtuaco EJ	4	2		#FFFFCC	0.0970666334766254
de0e379c-f98f-3c31-9799-23ab2fe31f9b	Angtuaco EJ	5	2		#FFF1A9	0.127111369509309
de0e379c-f98f-3c31-9799-23ab2fe31f9b	Angtuaco EJ	6	2		#FFF1A9	0.125923320176945
de0e379c-f98f-3c31-9799-23ab2fe31f9b	Angtuaco EJ	7	2	sensation	#FFFFCC	0.0532464986711281
