UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	1	1	auditory|speech	#FDAD4A	0.403502391421482
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	2	1		#FECB68	0.366692828280347
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	3	1	da|integration	#FDAD4A	0.428871270629198
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	4	1		#FECB68	0.378076306833188
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	5	1	physical|psychophysical|tactile	#FFF1A9	0.174719846782273
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	6	1		#FECB68	0.346376637875444
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	7	1	somatosensory|stimulation	#FECB68	0.325314740561617
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	8	1	painful|pain	#FECB68	0.353367054634454
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	9	1		#FDAD4A	0.465625458088172
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	10	1	ratings	#FC622F	0.664772478639783
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	11	1	affective|affect	#F03623	0.703328738736089
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	12	1	emotions	#D7141E	0.803804603071824
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	13	1	expression|expressions|facial	#FD913D	0.572172241539387
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	14	1		#F03623	0.744126413985716
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	15	1		#F03623	0.729603659616142
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	16	1	emotion|motion|neutral	#FC622F	0.690854564057938
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	17	1	rating	#FC622F	0.678980023605329
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	18	1	negative|positive	#FC622F	0.615162461521138
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	19	1		#FD913D	0.519054386076384
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	20	1	ear|order	#FDAD4A	0.412577845702914
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	21	1	motor	#FEE188	0.24509505217991
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	22	1	visual	#FEE188	0.22990518823236
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	23	1	age|image|response	#FDAD4A	0.405582757530153
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	1	2	sound|sounds	#FECB68	0.303341830750249
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	2	2		#FECB68	0.356380330620069
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	3	2	audiovisual|bimodal|crossmodal	#FEE188	0.229145140709054
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	4	2		#FECB68	0.377628853149023
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	5	2		#FECB68	0.346321365120959
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	6	2		#FECB68	0.359113954351363
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	7	2	sensation	#FECB68	0.310377987544439
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	8	2	heat|noxious	#FEE188	0.280601372513392
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	9	2		#FDAD4A	0.464786641035887
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	10	2		#F03623	0.711358942178396
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	11	2		#F03623	0.772341971977059
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	12	2	valence	#F03623	0.754587738430136
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	13	2	person|social	#B10026	0.998390230963023
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	14	2		#F03623	0.743839588787678
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	15	2	face|faces	#FD913D	0.585910741290471
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	16	2		#F03623	0.710832028981485
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	17	2		#FC622F	0.686064779137347
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	18	2		#FD913D	0.587838585311047
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	19	2		#FDAD4A	0.485120026350629
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	20	2		#FECB68	0.366008642473166
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	21	2	images|spatial	#FECB68	0.349572771497484
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	22	2	control	#FECB68	0.350592857177777
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	23	2	time	#FECB68	0.375817241712757
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	1	3	acoustic|listening|musical|music|pitch	#FEE188	0.293671330071903
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	2	3	noise|tones	#FEE188	0.291469265828277
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	3	3		#FDAD4A	0.402743763233075
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	4	3		#FDAD4A	0.406417035105437
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	5	3	frequency	#FECB68	0.340813682343481
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	6	3		#FDAD4A	0.448508153362567
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	7	3		#FECB68	0.369312255613687
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	8	3	temperature	#FFF1A9	0.198144449955869
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	9	3		#FDAD4A	0.441405891704936
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	10	3	pleasant|unpleasant	#FDAD4A	0.499257206695691
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	11	3	anxiety	#FC622F	0.64413929258976
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	12	3		#F03623	0.773532135795225
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	13	3		#F03623	0.771129381212648
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	14	3		#F03623	0.74569481950096
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	15	3		#F03623	0.718918891069717
df5b1f6c-5cbd-3009-a736-2321fa240583	Diwadkar V	16	3	picture	#FC622F	0.614457339815199
