UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
df63a740-b05f-36c5-ae3f-d7760046316d	Smith AT	1	1	auditory|speech	#FEE188	0.28521977229622
df63a740-b05f-36c5-ae3f-d7760046316d	Smith AT	2	1		#FEE188	0.289835153249509
df63a740-b05f-36c5-ae3f-d7760046316d	Smith AT	3	1	da|integration	#FD913D	0.52636637961389
df63a740-b05f-36c5-ae3f-d7760046316d	Smith AT	4	1		#FC622F	0.644524604483126
df63a740-b05f-36c5-ae3f-d7760046316d	Smith AT	5	1	physical|psychophysical|tactile	#FC622F	0.69289952218402
df63a740-b05f-36c5-ae3f-d7760046316d	Smith AT	6	1		#FC622F	0.626860141771233
df63a740-b05f-36c5-ae3f-d7760046316d	Smith AT	7	1	somatosensory|stimulation	#FD913D	0.594645938992469
df63a740-b05f-36c5-ae3f-d7760046316d	Smith AT	8	1	painful|pain	#FECB68	0.31090898016789
df63a740-b05f-36c5-ae3f-d7760046316d	Smith AT	9	1		#FECB68	0.32354575284672
df63a740-b05f-36c5-ae3f-d7760046316d	Smith AT	10	1	ratings	#FEE188	0.279970015160262
df63a740-b05f-36c5-ae3f-d7760046316d	Smith AT	11	1	affective|affect	#FFF1A9	0.169337041193848
df63a740-b05f-36c5-ae3f-d7760046316d	Smith AT	12	1	emotions	#FEE188	0.227841898789267
df63a740-b05f-36c5-ae3f-d7760046316d	Smith AT	13	1	expression|expressions|facial	#FFF1A9	0.148033321001796
df63a740-b05f-36c5-ae3f-d7760046316d	Smith AT	14	1		#FEE188	0.236980512665724
df63a740-b05f-36c5-ae3f-d7760046316d	Smith AT	15	1		#FEE188	0.253876125492759
df63a740-b05f-36c5-ae3f-d7760046316d	Smith AT	16	1	emotion|motion|neutral	#FEE188	0.26290812795403
df63a740-b05f-36c5-ae3f-d7760046316d	Smith AT	17	1	rating	#FEE188	0.253194471617901
df63a740-b05f-36c5-ae3f-d7760046316d	Smith AT	18	1	negative|positive	#FEE188	0.294630034283064
df63a740-b05f-36c5-ae3f-d7760046316d	Smith AT	19	1		#FDAD4A	0.447743507887862
df63a740-b05f-36c5-ae3f-d7760046316d	Smith AT	20	1	ear|order	#FDAD4A	0.409436138955977
