UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
e026ddde-657a-39ff-bc0c-75c466764561	Mattay VS	1	1	auditory|speech	#FDAD4A	0.443730535254058
e026ddde-657a-39ff-bc0c-75c466764561	Mattay VS	2	1		#FECB68	0.389786564927894
e026ddde-657a-39ff-bc0c-75c466764561	Mattay VS	3	1	da|integration	#FD913D	0.593010574084711
e026ddde-657a-39ff-bc0c-75c466764561	Mattay VS	4	1		#FD913D	0.540255274340915
e026ddde-657a-39ff-bc0c-75c466764561	Mattay VS	5	1	physical|psychophysical|tactile	#FDAD4A	0.40133888404484
e026ddde-657a-39ff-bc0c-75c466764561	Mattay VS	6	1		#FD913D	0.559568744493234
e026ddde-657a-39ff-bc0c-75c466764561	Mattay VS	7	1	somatosensory|stimulation	#FD913D	0.507694207018026
e026ddde-657a-39ff-bc0c-75c466764561	Mattay VS	8	1	painful|pain	#FD913D	0.533271909360225
e026ddde-657a-39ff-bc0c-75c466764561	Mattay VS	9	1		#FC622F	0.613090247431234
e026ddde-657a-39ff-bc0c-75c466764561	Mattay VS	10	1	ratings	#FC622F	0.652897387744299
e026ddde-657a-39ff-bc0c-75c466764561	Mattay VS	11	1	affective|affect	#FC622F	0.651693491359563
e026ddde-657a-39ff-bc0c-75c466764561	Mattay VS	12	1	emotions	#FD913D	0.589986720369929
e026ddde-657a-39ff-bc0c-75c466764561	Mattay VS	13	1	expression|expressions|facial	#FDAD4A	0.467949251916727
e026ddde-657a-39ff-bc0c-75c466764561	Mattay VS	14	1		#FC622F	0.6106522124676
e026ddde-657a-39ff-bc0c-75c466764561	Mattay VS	15	1		#FC622F	0.643143027728047
e026ddde-657a-39ff-bc0c-75c466764561	Mattay VS	16	1	emotion|motion|neutral	#FC622F	0.629679002333729
e026ddde-657a-39ff-bc0c-75c466764561	Mattay VS	17	1	rating	#F03623	0.715623095122464
e026ddde-657a-39ff-bc0c-75c466764561	Mattay VS	18	1	negative|positive	#F03623	0.784735810312797
