UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
e198c9ea-a25b-3d26-a3ca-6ba01d45da7a	Stodkilde-Jorgensen H	1	1	auditory|speech	#FD913D	0.542994643753484
e198c9ea-a25b-3d26-a3ca-6ba01d45da7a	Stodkilde-Jorgensen H	2	1		#FD913D	0.541769232648271
e198c9ea-a25b-3d26-a3ca-6ba01d45da7a	Stodkilde-Jorgensen H	3	1	da|integration	#FC622F	0.670355045715204
e198c9ea-a25b-3d26-a3ca-6ba01d45da7a	Stodkilde-Jorgensen H	4	1		#FD913D	0.581140296358536
e198c9ea-a25b-3d26-a3ca-6ba01d45da7a	Stodkilde-Jorgensen H	5	1	physical|psychophysical|tactile	#FECB68	0.310419023841048
e198c9ea-a25b-3d26-a3ca-6ba01d45da7a	Stodkilde-Jorgensen H	6	1		#FECB68	0.312670270642788
e198c9ea-a25b-3d26-a3ca-6ba01d45da7a	Stodkilde-Jorgensen H	7	1	somatosensory|stimulation	#FEE188	0.204957077986883
e198c9ea-a25b-3d26-a3ca-6ba01d45da7a	Stodkilde-Jorgensen H	8	1	painful|pain	#FFF1A9	0.164747328037889
e198c9ea-a25b-3d26-a3ca-6ba01d45da7a	Stodkilde-Jorgensen H	9	1		#FFF1A9	0.187346761385089
e198c9ea-a25b-3d26-a3ca-6ba01d45da7a	Stodkilde-Jorgensen H	10	1	ratings	#FEE188	0.25567111829608
e198c9ea-a25b-3d26-a3ca-6ba01d45da7a	Stodkilde-Jorgensen H	11	1	affective|affect	#FECB68	0.337736748635117
e198c9ea-a25b-3d26-a3ca-6ba01d45da7a	Stodkilde-Jorgensen H	12	1	emotions	#FEE188	0.296539119160896
e198c9ea-a25b-3d26-a3ca-6ba01d45da7a	Stodkilde-Jorgensen H	13	1	expression|expressions|facial	#FEE188	0.235150121952166
e198c9ea-a25b-3d26-a3ca-6ba01d45da7a	Stodkilde-Jorgensen H	14	1		#FECB68	0.34559476731892
e198c9ea-a25b-3d26-a3ca-6ba01d45da7a	Stodkilde-Jorgensen H	15	1		#FECB68	0.340421072418039
e198c9ea-a25b-3d26-a3ca-6ba01d45da7a	Stodkilde-Jorgensen H	16	1	emotion|motion|neutral	#FECB68	0.317644962134712
e198c9ea-a25b-3d26-a3ca-6ba01d45da7a	Stodkilde-Jorgensen H	17	1	rating	#FECB68	0.318981851642756
e198c9ea-a25b-3d26-a3ca-6ba01d45da7a	Stodkilde-Jorgensen H	18	1	negative|positive	#FDAD4A	0.437814409791338
e198c9ea-a25b-3d26-a3ca-6ba01d45da7a	Stodkilde-Jorgensen H	19	1		#FD913D	0.547057250281633
e198c9ea-a25b-3d26-a3ca-6ba01d45da7a	Stodkilde-Jorgensen H	20	1	ear|order	#FC622F	0.617942626230636
e198c9ea-a25b-3d26-a3ca-6ba01d45da7a	Stodkilde-Jorgensen H	21	1	motor	#FDAD4A	0.440760725157755
e198c9ea-a25b-3d26-a3ca-6ba01d45da7a	Stodkilde-Jorgensen H	22	1	visual	#FD913D	0.51507883067059
e198c9ea-a25b-3d26-a3ca-6ba01d45da7a	Stodkilde-Jorgensen H	23	1	age|image|response	#FD913D	0.550001660449548
e198c9ea-a25b-3d26-a3ca-6ba01d45da7a	Stodkilde-Jorgensen H	1	2	sound|sounds	#FDAD4A	0.445336156300023
e198c9ea-a25b-3d26-a3ca-6ba01d45da7a	Stodkilde-Jorgensen H	2	2		#FD913D	0.517781685474604
e198c9ea-a25b-3d26-a3ca-6ba01d45da7a	Stodkilde-Jorgensen H	3	2	audiovisual|bimodal|crossmodal	#FDAD4A	0.451090040412671
e198c9ea-a25b-3d26-a3ca-6ba01d45da7a	Stodkilde-Jorgensen H	4	2		#FD913D	0.590406323551922
e198c9ea-a25b-3d26-a3ca-6ba01d45da7a	Stodkilde-Jorgensen H	5	2		#FDAD4A	0.47909641685907
e198c9ea-a25b-3d26-a3ca-6ba01d45da7a	Stodkilde-Jorgensen H	6	2		#FECB68	0.352302308667538
e198c9ea-a25b-3d26-a3ca-6ba01d45da7a	Stodkilde-Jorgensen H	7	2	sensation	#FFF1A9	0.10153589212101
e198c9ea-a25b-3d26-a3ca-6ba01d45da7a	Stodkilde-Jorgensen H	8	2	heat|noxious	#FFF1A9	0.126732143571287
e198c9ea-a25b-3d26-a3ca-6ba01d45da7a	Stodkilde-Jorgensen H	9	2		#FEE188	0.205983523605842
e198c9ea-a25b-3d26-a3ca-6ba01d45da7a	Stodkilde-Jorgensen H	10	2		#FEE188	0.265945064884817
e198c9ea-a25b-3d26-a3ca-6ba01d45da7a	Stodkilde-Jorgensen H	11	2		#FECB68	0.307204278715248
