UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	1	1	auditory|speech	#FDAD4A	0.42569493895897
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	2	1		#FECB68	0.357155503240192
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	3	1	da|integration	#FDAD4A	0.409190222685278
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	4	1		#FDAD4A	0.451275651214915
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	5	1	physical|psychophysical|tactile	#FECB68	0.330929192260734
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	6	1		#FECB68	0.384856311650409
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	7	1	somatosensory|stimulation	#FECB68	0.342438124481236
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	8	1	painful|pain	#FEE188	0.25842732842669
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	9	1		#FECB68	0.368045545681495
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	10	1	ratings	#FD913D	0.565510027276956
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	11	1	affective|affect	#FC622F	0.631367445305299
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	12	1	emotions	#FC622F	0.685841231800213
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	13	1	expression|expressions|facial	#FDAD4A	0.433092830621817
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	14	1		#FC622F	0.667898647735478
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	15	1		#FC622F	0.69242114835561
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	16	1	emotion|motion|neutral	#FC622F	0.687292778443962
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	17	1	rating	#FC622F	0.654844238603359
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	18	1	negative|positive	#FC622F	0.674138248097553
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	19	1		#FC622F	0.686566987958443
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	20	1	ear|order	#FC622F	0.648587775776057
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	21	1	motor	#FDAD4A	0.448101592198797
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	22	1	visual	#FD913D	0.579667343662375
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	23	1	age|image|response	#FC622F	0.666997594186844
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	1	2	sound|sounds	#FEE188	0.24056547793618
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	2	2		#FECB68	0.327452184043284
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	3	2	audiovisual|bimodal|crossmodal	#FFF1A9	0.161222219296359
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	4	2		#FDAD4A	0.461885028815087
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	5	2		#FDAD4A	0.448988296254491
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	6	2		#FDAD4A	0.414600249986462
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	7	2	sensation	#FEE188	0.217915048003975
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	8	2	heat|noxious	#FEE188	0.223591825248742
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	9	2		#FECB68	0.38423227162303
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	10	2		#FD913D	0.579672164772979
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	11	2		#FC622F	0.645591951859495
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	12	2	valence	#FD913D	0.580216675496088
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	13	2	person|social	#B10026	0.971124888146654
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	14	2		#FC622F	0.676427525142029
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	15	2	face|faces	#FD913D	0.565676480683754
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	16	2		#F03623	0.732475880647994
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	17	2		#F03623	0.744173249480903
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	18	2		#F03623	0.724910561037597
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	19	2		#FC622F	0.685017766672175
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	20	2		#FC622F	0.630085378564521
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	21	2	images|spatial	#FC622F	0.632772260682178
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	22	2	control	#FC622F	0.676433171438818
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	23	2	time	#FC622F	0.6850190941782
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	1	3	acoustic|listening|musical|music|pitch	#FEE188	0.20169950173584
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	2	3	noise|tones	#FFF1A9	0.173758694649054
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	3	3		#FDAD4A	0.435414973039477
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	4	3		#FD913D	0.532056746867793
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	5	3	frequency	#FD913D	0.510112895369702
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	6	3		#FD913D	0.559963835397446
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	7	3		#FECB68	0.348850521722401
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	8	3	temperature	#FEE188	0.248078437336563
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	9	3		#FECB68	0.390620092391329
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	10	3	pleasant|unpleasant	#FECB68	0.377723967822583
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	11	3	anxiety	#FDAD4A	0.43064554202041
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	12	3		#F03623	0.700454452278964
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	13	3		#F03623	0.755655778887201
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	14	3		#F03623	0.732779752323656
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	15	3		#F03623	0.739008988844308
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	16	3	picture	#F03623	0.784691939551913
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	17	3		#F03623	0.746254314356617
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	18	3	value	#FC622F	0.647235773659824
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	19	3	cue	#FC622F	0.617713208361086
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	20	3	error|target	#FD913D	0.576718933209638
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	21	3	attention	#FD913D	0.581001632364099
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	22	3		#FC622F	0.696560037131199
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	23	3	number	#FC622F	0.694170924226404
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	1	4	voice	#FEE188	0.27090777597852
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	2	4		#FECB68	0.345749075821594
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	3	4	hearing	#FECB68	0.343654529363561
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	4	4		#FD913D	0.523351054273252
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	5	4	overt	#FC622F	0.623534113590399
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	6	4		#FD913D	0.526984030954931
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	7	4		#FDAD4A	0.415941165132502
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	8	4	nociceptive|nonpainful|painrelated	#FEE188	0.2434578925915
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	9	4	unpleasantness	#FDAD4A	0.408958464306707
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	10	4	skin|subjective	#FECB68	0.36422252641829
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	11	4	depression	#FC622F	0.647211778983023
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	12	4	experience	#F03623	0.713645980594684
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	13	4	female	#FD913D	0.553576696833783
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	14	4	male	#F03623	0.705510133560098
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	15	4	pictures	#F03623	0.725595134775692
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	16	4		#F03623	0.758061996766113
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	17	4	perception	#FD913D	0.513155446508501
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	18	4		#F03623	0.724124798852349
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	19	4		#F03623	0.718578491339167
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	20	4		#FC622F	0.698721721385558
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	21	4	correct	#F03623	0.71850315739267
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	22	4	work	#FC622F	0.680465032480053
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	23	4	memory	#F03623	0.750993166729234
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	1	5	prosodic|prosody	#FECB68	0.308116175650512
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	2	5	phonetic	#FFF1A9	0.185042155225596
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	3	5	syllable|syllables	#FD913D	0.519915925986868
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	4	5		#FDAD4A	0.499613122829107
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	5	5	lip|production	#FECB68	0.345550964713822
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	6	5	somatotopic	#FECB68	0.310164647633106
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	7	5		#FDAD4A	0.472450516919872
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	8	5		#FDAD4A	0.459726060711168
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	9	5	empathy	#FD913D	0.54801710742225
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	10	5		#F03623	0.709659111991165
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	11	5	disorder	#F03623	0.725173761076597
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	12	5		#D7141E	0.80969831717731
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	13	5		#D7141E	0.838058186600616
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	14	5		#D7141E	0.878347871157739
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	15	5		#D7141E	0.867765275530898
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	16	5		#D7141E	0.827606167008333
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	17	5		#D7141E	0.825839467769114
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	18	5	mental	#D7141E	0.814841619967678
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	19	5	go	#F03623	0.729435163693587
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	20	5	object	#FC622F	0.617482485012728
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	21	5		#F03623	0.767991963210629
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	22	5		#D7141E	0.810269754149947
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	23	5	word|words	#F03623	0.771807502232303
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	1	6		#FDAD4A	0.421735821212945
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	2	6		#FDAD4A	0.464773601260129
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	3	6		#FD913D	0.512212532138324
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	4	6	vocal	#FECB68	0.328625203743851
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	5	6	articulatory	#FEE188	0.25932730707144
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	6	6		#FD913D	0.53054660966439
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	7	6	oddball	#FECB68	0.317867938632568
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	8	6	perceived	#FECB68	0.387271055628722
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	9	6	errorrelated	#FECB68	0.336046356546915
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	10	6	approach	#FC622F	0.606734673346894
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	11	6	schizophrenia	#F03623	0.742948563615067
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	12	6	acquisition	#F03623	0.715559511492806
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	13	6		#D7141E	0.847048947042018
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	14	6		#F03623	0.799119204301455
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	15	6		#D7141E	0.816216937247529
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	16	6		#D7141E	0.830418504952238
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	17	6		#D7141E	0.847636694387929
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	18	6		#D7141E	0.817892832967627
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	19	6		#D7141E	0.801599953256522
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	20	6	objects	#FC622F	0.681040157681765
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	21	6		#F03623	0.799455573062984
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	22	6		#D7141E	0.8196576289686
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	23	6	language|semantic	#D7141E	0.805865043278059
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	1	7	dopamine|dopaminergic	#FFF1A9	0.14929450926416
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	2	7		#FEE188	0.244621373011509
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	3	7		#FD913D	0.502598011924429
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	4	7		#FD913D	0.593922076616469
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	5	7		#FC622F	0.657692546251959
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	6	7		#F03623	0.748787444791133
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	7	7		#F03623	0.703727795873355
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	8	7		#F03623	0.716125340570588
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	9	7		#F03623	0.714272299623198
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	10	7		#B10026	0.923178702158552
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	11	7		#B10026	0.938828427389129
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	12	7		#B10026	0.917044256744522
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	13	7	linguistic|spoken	#FD913D	0.594055031997176
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	14	7		#F03623	0.77015845922788
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	15	7	comprehension|sentence|sentences|syntactic	#F03623	0.731232570367317
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	16	7		#D7141E	0.802078190587357
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	17	7		#D7141E	0.820878208132119
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	18	7	phonological|reading|read	#F03623	0.75716575274915
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	19	7		#D7141E	0.802994734269177
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	20	7	perceptual|recognition	#F03623	0.725846635670634
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	21	7		#D7141E	0.81535699881407
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	22	7		#D7141E	0.825470509083171
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	23	7	verb	#F03623	0.772394532995454
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	1	8	outcome|reward	#FFF1A9	0.18392903261497
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	2	8	anticipation	#FFF1A9	0.152449056399691
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	3	8	outcomes	#FECB68	0.319477471397309
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	4	8	choice|choices	#FDAD4A	0.413642555254442
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	5	8	decisions|probability	#FC622F	0.670864799759764
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	6	8	reversal	#FD913D	0.573423111888756
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	7	8	classification|incorrect	#FC622F	0.651043365060741
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	8	8		#D7141E	0.81532587275273
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	9	8	agerelated|fluency|probes	#F03623	0.750904751638896
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	10	8	engaged	#D7141E	0.875641655826232
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	11	8	explicit|knowledge	#B10026	0.906012566986529
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	12	8		#B10026	0.906753574835292
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	13	8		#D7141E	0.825168276472492
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	14	8		#F03623	0.798913430273331
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	15	8		#D7141E	0.802054387830062
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	16	8		#D7141E	0.809785265614483
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	17	8	lexical	#F03623	0.731457401144825
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	18	8		#D7141E	0.841125251351976
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	19	8		#D7141E	0.837552076977324
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	20	8		#D7141E	0.851746266793269
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	21	8	encoding	#F03623	0.744009931714881
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	22	8	retrieval	#D7141E	0.86545545376424
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	23	8	verbal	#F03623	0.750668797290846
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	1	9	incentive|monetary|money|rewards	#FFFFCC	0.0431336033343004
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	2	9	loss	#FFF1A9	0.194899584927157
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	3	9		#FECB68	0.393695230014714
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	4	9		#FD913D	0.510456277424673
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	5	9	decisionmaking	#FDAD4A	0.483318064202127
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	6	9		#D7141E	0.804499226111483
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	7	9		#D7141E	0.826309923461081
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	8	9		#D7141E	0.844502701180825
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	9	9		#B10026	0.903966443265041
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	10	9		#B10026	0.953346763223841
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	11	9		#B10026	0.957674183486054
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	12	9		#B10026	0.932969704619586
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	13	9	noun	#F03623	0.762282809823707
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	14	9	meaning	#F03623	0.772102659047698
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	15	9	english	#D7141E	0.804011054102808
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	16	9	pseudoword|pseudowords	#FC622F	0.602607717146834
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	17	9		#D7141E	0.821680737300503
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	18	9		#D7141E	0.879535738528609
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	19	9	familiar|judgment	#B10026	0.952981577111438
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	20	9	pair|pairs	#F03623	0.757642252911964
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	21	9		#F03623	0.797584218240082
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	22	9		#F03623	0.76088403450984
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	23	9	letter|working	#FC622F	0.697573778329428
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	1	10	losses|reinforcement|win	#FFF1A9	0.140557553494805
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	2	10	gain	#FFF1A9	0.144422154921109
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	3	10	expectation	#FEE188	0.217335756988425
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	4	10	risk	#FDAD4A	0.442390223885203
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	5	10	fact	#FD913D	0.547855611433777
e2a5c355-715a-3749-a5fc-fc1d4409cb43	Courchesne E	6	10	associative	#FD913D	0.572989787525043
