UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
e2bcaf44-2f97-3956-968d-16991112eb73	Fair D	1	1	auditory|speech	#FEE188	0.286512531757295
e2bcaf44-2f97-3956-968d-16991112eb73	Fair D	2	1		#FEE188	0.274403234852017
e2bcaf44-2f97-3956-968d-16991112eb73	Fair D	3	1	da|integration	#FDAD4A	0.470044248311131
e2bcaf44-2f97-3956-968d-16991112eb73	Fair D	4	1		#FD913D	0.569915195245046
e2bcaf44-2f97-3956-968d-16991112eb73	Fair D	5	1	physical|psychophysical|tactile	#FC622F	0.611236773369936
e2bcaf44-2f97-3956-968d-16991112eb73	Fair D	6	1		#FC622F	0.646525022321802
e2bcaf44-2f97-3956-968d-16991112eb73	Fair D	7	1	somatosensory|stimulation	#FDAD4A	0.482338265664995
e2bcaf44-2f97-3956-968d-16991112eb73	Fair D	8	1	painful|pain	#FDAD4A	0.499699215063561
e2bcaf44-2f97-3956-968d-16991112eb73	Fair D	9	1		#FD913D	0.592267297799107
e2bcaf44-2f97-3956-968d-16991112eb73	Fair D	10	1	ratings	#FC622F	0.683431036661129
e2bcaf44-2f97-3956-968d-16991112eb73	Fair D	11	1	affective|affect	#FD913D	0.532245036327089
e2bcaf44-2f97-3956-968d-16991112eb73	Fair D	12	1	emotions	#FDAD4A	0.464697649274633
e2bcaf44-2f97-3956-968d-16991112eb73	Fair D	13	1	expression|expressions|facial	#FEE188	0.240874498015567
e2bcaf44-2f97-3956-968d-16991112eb73	Fair D	14	1		#FD913D	0.560605059403493
e2bcaf44-2f97-3956-968d-16991112eb73	Fair D	15	1		#FD913D	0.597774021053855
e2bcaf44-2f97-3956-968d-16991112eb73	Fair D	16	1	emotion|motion|neutral	#FD913D	0.562704745770247
e2bcaf44-2f97-3956-968d-16991112eb73	Fair D	17	1	rating	#F03623	0.734724500304441
e2bcaf44-2f97-3956-968d-16991112eb73	Fair D	18	1	negative|positive	#F03623	0.729397356175687
e2bcaf44-2f97-3956-968d-16991112eb73	Fair D	19	1		#F03623	0.768145220196127
e2bcaf44-2f97-3956-968d-16991112eb73	Fair D	20	1	ear|order	#F03623	0.720930166916792
e2bcaf44-2f97-3956-968d-16991112eb73	Fair D	21	1	motor	#FD913D	0.575965673311505
e2bcaf44-2f97-3956-968d-16991112eb73	Fair D	22	1	visual	#FD913D	0.543135868877554
e2bcaf44-2f97-3956-968d-16991112eb73	Fair D	23	1	age|image|response	#FC622F	0.671426066004222
e2bcaf44-2f97-3956-968d-16991112eb73	Fair D	1	2	sound|sounds	#FFF1A9	0.181090002470501
e2bcaf44-2f97-3956-968d-16991112eb73	Fair D	2	2		#FEE188	0.241244334487349
e2bcaf44-2f97-3956-968d-16991112eb73	Fair D	3	2	audiovisual|bimodal|crossmodal	#FFF1A9	0.15957360778211
e2bcaf44-2f97-3956-968d-16991112eb73	Fair D	4	2		#FD913D	0.567355204001587
e2bcaf44-2f97-3956-968d-16991112eb73	Fair D	5	2		#FC622F	0.630953368385656
e2bcaf44-2f97-3956-968d-16991112eb73	Fair D	6	2		#FC622F	0.658951446652281
e2bcaf44-2f97-3956-968d-16991112eb73	Fair D	7	2	sensation	#FDAD4A	0.458361881177534
e2bcaf44-2f97-3956-968d-16991112eb73	Fair D	8	2	heat|noxious	#FD913D	0.563404812792277
e2bcaf44-2f97-3956-968d-16991112eb73	Fair D	9	2		#FC622F	0.614213061391515
e2bcaf44-2f97-3956-968d-16991112eb73	Fair D	10	2		#FC622F	0.634125746850317
e2bcaf44-2f97-3956-968d-16991112eb73	Fair D	11	2		#FC622F	0.643030720104444
e2bcaf44-2f97-3956-968d-16991112eb73	Fair D	12	2	valence	#FD913D	0.570164716982227
e2bcaf44-2f97-3956-968d-16991112eb73	Fair D	13	2	person|social	#B10026	0.964051716053814
e2bcaf44-2f97-3956-968d-16991112eb73	Fair D	14	2		#FD913D	0.571503010195776
e2bcaf44-2f97-3956-968d-16991112eb73	Fair D	15	2	face|faces	#FD913D	0.500738578157853
e2bcaf44-2f97-3956-968d-16991112eb73	Fair D	16	2		#FC622F	0.6678943110364
e2bcaf44-2f97-3956-968d-16991112eb73	Fair D	17	2		#F03623	0.727063011671468
e2bcaf44-2f97-3956-968d-16991112eb73	Fair D	18	2		#F03623	0.779683663358799
e2bcaf44-2f97-3956-968d-16991112eb73	Fair D	19	2		#F03623	0.782490801746279
e2bcaf44-2f97-3956-968d-16991112eb73	Fair D	20	2		#F03623	0.730665914175431
e2bcaf44-2f97-3956-968d-16991112eb73	Fair D	21	2	images|spatial	#FC622F	0.683920552473022
e2bcaf44-2f97-3956-968d-16991112eb73	Fair D	22	2	control	#F03623	0.718286018066545
e2bcaf44-2f97-3956-968d-16991112eb73	Fair D	23	2	time	#F03623	0.711903614248648
e2bcaf44-2f97-3956-968d-16991112eb73	Fair D	1	3	acoustic|listening|musical|music|pitch	#FFFFCC	0.0709799611101502
e2bcaf44-2f97-3956-968d-16991112eb73	Fair D	2	3	noise|tones	#FFFFCC	0.0919885577048218
e2bcaf44-2f97-3956-968d-16991112eb73	Fair D	3	3		#FECB68	0.352149142096896
e2bcaf44-2f97-3956-968d-16991112eb73	Fair D	4	3		#FDAD4A	0.471454186703017
e2bcaf44-2f97-3956-968d-16991112eb73	Fair D	5	3	frequency	#FD913D	0.541843451173444
e2bcaf44-2f97-3956-968d-16991112eb73	Fair D	6	3		#FC622F	0.658020851851186
e2bcaf44-2f97-3956-968d-16991112eb73	Fair D	7	3		#FC622F	0.617656729117524
e2bcaf44-2f97-3956-968d-16991112eb73	Fair D	8	3	temperature	#FD913D	0.571625256529828
e2bcaf44-2f97-3956-968d-16991112eb73	Fair D	9	3		#FC622F	0.629019026064502
e2bcaf44-2f97-3956-968d-16991112eb73	Fair D	10	3	pleasant|unpleasant	#FDAD4A	0.462662616888345
