UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
e34746ba-6d02-399c-b4aa-726291bf094a	Brown JW	1	1	auditory|speech	#FD913D	0.562937805156085
e34746ba-6d02-399c-b4aa-726291bf094a	Brown JW	2	1		#FD913D	0.524400020916483
e34746ba-6d02-399c-b4aa-726291bf094a	Brown JW	3	1	da|integration	#FC622F	0.624100135301332
e34746ba-6d02-399c-b4aa-726291bf094a	Brown JW	4	1		#FC622F	0.606782215624931
e34746ba-6d02-399c-b4aa-726291bf094a	Brown JW	5	1	physical|psychophysical|tactile	#FDAD4A	0.429949292217642
e34746ba-6d02-399c-b4aa-726291bf094a	Brown JW	6	1		#FC622F	0.658067282326417
e34746ba-6d02-399c-b4aa-726291bf094a	Brown JW	7	1	somatosensory|stimulation	#FC622F	0.629023765550182
e34746ba-6d02-399c-b4aa-726291bf094a	Brown JW	8	1	painful|pain	#FC622F	0.616213945344956
e34746ba-6d02-399c-b4aa-726291bf094a	Brown JW	9	1		#F03623	0.753233712108179
e34746ba-6d02-399c-b4aa-726291bf094a	Brown JW	10	1	ratings	#F03623	0.799932459347488
e34746ba-6d02-399c-b4aa-726291bf094a	Brown JW	11	1	affective|affect	#FC622F	0.657005922962698
e34746ba-6d02-399c-b4aa-726291bf094a	Brown JW	12	1	emotions	#FC622F	0.621607879949345
e34746ba-6d02-399c-b4aa-726291bf094a	Brown JW	13	1	expression|expressions|facial	#FECB68	0.363972893879619
e34746ba-6d02-399c-b4aa-726291bf094a	Brown JW	14	1		#FD913D	0.585740460640991
e34746ba-6d02-399c-b4aa-726291bf094a	Brown JW	15	1		#FC622F	0.632667594891571
e34746ba-6d02-399c-b4aa-726291bf094a	Brown JW	16	1	emotion|motion|neutral	#FC622F	0.644736467882368
e34746ba-6d02-399c-b4aa-726291bf094a	Brown JW	17	1	rating	#F03623	0.758510362735866
e34746ba-6d02-399c-b4aa-726291bf094a	Brown JW	18	1	negative|positive	#F03623	0.795452773376369
e34746ba-6d02-399c-b4aa-726291bf094a	Brown JW	19	1		#F03623	0.787972663740943
e34746ba-6d02-399c-b4aa-726291bf094a	Brown JW	20	1	ear|order	#F03623	0.711260730338702
e34746ba-6d02-399c-b4aa-726291bf094a	Brown JW	21	1	motor	#FD913D	0.582264772390763
e34746ba-6d02-399c-b4aa-726291bf094a	Brown JW	22	1	visual	#FDAD4A	0.468265316510829
e34746ba-6d02-399c-b4aa-726291bf094a	Brown JW	23	1	age|image|response	#FC622F	0.64176157468975
e34746ba-6d02-399c-b4aa-726291bf094a	Brown JW	1	2	sound|sounds	#FDAD4A	0.428085928154561
e34746ba-6d02-399c-b4aa-726291bf094a	Brown JW	2	2		#FDAD4A	0.498052101057114
e34746ba-6d02-399c-b4aa-726291bf094a	Brown JW	3	2	audiovisual|bimodal|crossmodal	#FECB68	0.300983322075216
e34746ba-6d02-399c-b4aa-726291bf094a	Brown JW	4	2		#FC622F	0.625503691055057
e34746ba-6d02-399c-b4aa-726291bf094a	Brown JW	5	2		#FC622F	0.646852129598648
e34746ba-6d02-399c-b4aa-726291bf094a	Brown JW	6	2		#FC622F	0.691570127233862
e34746ba-6d02-399c-b4aa-726291bf094a	Brown JW	7	2	sensation	#F03623	0.726091748282619
e34746ba-6d02-399c-b4aa-726291bf094a	Brown JW	8	2	heat|noxious	#FD913D	0.576003031098785
e34746ba-6d02-399c-b4aa-726291bf094a	Brown JW	9	2		#F03623	0.760209593423278
e34746ba-6d02-399c-b4aa-726291bf094a	Brown JW	10	2		#D7141E	0.804788167248629
e34746ba-6d02-399c-b4aa-726291bf094a	Brown JW	11	2		#F03623	0.78742520290862
e34746ba-6d02-399c-b4aa-726291bf094a	Brown JW	12	2	valence	#FC622F	0.645718492786944
e34746ba-6d02-399c-b4aa-726291bf094a	Brown JW	13	2	person|social	#F03623	0.714650682497314
e34746ba-6d02-399c-b4aa-726291bf094a	Brown JW	14	2		#FC622F	0.605950524345604
e34746ba-6d02-399c-b4aa-726291bf094a	Brown JW	15	2	face|faces	#FDAD4A	0.425991103619729
e34746ba-6d02-399c-b4aa-726291bf094a	Brown JW	16	2		#F03623	0.703776122527616
e34746ba-6d02-399c-b4aa-726291bf094a	Brown JW	17	2		#F03623	0.783758283020282
e34746ba-6d02-399c-b4aa-726291bf094a	Brown JW	18	2		#D7141E	0.813708364160678
e34746ba-6d02-399c-b4aa-726291bf094a	Brown JW	19	2		#F03623	0.79537111069806
e34746ba-6d02-399c-b4aa-726291bf094a	Brown JW	20	2		#F03623	0.70164141088913
e34746ba-6d02-399c-b4aa-726291bf094a	Brown JW	21	2	images|spatial	#FC622F	0.643287447887284
e34746ba-6d02-399c-b4aa-726291bf094a	Brown JW	22	2	control	#FC622F	0.625650046228154
e34746ba-6d02-399c-b4aa-726291bf094a	Brown JW	23	2	time	#FC622F	0.647667715861859
e34746ba-6d02-399c-b4aa-726291bf094a	Brown JW	1	3	acoustic|listening|musical|music|pitch	#FECB68	0.377470931639314
e34746ba-6d02-399c-b4aa-726291bf094a	Brown JW	2	3	noise|tones	#FECB68	0.388911016224115
e34746ba-6d02-399c-b4aa-726291bf094a	Brown JW	3	3		#FD913D	0.577564040039449
