UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	1	1	auditory|speech	#FC622F	0.679364135226883
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	2	1		#FC622F	0.644695459347489
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	3	1	da|integration	#FDAD4A	0.44197559091696
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	4	1		#FD913D	0.570243681448474
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	5	1	physical|psychophysical|tactile	#FDAD4A	0.427590809814625
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	6	1		#F03623	0.761708328847381
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	7	1	somatosensory|stimulation	#D7141E	0.822103880397573
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	8	1	painful|pain	#D7141E	0.874649806654827
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	9	1		#B10026	0.940402113712202
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	10	1	ratings	#F03623	0.738551390678117
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	11	1	affective|affect	#FDAD4A	0.428181974650792
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	12	1	emotions	#FDAD4A	0.411719865386007
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	13	1	expression|expressions|facial	#FEE188	0.216870545175854
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	14	1		#FEE188	0.295564138773434
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	15	1		#FECB68	0.349320897272167
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	16	1	emotion|motion|neutral	#FDAD4A	0.414464953900742
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	17	1	rating	#FC622F	0.621445199286018
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	18	1	negative|positive	#FDAD4A	0.489400221634469
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	19	1		#FDAD4A	0.477054213270637
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	20	1	ear|order	#FDAD4A	0.440796568349808
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	21	1	motor	#FD913D	0.518337613318784
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	22	1	visual	#FEE188	0.253830721971257
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	23	1	age|image|response	#FDAD4A	0.427211503471649
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	1	2	sound|sounds	#FC622F	0.645916190337255
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	2	2		#FC622F	0.654073568646694
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	3	2	audiovisual|bimodal|crossmodal	#FECB68	0.350452137504314
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	4	2		#FD913D	0.580093524088759
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	5	2		#FC622F	0.642481826254216
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	6	2		#F03623	0.768375556549884
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	7	2	sensation	#B10026	1
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	8	2	heat|noxious	#B10026	0.923608326154049
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	9	2		#B10026	0.915077186442213
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	10	2		#F03623	0.707920518718951
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	11	2		#FC622F	0.611123696648215
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	12	2	valence	#FECB68	0.336583935053954
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	13	2	person|social	#FEE188	0.242931378729895
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	14	2		#FECB68	0.310353724978114
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	15	2	face|faces	#FFF1A9	0.149711312995785
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	16	2		#FDAD4A	0.417508071955142
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	17	2		#FDAD4A	0.475183948189859
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	18	2		#FDAD4A	0.483100571178996
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	19	2		#FDAD4A	0.459271501756014
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	20	2		#FDAD4A	0.422099533292949
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	21	2	images|spatial	#FECB68	0.370422892276659
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	22	2	control	#FECB68	0.398907014317853
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	23	2	time	#FDAD4A	0.419845667618362
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	1	3	acoustic|listening|musical|music|pitch	#FC622F	0.660202753605008
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	2	3	noise|tones	#FC622F	0.625819735360916
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	3	3		#FC622F	0.677885212676196
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	4	3		#FC622F	0.670679508909952
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	5	3	frequency	#FC622F	0.679636568726523
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	6	3		#D7141E	0.844661793604287
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	7	3		#B10026	0.920680386892173
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	8	3	temperature	#FC622F	0.693480614926488
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	9	3		#B10026	0.906349156509263
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	10	3	pleasant|unpleasant	#D7141E	0.837801772593273
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	11	3	anxiety	#FD913D	0.540400271031655
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	12	3		#FD913D	0.527811638685284
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	13	3		#FDAD4A	0.488471472000478
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	14	3		#FDAD4A	0.423530273012096
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	15	3		#FDAD4A	0.40759917373675
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	16	3	picture	#FECB68	0.327424545615344
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	17	3		#FDAD4A	0.454210661452304
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	18	3	value	#FDAD4A	0.498242776989618
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	19	3	cue	#FECB68	0.348523401600558
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	20	3	error|target	#FECB68	0.390631826461317
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	21	3	attention	#FEE188	0.289308982217641
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	22	3		#FECB68	0.309178956328672
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	23	3	number	#FECB68	0.340182074103081
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	1	4	voice	#FC622F	0.623564387340346
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	2	4		#FC622F	0.694876770206944
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	3	4	hearing	#FD913D	0.505183347950219
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	4	4		#F03623	0.72787955990843
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	5	4	overt	#FD913D	0.576250900639923
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	6	4		#F03623	0.78653239756335
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	7	4		#D7141E	0.886832789084225
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	8	4	nociceptive|nonpainful|painrelated	#D7141E	0.826101062607146
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	9	4	unpleasantness	#D7141E	0.802178070644971
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	10	4	skin|subjective	#FC622F	0.622615895098205
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	11	4	depression	#FC622F	0.617658518764206
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	12	4	experience	#FD913D	0.526129705375878
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	13	4	female	#FD913D	0.569694889063569
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	14	4	male	#FD913D	0.563107766661286
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	15	4	pictures	#FECB68	0.327584121036031
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	16	4		#FDAD4A	0.40974255589595
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	17	4	perception	#FDAD4A	0.485907203063271
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	18	4		#FECB68	0.34672624055247
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	19	4		#FECB68	0.309199628372748
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	20	4		#FEE188	0.293073285850362
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	21	4	correct	#FEE188	0.268959221622424
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	22	4	work	#FEE188	0.216067917143898
e35c6def-ce06-3985-9ff9-451e364c5c26	Hutchins GD	23	4	memory	#FEE188	0.205708400651602
